HHID,case_id,visit,ea_id,fs_e0a,fs_e14,fs_e15,fs_e16
70,101034140064,2,10103414,usipa(mosquito)net,No,,
70,101034140064,2,10103414,kambuzi(beach)seine,No,,
70,101034140064,2,10103414,mbedza(long /hand line),No,,
70,101034140064,2,10103414,mbuka/ntaya/ukonde (gillnet),Yes,1,0
70,101034140064,2,10103414,mono(fish traps),No,,
70,101034140064,2,10103414,chavi (castnet),No,,
78,101034140075,2,10103414,usipa(mosquito)net,No,,
78,101034140075,2,10103414,kambuzi(beach)seine,No,,
78,101034140075,2,10103414,mbedza(long /hand line),No,,
78,101034140075,2,10103414,mbuka/ntaya/ukonde (gillnet),No,,
78,101034140075,2,10103414,mono(fish traps),No,,
78,101034140075,2,10103414,chavi (castnet),No,,
182,102037440006,2,10203744,usipa(mosquito)net,No,,
182,102037440006,2,10203744,kambuzi(beach)seine,No,,
182,102037440006,2,10203744,mbedza(long /hand line),No,,
182,102037440006,2,10203744,mbuka/ntaya/ukonde (gillnet),No,,
182,102037440006,2,10203744,mono(fish traps),No,,
182,102037440006,2,10203744,chavi (castnet),No,,
188,102037440017,2,10203744,usipa(mosquito)net,No,,
188,102037440017,2,10203744,kambuzi(beach)seine,No,,
188,102037440017,2,10203744,mbedza(long /hand line),No,,
188,102037440017,2,10203744,mbuka/ntaya/ukonde (gillnet),No,,
188,102037440017,2,10203744,mono(fish traps),No,,
188,102037440017,2,10203744,chavi (castnet),No,,
170,102037440095,2,10203744,usipa(mosquito)net,No,,
170,102037440095,2,10203744,kambuzi(beach)seine,No,,
170,102037440095,2,10203744,mbedza(long /hand line),No,,
170,102037440095,2,10203744,mbuka/ntaya/ukonde (gillnet),No,,
170,102037440095,2,10203744,mono(fish traps),No,,
170,102037440095,2,10203744,chavi (castnet),No,,
184,102037440112,2,10203744,usipa(mosquito)net,No,,
184,102037440112,2,10203744,kambuzi(beach)seine,No,,
184,102037440112,2,10203744,mbedza(long /hand line),No,,
184,102037440112,2,10203744,mbuka/ntaya/ukonde (gillnet),No,,
184,102037440112,2,10203744,mono(fish traps),No,,
184,102037440112,2,10203744,chavi (castnet),No,,
232,102201030035,2,10220103,usipa(mosquito)net,No,,
232,102201030035,2,10220103,kambuzi(beach)seine,No,,
232,102201030035,2,10220103,mbedza(long /hand line),No,,
232,102201030035,2,10220103,mbuka/ntaya/ukonde (gillnet),No,,
232,102201030035,2,10220103,mono(fish traps),No,,
232,102201030035,2,10220103,chavi (castnet),No,,
248,102201030110,2,10220103,usipa(mosquito)net,No,,
248,102201030110,2,10220103,kambuzi(beach)seine,No,,
248,102201030110,2,10220103,mbedza(long /hand line),No,,
248,102201030110,2,10220103,mbuka/ntaya/ukonde (gillnet),No,,
248,102201030110,2,10220103,mono(fish traps),No,,
248,102201030110,2,10220103,chavi (castnet),No,,
254,102201030125,2,10220103,usipa(mosquito)net,No,,
254,102201030125,2,10220103,kambuzi(beach)seine,No,,
254,102201030125,2,10220103,mbedza(long /hand line),No,,
254,102201030125,2,10220103,mbuka/ntaya/ukonde (gillnet),No,,
254,102201030125,2,10220103,mono(fish traps),No,,
254,102201030125,2,10220103,chavi (castnet),No,,
240,102201030133,2,10220103,usipa(mosquito)net,No,,
240,102201030133,2,10220103,kambuzi(beach)seine,No,,
240,102201030133,2,10220103,mbedza(long /hand line),No,,
240,102201030133,2,10220103,mbuka/ntaya/ukonde (gillnet),No,,
240,102201030133,2,10220103,mono(fish traps),No,,
240,102201030133,2,10220103,chavi (castnet),No,,
236,102201030155,2,10220103,usipa(mosquito)net,Yes,1,0
236,102201030155,2,10220103,kambuzi(beach)seine,No,,
236,102201030155,2,10220103,mbedza(long /hand line),No,,
236,102201030155,2,10220103,mbuka/ntaya/ukonde (gillnet),No,,
236,102201030155,2,10220103,mono(fish traps),No,,
236,102201030155,2,10220103,chavi (castnet),No,,
203,102207050206,1,10220705,usipa(mosquito)net,No,,
203,102207050206,1,10220705,kambuzi(beach)seine,No,,
203,102207050206,1,10220705,mbedza(long /hand line),No,,
203,102207050206,1,10220705,mbuka/ntaya/ukonde (gillnet),No,,
203,102207050206,1,10220705,mono(fish traps),No,,
203,102207050206,1,10220705,chavi (castnet),No,,
251,103016630307,1,10301663,usipa(mosquito)net,No,,
251,103016630307,1,10301663,kambuzi(beach)seine,No,,
251,103016630307,1,10301663,mbedza(long /hand line),No,,
251,103016630307,1,10301663,mbuka/ntaya/ukonde (gillnet),No,,
251,103016630307,1,10301663,mono(fish traps),No,,
251,103016630307,1,10301663,chavi (castnet),No,,
273,103020100009,1,10302010,usipa(mosquito)net,No,,
273,103020100009,1,10302010,kambuzi(beach)seine,No,,
273,103020100009,1,10302010,mbedza(long /hand line),No,,
273,103020100009,1,10302010,mbuka/ntaya/ukonde (gillnet),No,,
273,103020100009,1,10302010,mono(fish traps),No,,
273,103020100009,1,10302010,chavi (castnet),No,,
263,103020100028,1,10302010,usipa(mosquito)net,No,,
263,103020100028,1,10302010,kambuzi(beach)seine,No,,
263,103020100028,1,10302010,mbedza(long /hand line),Yes,1,50
263,103020100028,1,10302010,mbuka/ntaya/ukonde (gillnet),No,,
263,103020100028,1,10302010,mono(fish traps),No,,
263,103020100028,1,10302010,chavi (castnet),No,,
279,103020100047,1,10302010,usipa(mosquito)net,No,,
279,103020100047,1,10302010,kambuzi(beach)seine,Yes,1,0
279,103020100047,1,10302010,mbedza(long /hand line),No,,
279,103020100047,1,10302010,mbuka/ntaya/ukonde (gillnet),No,,
279,103020100047,1,10302010,mono(fish traps),No,,
279,103020100047,1,10302010,chavi (castnet),No,,
291,103040120101,1,10304012,usipa(mosquito)net,No,,
291,103040120101,1,10304012,kambuzi(beach)seine,No,,
291,103040120101,1,10304012,mbedza(long /hand line),No,,
291,103040120101,1,10304012,mbuka/ntaya/ukonde (gillnet),No,,
291,103040120101,1,10304012,mono(fish traps),No,,
291,103040120101,1,10304012,chavi (castnet),No,,
301,103040120129,1,10304012,usipa(mosquito)net,No,,
301,103040120129,1,10304012,kambuzi(beach)seine,No,,
301,103040120129,1,10304012,mbedza(long /hand line),No,,
301,103040120129,1,10304012,mbuka/ntaya/ukonde (gillnet),No,,
301,103040120129,1,10304012,mono(fish traps),No,,
301,103040120129,1,10304012,chavi (castnet),No,,
268,103054460016,2,10305446,usipa(mosquito)net,No,,
268,103054460016,2,10305446,kambuzi(beach)seine,No,,
268,103054460016,2,10305446,mbedza(long /hand line),No,,
268,103054460016,2,10305446,mbuka/ntaya/ukonde (gillnet),No,,
268,103054460016,2,10305446,mono(fish traps),No,,
268,103054460016,2,10305446,chavi (castnet),No,,
266,103054460029,2,10305446,usipa(mosquito)net,No,,
266,103054460029,2,10305446,kambuzi(beach)seine,No,,
266,103054460029,2,10305446,mbedza(long /hand line),Yes,2,0
266,103054460029,2,10305446,mbuka/ntaya/ukonde (gillnet),No,,
266,103054460029,2,10305446,mono(fish traps),No,,
266,103054460029,2,10305446,chavi (castnet),No,,
331,103074130190,1,10307413,usipa(mosquito)net,No,,
331,103074130190,1,10307413,kambuzi(beach)seine,No,,
331,103074130190,1,10307413,mbedza(long /hand line),Yes,1,0
331,103074130190,1,10307413,mbuka/ntaya/ukonde (gillnet),No,,
331,103074130190,1,10307413,mono(fish traps),No,,
331,103074130190,1,10307413,chavi (castnet),No,,
298,103086360072,2,10308636,usipa(mosquito)net,No,,
298,103086360072,2,10308636,kambuzi(beach)seine,No,,
298,103086360072,2,10308636,mbedza(long /hand line),No,,
298,103086360072,2,10308636,mbuka/ntaya/ukonde (gillnet),No,,
298,103086360072,2,10308636,mono(fish traps),No,,
298,103086360072,2,10308636,chavi (castnet),No,,
314,103086360081,2,10308636,usipa(mosquito)net,No,,
314,103086360081,2,10308636,kambuzi(beach)seine,No,,
314,103086360081,2,10308636,mbedza(long /hand line),No,,
314,103086360081,2,10308636,mbuka/ntaya/ukonde (gillnet),No,,
314,103086360081,2,10308636,mono(fish traps),No,,
314,103086360081,2,10308636,chavi (castnet),No,,
300,103086360090,2,10308636,usipa(mosquito)net,No,,
300,103086360090,2,10308636,kambuzi(beach)seine,No,,
300,103086360090,2,10308636,mbedza(long /hand line),No,,
300,103086360090,2,10308636,mbuka/ntaya/ukonde (gillnet),No,,
300,103086360090,2,10308636,mono(fish traps),No,,
300,103086360090,2,10308636,chavi (castnet),No,,
294,103086360099,2,10308636,usipa(mosquito)net,Yes,1,0
294,103086360099,2,10308636,kambuzi(beach)seine,No,,
294,103086360099,2,10308636,mbedza(long /hand line),No,,
294,103086360099,2,10308636,mbuka/ntaya/ukonde (gillnet),No,,
294,103086360099,2,10308636,mono(fish traps),No,,
294,103086360099,2,10308636,chavi (castnet),No,,
316,103086360135,2,10308636,usipa(mosquito)net,Yes,1,0
316,103086360135,2,10308636,kambuzi(beach)seine,No,,
316,103086360135,2,10308636,mbedza(long /hand line),No,,
316,103086360135,2,10308636,mbuka/ntaya/ukonde (gillnet),No,,
316,103086360135,2,10308636,mono(fish traps),No,,
316,103086360135,2,10308636,chavi (castnet),No,,
306,103086360153,2,10308636,usipa(mosquito)net,No,,
306,103086360153,2,10308636,kambuzi(beach)seine,No,,
306,103086360153,2,10308636,mbedza(long /hand line),No,,
306,103086360153,2,10308636,mbuka/ntaya/ukonde (gillnet),No,,
306,103086360153,2,10308636,mono(fish traps),No,,
306,103086360153,2,10308636,chavi (castnet),No,,
388,104041860008,2,10404186,usipa(mosquito)net,No,,
388,104041860008,2,10404186,kambuzi(beach)seine,No,,
388,104041860008,2,10404186,mbedza(long /hand line),No,,
388,104041860008,2,10404186,mbuka/ntaya/ukonde (gillnet),No,,
388,104041860008,2,10404186,mono(fish traps),No,,
388,104041860008,2,10404186,chavi (castnet),No,,
