HHID,case_id,visit,ea_id,fs_f00,fs_f01,fs_f01_os,fs_f02a,fs_f02b,fs_f02c,fs_f02d,fs_f02e,fs_f02f,fs_f02g,fs_f02h,fs_f03a,fs_f03b,fs_f03b_os,fs_f03c,fs_f03c_os,fs_f03d,fs_f03e,fs_f03f,fs_f03f_os,fs_f03g,fs_f03g_os,fs_f03h
70,101034140064,2,10103414,2,,,,,,,,,,,,,,,,,,,,,,
78,101034140075,2,10103414,2,,,,,,,,,,,,,,,,,,,,,,
182,102037440006,2,10203744,2,,,,,,,,,,,,,,,,,,,,,,
188,102037440017,2,10203744,2,,,,,,,,,,,,,,,,,,,,,,
170,102037440095,2,10203744,2,,,,,,,,,,,,,,,,,,,,,,
184,102037440112,2,10203744,2,,,,,,,,,,,,,,,,,,,,,,
232,102201030035,2,10220103,1,Usipa,,2,Other (specify),Fresh,500,,,,,50,Other (specify),SMALL PAIL,Fresh,,50,,,,,,
248,102201030110,2,10220103,2,,,,,,,,,,,,,,,,,,,,,,
254,102201030125,2,10220103,1,Usipa,,12,Other (specify),Fresh,400,,,,,12,Other (specify),SMALL PAIL,Sun-dried,,700,,,,,,
240,102201030133,2,10220103,2,,,,,,,,,,,,,,,,,,,,,,
236,102201030155,2,10220103,2,,,,,,,,,,,,,,,,,,,,,,
203,102207050206,1,10220705,2,,,,,,,,,,,,,,,,,,,,,,
251,103016630307,1,10301663,1,Usipa,,1,Large basket,Sun-dried,4000,,,,,1,Large basket,,Sun-dried,,6800,,,,,,
251,103016630307,1,10301663,1,Utaka,,1,Large basket,Sun-dried,4000,,,,,1,Large basket,,Sun-dried,,6000,,,,,,
273,103020100009,1,10302010,2,,,,,,,,,,,,,,,,,,,,,,
263,103020100028,1,10302010,2,,,,,,,,,,,,,,,,,,,,,,
279,103020100047,1,10302010,2,,,,,,,,,,,,,,,,,,,,,,
291,103040120101,1,10304012,2,,,,,,,,,,,,,,,,,,,,,,
301,103040120129,1,10304012,2,,,,,,,,,,,,,,,,,,,,,,
268,103054460016,2,10305446,1,Matemda,,10,Dozen,Fresh,6000,,,,,10,Dozen,,Fresh,,6500,0,,,,,
268,103054460016,2,10305446,1,Usipa,,10,Dozen,Fresh,6000,,,,,10,Dozen,,Fresh,,6500,,,,,,
266,103054460029,2,10305446,1,Usipa,,10,Dozen,Fresh,20000,,,,,20,Dozen,,Fresh,,40000,,,,,,
331,103074130190,1,10307413,2,,,,,,,,,,,,,,,,,,,,,,
298,103086360072,2,10308636,1,Ncheni,,4,Other (specify),Smoked,5000,,,,,4,Other (specify),DEU,Smoked,,10000,,,,,,
314,103086360081,2,10308636,1,Ncheni,,10,Large basket,Smoked,24000,,,,,10,Large basket,,Smoked,,36000,,,,,,
314,103086360081,2,10308636,1,Usipa,,15,Large basket,Sun-dried,15000,,,,,15,Large basket,,Sun-dried,,25000,,,,,,
314,103086360081,2,10308636,1,Utaka,,8,Large basket,Sun-dried,28000,,,,,8,Large basket,,Sun-dried,,40000,,,,,,
