occ,y2_hhid,qx_type,interview_status,fs_f0a,fs_f00,fs_f01,fs_f02a,fs_f02b,fs_f02c,fs_f02d,fs_f02e,fs_f02f,fs_f02g,fs_f02h,fs_f03a,fs_f03b,fs_f03c,fs_f03d,fs_f03e,fs_f03f,fs_f03g,fs_f03h
1,0163-001,PANEL A,Panel A - 2 Visits,1,YES,USIPA,8,OTHER (SPECIFY),FRESH,1400,,,,,3,OTHER (SPECIFY),SUN-DRIED,1800,,,,
1,0182-001,PANEL B,Panel B - 2 Visits,1,YES,MAKAKANI,12,OTHER (SPECIFY),FRESH,2000,,,,,8,OTHER (SPECIFY),SUN-DRIED,3500,,,,
1,0192-003,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,0203-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,0232-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,0240-001,PANEL B,Panel B - 2 Visits,1,YES,NCHENI,7,SMALL BASKET,FRESH,1600,,,,,4,SMALL BASKET,FRESH,2000,,,,
1,0266-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,0268-001,PANEL B,Panel B - 2 Visits,,YES,USIPA,4,LARGE BASKET,SUN-DRIED,80000,,,,,4,LARGE BASKET,SUN-DRIED,15000,,,,
1,0279-001,PANEL A,Panel A - 2 Visits,1,YES,CHAMBO,10,DOZEN/BUNDLE,SMOKED,4000,,,,,10,DOZEN/BUNDLE,SMOKED,6000,,,,
1,0297-002,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,0300-001,PANEL B,Panel B - 2 Visits,1,YES,USIPA,2,SMALL BASKET,SUN-DRIED,3000,1,LARGE BASKET,FRESH,4000,2,SMALL BASKET,SUN-DRIED,4800,1,LARGE BASKET,FRESH,5500
1,0301-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,0306-004,PANEL B,Panel B - 2 Visits,1,YES,USIPA,3,LARGE BASKET,SUN-DRIED,15000,,,,,3,LARGE BASKET,SUN-DRIED,24000,,,,
1,0316-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,0343-001,PANEL A,Panel A - 2 Visits,1,YES,USIPA,1,25 KG BAG,SUN-DRIED,5000,,,,,15,PIECE,SUN-DRIED,100,,,,
1,0355-001,PANEL A,Panel A - 2 Visits,1,YES,USIPA,50,SMALL BASKET,SUN-DRIED,500,,,,,10,SMALL BASKET,SUN-DRIED,5000,,,,
1,0384-001,PANEL B,Panel B - 2 Visits,,YES,USIPA,6,SMALL BASKET,FRESH,2500,,,,,8,SMALL BASKET,SUN-DRIED,4000,,,,
1,0390-001,PANEL B,Panel B - 2 Visits,,YES,USIPA,10,SMALL BASKET,FRESH,2500,,,,,15,SMALL BASKET,SUN-DRIED,3500,,,,
1,0406-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,0508-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,0782-001,PANEL B,Panel B - 2 Visits,1,YES,USIPA,15,LARGE BASKET,FRESH,27000,,,,,12,LARGE BASKET,SUN-DRIED,50000,,,,
2,0782-001,PANEL B,Panel B - 2 Visits,2,YES,UTAKA,9,SMALL BASKET,FRESH,22900,,,,,8,SMALL BASKET,SUN-DRIED,32900,,,,
3,0782-001,PANEL B,Panel B - 2 Visits,3,YES,NCHENI,2,SMALL BASKET,FRESH,10000,,,,,2,SMALL BASKET,SUN-DRIED,8000,,,,
1,1069-003,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,1134-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,
1,1218-002,PANEL B,Panel B - 2 Visits,1,YES,USIPA,20,SMALL BASKET,SUN-DRIED,750,20,SMALL BASKET,SUN-DRIED,900,20,SMALL BASKET,SUN-DRIED,900,,,,
