occ,y2_hhid,qx_type,interview_status,fs_f0b,fs_f0c,fs_f04,fs_f05,fs_f06,fs_f07
1,0163-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,YES
2,0163-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,NO,,YES,YES
3,0163-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,,YES,YES
4,0163-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,YES,YES
5,0163-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,,YES,YES
6,0163-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",YES,300,YES,YES
1,0182-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,,NO,
2,0182-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,NO,,NO,
3,0182-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,NO,
4,0182-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,NO,
5,0182-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,NO,
6,0182-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,NO,
1,0192-003,PANEL B,Panel B - 2 Visits,,,,,YES,YES
1,0203-001,PANEL A,Panel A - 2 Visits,,,,,YES,YES
1,0232-001,PANEL B,Panel B - 2 Visits,,,,,YES,YES
1,0240-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,YES
2,0240-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,NO,,YES,YES
3,0240-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,YES,YES
4,0240-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,YES,YES
5,0240-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,YES,YES
6,0240-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",YES,450,YES,YES
1,0266-001,PANEL B,Panel B - 2 Visits,,,,,NO,
1,0268-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,NO
2,0268-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,YES,22500,YES,NO
3,0268-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,YES,NO
4,0268-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,YES,NO
5,0268-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,YES,NO
6,0268-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,NO
1,0279-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,NO
2,0279-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,3000,YES,NO
3,0279-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,,YES,NO
4,0279-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,YES,NO
5,0279-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,,YES,NO
6,0279-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,NO
1,0297-002,PANEL A,Panel A - 2 Visits,,,,,NO,
1,0300-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,NO
2,0300-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,YES,800,YES,NO
3,0300-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,YES,NO
4,0300-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,YES,NO
5,0300-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,YES,NO
6,0300-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,NO
1,0301-001,PANEL A,Panel A - 2 Visits,,,,,YES,NO
1,0306-004,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,YES
2,0306-004,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,YES,4800,YES,YES
3,0306-004,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,YES,YES
4,0306-004,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,YES,YES
5,0306-004,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,YES,YES
6,0306-004,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",YES,2000,YES,YES
1,0316-001,PANEL B,Panel B - 2 Visits,,,,,YES,NO
1,0343-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,YES
2,0343-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,NO,,YES,YES
3,0343-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,,YES,YES
4,0343-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,YES,YES
5,0343-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,,YES,YES
6,0343-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,YES
1,0355-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,YES
2,0355-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,YES,1500,YES,YES
3,0355-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,YES,1500,YES,YES
4,0355-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,,YES,YES
5,0355-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,,YES,YES
6,0355-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,YES
1,0384-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,YES
2,0384-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,NO,,YES,YES
3,0384-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,YES,YES
4,0384-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,YES,YES
5,0384-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,YES,YES
6,0384-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,YES
1,0390-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,,YES,YES
2,0390-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,NO,,YES,YES
3,0390-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,YES,YES
4,0390-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,,YES,YES
5,0390-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,,YES,YES
6,0390-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,,YES,YES
1,0406-001,PANEL B,Panel B - 2 Visits,,,,,YES,YES
1,0508-001,PANEL B,Panel B - 2 Visits,,,,,YES,YES
1,0782-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,YES,2500,YES,YES
2,0782-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,YES,9000,YES,YES
3,0782-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,,YES,YES
