HHID,case_id,visit,ea_id,fs_g00,fs_g01a,fs_g01b,fs_g01c,fs_g02a,fs_g02b,fs_g02c,fs_g03a,fs_g03b,fs_g03c,fs_g04a,fs_g04b,fs_g04c
70,101034140064,2,10103414,,,,,,,,,,,,,
78,101034140075,2,10103414,,,,,,,,,,,,,
182,102037440006,2,10203744,1,0,0,0,5,3,7,5,3,7,0,0,0
188,102037440017,2,10203744,1,0,0,0,2,2,8,2,2,8,0,0,0
170,102037440095,2,10203744,1,0,0,0,28,2,12,28,2,12,0,0,0
184,102037440112,2,10203744,1,40,7,12,0,0,0,40,7,12,0,0,0
232,102201030035,2,10220103,2,0,0,0,0,0,0,0,0,0,10,4,5
248,102201030110,2,10220103,,,,,,,,,,,,,
254,102201030125,2,10220103,1,4,3,12,0,0,0,14,3,12,0,0,0
254,102201030125,2,10220103,2,0,0,0,0,0,0,0,0,0,1,3,8
240,102201030133,2,10220103,1,24,7,12,0,0,0,24,7,12,0,0,0
236,102201030155,2,10220103,1,6,4,10,0,0,0,5,4,10,0,0,0
203,102207050206,1,10220705,1,3,6,4,0,0,0,3,6,4,0,0,0
251,103016630307,1,10301663,,,,,,,,,,,,,
273,103020100009,1,10302010,,,,,,,,,,,,,
263,103020100028,1,10302010,,,,,,,,,,,,,
279,103020100047,1,10302010,,,,,,,,,,,,,
291,103040120101,1,10304012,,,,,,,,,,,,,
301,103040120129,1,10304012,,,,,,,,,,,,,
268,103054460016,2,10305446,,,,,,,,,,,,,
266,103054460029,2,10305446,,,,,,,,,,,,,
331,103074130190,1,10307413,,,,,,,,,,,,,
298,103086360072,2,10308636,,,,,,,,,,,,,
314,103086360081,2,10308636,,,,,,,,,,,,,
300,103086360090,2,10308636,1,0,0,0,0,0,0,0,0,0,20,4,6
300,103086360090,2,10308636,2,0,0,0,0,0,0,0,0,0,15,2,3
294,103086360099,2,10308636,1,4,7,10,0,0,0,0,0,0,4,7,10
316,103086360135,2,10308636,1,24,5,4,0,0,0,0,0,0,0,0,0
306,103086360153,2,10308636,,,,,,,,,,,,,
388,104041860008,2,10404186,,,,,,,,,,,,,
396,104041860012,2,10404186,1,24,7,6,0,0,0,0,0,0,0,0,0
384,104041860017,2,10404186,1,12,7,5,0,0,0,0,0,0,0,0,0
404,104041860021,2,10404186,,,,,,,,,,,,,
410,104041860030,2,10404186,,,,,,,,,,,,,
386,104041860034,2,10404186,,,,,,,,,,,,,
406,104041860039,2,10404186,,,,,,,,,,,,,
394,104041860043,2,10404186,,,,,,,,,,,,,
408,104041860061,2,10404186,1,4,6,10,0,0,0,0,0,0,4,6,10
390,104041860065,2,10404186,1,0,0,0,2,5,7,0,0,0,0,0,0
412,104041860083,2,10404186,2,0,0,0,0,0,0,0,0,0,8,5,6
424,105015050001,2,10501505,,,,,,,,,,,,,
501,105033670018,1,10503367,,,,,,,,,,,,,
633,107321920281,1,10732192,1,0,0,0,0,0,0,0,0,0,8,4,5
764,107462440085,2,10746244,2,0,0,0,0,0,0,0,0,0,4,6,6
793,201106200267,1,20110620,1,0,0,0,0,0,0,0,0,0,2,6,7
973,204040320072,1,20404032,,,,,,,,,,,,,
