occ,y2_hhid,qx_type,interview_status,fs_g00,fs_g01a,fs_g01b,fs_g01c,fs_g02a,fs_g02b,fs_g02c,fs_g03a,fs_g03b,fs_g03c,fs_g04a,fs_g04b,fs_g04c
1,0163-001,PANEL A,Panel A - 2 Visits,2,0,0,0,0,0,0,0,0,0,7,4,9
1,0182-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,
1,0192-003,PANEL B,Panel B - 2 Visits,1,6,1,9,0,0,0,0,0,0,0,0,0
1,0203-001,PANEL A,Panel A - 2 Visits,1,10,5,3,0,0,0,10,5,1,0,0,0
1,0232-001,PANEL B,Panel B - 2 Visits,1,24,2,12,0,0,0,0,0,0,0,0,0
2,0232-001,PANEL B,Panel B - 2 Visits,2,23,2,2.5,0,0,0,0,0,0,0,0,0
1,0240-001,PANEL B,Panel B - 2 Visits,2,0,0,0,0,0,0,0,0,0,4,4,5
1,0266-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,
1,0268-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,
1,0279-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,
1,0297-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,
1,0300-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,
1,0301-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,
1,0306-004,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,12,6,5
1,0316-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,
1,0343-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,4,6,6
1,0355-001,PANEL A,Panel A - 2 Visits,9,0,0,0,0,0,0,0,0,0,4,3,2
1,0384-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,12,3,4
2,0384-001,PANEL B,Panel B - 2 Visits,2,0,0,0,0,0,0,0,0,0,12,3,3
3,0384-001,PANEL B,Panel B - 2 Visits,5,0,0,0,0,0,0,0,0,0,12,3,3
1,0390-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,16,4,4
2,0390-001,PANEL B,Panel B - 2 Visits,2,0,0,0,0,0,0,0,0,0,16,4,2
3,0390-001,PANEL B,Panel B - 2 Visits,3,0,0,0,0,0,0,0,0,0,9,3,2
1,0406-001,PANEL B,Panel B - 2 Visits,1,12,2,3,0,0,0,0,0,0,0,0,0
2,0406-001,PANEL B,Panel B - 2 Visits,2,12,2,3,0,0,0,0,0,0,0,0,0
3,0406-001,PANEL B,Panel B - 2 Visits,3,9,2,1.5,0,0,0,0,0,0,0,0,0
1,0508-001,PANEL B,Panel B - 2 Visits,1,0,0,0,4,1,3,0,0,0,0,0,0
1,0782-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,4,2,3
1,1069-003,PANEL A,Panel A - 2 Visits,1,5,4,3,0,0,0,5,4,3,0,0,0
1,1134-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,
1,1218-002,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,
1,1325-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,
1,1659-005,PANEL A,Panel A - Combined Visit,2,0,0,0,0,0,0,0,0,0,4,6,8
1,1740-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,
1,1804-001,PANEL B,Panel B - 2 Visits,1,2,4,2,0,0,0,2,4,2,0,0,0
2,1804-001,PANEL B,Panel B - 2 Visits,2,2,2,1,0,0,0,2,2,1,0,0,0
3,1804-001,PANEL B,Panel B - 2 Visits,5,2,2,1,0,0,0,2,2,1,0,0,0
4,1804-001,PANEL B,Panel B - 2 Visits,6,2,4,2,0,0,0,2,4,2,0,0,0
1,1879-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,
1,1921-001,PANEL A,Panel A - 2 Visits,1,2,6,6,0,0,0,0,0,0,0,0,0
1,1935-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,
1,1945-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,
1,1949-001,PANEL A,Panel A - 2 Visits,1,6,4,8,0,0,0,0,0,0,0,0,0
1,1951-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,
1,1951-002,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,4,7,8
1,2053-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,
1,2073-001,PANEL A,Panel A - 2 Visits,1,4,5,4,0,0,0,4,5,1,0,0,0
1,2103-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,
1,2189-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,3,3,5
1,2202-002,PANEL B,Panel B - Combined Visit,,,,,,,,,,,,,
1,2231-004,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,1,2,5
1,2403-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2433-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,12,4,5
1,2563-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,16,4,7
1,2569-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,12,4,8
1,2598-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,20,3,3
1,2603-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,2,2,10
1,2656-001,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,28,7,5
1,2703-001,PANEL A,Panel A - 2 Visits,1,0,0,0,0,0,0,0,0,0,28,6,6
1,2777-001,PANEL A,Panel A - 2 Visits,1,,,,,,,,,,32,6,8
1,2788-003,PANEL B,Panel B - 2 Visits,1,0,0,0,0,0,0,0,0,0,4,6,6
1,2812-003,PANEL B,Panel B - Combined Visit,2,0,0,0,0,0,0,0,0,0,4,4,8
1,2835-001,PANEL A,Panel A - 2 Visits,1,,,,,,,,,,3,5,2
2,2835-001,PANEL A,Panel A - 2 Visits,3,,,,,,,,,,3,5,2
1,2984-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,
1,3036-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,
1,3074-002,PANEL B,Panel B - 2 Visits,0,0,0,0,0,0,0,0,0,0,30,2,4
1,3143-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,
1,3155-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,
