HHID,case_id,visit,ea_id,fs_h0a,fs_h0a_os,fs_h01,fs_h02,fs_h03,fs_h04,fs_h05,fs_h06
70,101034140064,2,10103414,,,,,,,,
78,101034140075,2,10103414,,,,,,,,
182,102037440006,2,10203744,usipa(mosquito)net,,Yes,1,0,75000,0,12000
182,102037440006,2,10203744,kambuzi(beach)seine,,No,,,,,
182,102037440006,2,10203744,mbedza(long /hand line),,No,,,,,
182,102037440006,2,10203744,mbuka/ntaya/ukonde (gillnet),,No,,,,,
182,102037440006,2,10203744,mono(fish traps),,No,,,,,
182,102037440006,2,10203744,chavi (castnet),,No,,,,,
182,102037440006,2,10203744,"other, specify",,No,,,,,
182,102037440006,2,10203744,"other, specify",,No,,,,,
188,102037440017,2,10203744,usipa(mosquito)net,,Yes,1,0,80000,0,8000
188,102037440017,2,10203744,kambuzi(beach)seine,,Yes,1,0,10000,0,2000
188,102037440017,2,10203744,mbedza(long /hand line),,Yes,12,12,340,0,0
188,102037440017,2,10203744,mbuka/ntaya/ukonde (gillnet),,No,,,,,
188,102037440017,2,10203744,mono(fish traps),,No,,,,,
188,102037440017,2,10203744,chavi (castnet),,No,,,,,
188,102037440017,2,10203744,"other, specify",,No,,,,,
188,102037440017,2,10203744,"other, specify",,No,,,,,
170,102037440095,2,10203744,usipa(mosquito)net,,Yes,1,0,27000,0,8000
170,102037440095,2,10203744,kambuzi(beach)seine,,No,,,,,
170,102037440095,2,10203744,mbedza(long /hand line),,No,,,,,
170,102037440095,2,10203744,mbuka/ntaya/ukonde (gillnet),,No,,,,,
170,102037440095,2,10203744,mono(fish traps),,No,,,,,
170,102037440095,2,10203744,chavi (castnet),,No,,,,,
170,102037440095,2,10203744,"other, specify",,No,,,,,
170,102037440095,2,10203744,"other, specify",,No,,,,,
184,102037440112,2,10203744,usipa(mosquito)net,,Yes,1,0,20000,0,18000
184,102037440112,2,10203744,kambuzi(beach)seine,,No,,,,,
184,102037440112,2,10203744,mbedza(long /hand line),,No,,,,,
184,102037440112,2,10203744,mbuka/ntaya/ukonde (gillnet),,No,,,,,
184,102037440112,2,10203744,mono(fish traps),,No,,,,,
184,102037440112,2,10203744,chavi (castnet),,No,,,,,
184,102037440112,2,10203744,"other, specify",,No,,,,,
184,102037440112,2,10203744,"other, specify",,No,,,,,
232,102201030035,2,10220103,usipa(mosquito)net,,No,,,,,
232,102201030035,2,10220103,kambuzi(beach)seine,,No,,,,,
232,102201030035,2,10220103,mbedza(long /hand line),,No,,,,,
232,102201030035,2,10220103,mbuka/ntaya/ukonde (gillnet),,No,,,,,
232,102201030035,2,10220103,mono(fish traps),,No,,,,,
232,102201030035,2,10220103,chavi (castnet),,No,,,,,
232,102201030035,2,10220103,"other, specify",,No,,,,,
232,102201030035,2,10220103,"other, specify",,No,,,,,
248,102201030110,2,10220103,,,,,,,,
254,102201030125,2,10220103,usipa(mosquito)net,,Yes,9,9,4500,3,0
254,102201030125,2,10220103,kambuzi(beach)seine,,No,,,,,
254,102201030125,2,10220103,mbedza(long /hand line),,No,,,,,
254,102201030125,2,10220103,mbuka/ntaya/ukonde (gillnet),,Yes,1,1,55000,0,0
