HHID,case_id,visit,ea_id,fs_h15,fs_h16a,fs_h16b,fs_h17,fs_h18a,fs_h18b,fs_h18c,fs_h18d,fs_h19,fs_h20a,fs_h20b,fs_h21a,fs_h21b,fs_h22,fs_h23,fs_h24a,fs_h24b
70,101034140064,2,10103414,,,,,,,,,,,,,,,,,
78,101034140075,2,10103414,,,,,,,,,,,,,,,,,
182,102037440006,2,10203744,No,,,No,,,,,,,,,,No,,,
188,102037440017,2,10203744,No,,,No,,,,,,,,,,No,,,
170,102037440095,2,10203744,No,,,No,,,,,,,,,,Yes,PARAFIN SPIRIT,2000,Week
184,102037440112,2,10203744,No,,,No,,,,,,,,,,Yes,PARAFIN SPIRIT,16000,Season
232,102201030035,2,10220103,,,,,,,,,,,,,,No,,,
248,102201030110,2,10220103,,,,,,,,,,,,,,,,,
254,102201030125,2,10220103,Yes,200,0,No,,,,,,,,,,Yes,PARAFFIN NKHAFI,8000,Season
240,102201030133,2,10220103,Yes,700,0,No,,,,,,,,,,Yes,PARAFFIN,20000,Week
236,102201030155,2,10220103,,,,,,,,,,,,,,No,,,
203,102207050206,1,10220705,,,,,,,,,,,,,,Yes,NKHAFI THREAD,8000,Season
251,103016630307,1,10301663,,,,,,,,,,,,,,,,,
273,103020100009,1,10302010,,,,,,,,,,,,,,,,,
263,103020100028,1,10302010,,,,,,,,,,,,,,,,,
279,103020100047,1,10302010,,,,,,,,,,,,,,,,,
291,103040120101,1,10304012,,,,,,,,,,,,,,,,,
301,103040120129,1,10304012,,,,,,,,,,,,,,,,,
268,103054460016,2,10305446,,,,,,,,,,,,,,,,,
266,103054460029,2,10305446,,,,,,,,,,,,,,,,,
331,103074130190,1,10307413,,,,,,,,,,,,,,,,,
298,103086360072,2,10308636,,,,,,,,,,,,,,,,,
314,103086360081,2,10308636,,,,,,,,,,,,,,,,,
300,103086360090,2,10308636,,,,,,,,,,,,,,No,,,
294,103086360099,2,10308636,,,,,,,,,,,,,,No,,,
316,103086360135,2,10308636,,,,,,,,,,,,,,No,,,
306,103086360153,2,10308636,,,,,,,,,,,,,,,,,
388,104041860008,2,10404186,,,,,,,,,,,,,,,,,
396,104041860012,2,10404186,,,,,,,,,,,,,,Yes,PARAFIN KOLOBOYI,8000,Season
384,104041860017,2,10404186,,,,,,,,,,,,,,No,,,
404,104041860021,2,10404186,,,,,,,,,,,,,,,,,
410,104041860030,2,10404186,,,,,,,,,,,,,,,,,
386,104041860034,2,10404186,,,,,,,,,,,,,,,,,
406,104041860039,2,10404186,,,,,,,,,,,,,,,,,
394,104041860043,2,10404186,,,,,,,,,,,,,,,,,
408,104041860061,2,10404186,,,,,,,,,,,,,,No,,,
390,104041860065,2,10404186,,,,,,,,,,,,,,No,,,
412,104041860083,2,10404186,,,,,,,,,,,,,,No,,,
424,105015050001,2,10501505,,,,,,,,,,,,,,,,,
501,105033670018,1,10503367,,,,,,,,,,,,,,,,,
633,107321920281,1,10732192,,,,,,,,,,,,,,No,,,
764,107462440085,2,10746244,,,,,,,,,,,,,,No,,,
793,201106200267,1,20110620,,,,,,,,,,,,,,No,,,
973,204040320072,1,20404032,,,,,,,,,,,,,,,,,
1107,205083490010,1,20508349,,,,,,,,,,,,,,,,,
1091,205083490121,1,20508349,,,,,,,,,,,,,,No,,,
1381,207053720086,1,20705372,,,,,,,,,,,,,,No,,,
1429,207061630586,1,20706163,,,,,,,,,,,,,,No,,,
1461,208044050092,1,20804405,,,,,,,,,,,,,,,,,
1637,210375360135,1,21037536,,,,,,,,,,,,,,,,,
1951,301012800005,1,30101280,,,,,,,,,,,,,,,,,
1923,301012800063,1,30101280,,,,,,,,,,,,,,,,,
1935,301012800066,1,30101280,,,,,,,,,,,,,,,,,
1943,301012800128,1,30101280,Yes,200,0,No,,,,,,,,,,Yes,PAYING AGANYU,200,Week
1939,301012800172,1,30101280,,,,,,,,,,,,,,Yes,PAYING OF WORKERS,400,Week
1979,301020280258,1,30102028,,,,,,,,,,,,,,No,,,
2053,301084010268,1,30108401,,,,,,,,,,,,,,,,,
2189,303026010171,1,30302601,,,,,,,,,,,,,,Yes,FOOD,400,Week
2223,303052770138,1,30305277,,,,,,,,,,,,,,,,,
2257,303055800113,1,30305580,,,,,,,,,,,,,,,,,
2278,303076780046,2,30307678,,,,,,,,,,,,,,No,,,
2355,304067100177,1,30406710,,,,,,,,,,,,,,No,,,
2399,305024560043,1,30502456,,,,,,,,,,,,,,No,,,
2454,307086650188,2,30708665,,,,,,,,,,,,,,No,,,
2581,307116840099,1,30711684,,,,,,,,,,,,,,No,,,
2569,307116840228,1,30711684,,,,,,,,,,,,,,No,,,
2623,308016720066,1,30801672,Yes,2000,0,No,,,,,,,,,,No,,,
2777,310021690162,1,31002169,,,,,,,,,,,,,,No,,,
2823,311087030266,1,31108703,,,,,,,,,,,,,,No,,,
2827,311087030320,1,31108703,,,,,,,,,,,,,,No,,,
2835,311087030327,1,31108703,,,,,,,,,,,,,,No,,,
2833,311087030374,1,31108703,,,,,,,,,,,,,,,,,
2891,312046180102,1,31204618,,,,,,,,,,,,,,,,,
2868,314325230046,2,31432523,,,,,,,,,,,,,,,,,
2940,314386900029,2,31438690,,,,,,,,,,,,,,,,,
2958,314391020044,2,31439102,,,,,,,,,,,,,,,,,
2978,314391020125,2,31439102,Yes,3000,0,No,,,,,,,,,,Yes,,3000,Week
2984,314423940024,2,31442394,,,,,,,,,,,,,,,,,
