HHID,case_id,visit,ea_id,fs_i01,fs_i02,fs_i02_os,fs_i03,fs_i04a,fs_i04b,fs_i04b_os,fs_i04c,fs_i04c_os,fs_i04d,fs_i04e,fs_i04f,fs_i05a,fs_i05b,fs_i06a,fs_i06b,fs_i06b_os,fs_i06c,fs_i06c_os,fs_i06d,fs_i06e,fs_i06f,fs_i07,fs_i07_os,fs_i08a,fs_i08b,fs_i08b_os,fs_i08c,fs_i08c_os,fs_i08d,fs_i08e,fs_i08f,fs_i08f_os,fs_i08g,fs_i08h,fs_i09,fs_i10,fs_i10_os,fs_i11a,fs_i11b,fs_i11b_os,fs_i11c,fs_i11c_os,fs_i11d,fs_i11e,fs_i11e_os,fs_i11f,fs_i11f_os,fs_i12,fs_i13,fs_i13_os
70,101034140064,2,10103414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,101034140075,2,10103414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,102037440006,2,10203744,Yes,Utaka,,5,8,Other (specify),SMALL PAIL,Fresh,,,,,40,,40,Other (specify),SMALL PAIL,Fresh,,,,,"Yes, the figures matched",,7,Other (specify),SMALL PAIL,Fresh,,800,,,,,,5,Yes,,.5,Other (specify),SMALL PAIL,Fresh,,.5,Other (specify),SMALL PAIL,Sun-dried,,Almost none,"Yes, the figures matched",
188,102037440017,2,10203744,Yes,Usipa,,2,15,Other (specify),SMALL PAIL,Fresh,,,,,30,,30,Other (specify),SMALL PAIL,Fresh,,,,,"Yes, the figures matched",,29,Other (specify),SMALL PAIL,Fresh,,600,,,,,,2,Yes,,1,Other (specify),SMALL PAIL,Fresh,,,,,,,Almost none,"Yes, the figures matched",
188,102037440017,2,10203744,Yes,Utaka,,2,16,Other (specify),SMALL PAIL,Fresh,,,,,32,,32,Other (specify),SMALL PAIL,Fresh,,,,,,,31,Other (specify),SMALL PAIL,Fresh,,700,,,,,,2,,,1,Other (specify),SMALL PAIL,Fresh,,,,,,,Almost none,,
170,102037440095,2,10203744,Yes,Usipa,,28,12,Other (specify),10 LITTER PAIL,Fresh,,,,,336,,336,Other (specify),10 LITTER PAIL,Fresh,,,,,"Yes, the figures matched",,11,Other (specify),10 LITTER PAIL,Fresh,,2000,,,,,,28,No,,1,Other (specify),10 LITTER PAIL,Fresh,,,,,,,Almost none,"Yes, the figures matched",
184,102037440112,2,10203744,Yes,Usipa,,40,15,Other (specify),10 LITRE PAIL,Fresh,,,,,600,,600,Other (specify),10 LITRE PAIL,Fresh,,,,,"Yes, the figures matched",,14,Other (specify),10 LITRE PAIL,Fresh,,1500,,,,,,40,No,,1,Other (specify),10 LITRE PAIL,Fresh,,,,,,,1/4,"Yes, the figures matched",
232,102201030035,2,10220103,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,102201030110,2,10220103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,102201030125,2,10220103,Yes,Utaka,,14,12,Other (specify),SMALL PAIL,Fresh,,,,,168,,84,Other (specify),SMALL PAIL,Fresh,,,,,"Yes, the figures matched",,12,Other (specify),SMALL PAIL,Fresh,,800,,,,,,14,No,,0,,NOTHING,,NOTHING,,,,,,Almost none,"Yes, the figures matched",
