occ,y2_hhid,qx_type,interview_status,fs_i0a,fs_i01,fs_i02,fs_i03,fs_i04a,fs_i04b,fs_i04c,fs_i04d,fs_i04e,fs_i04f,fs_i05a,fs_i05b,fs_i06a,fs_i06b,fs_i06c,fs_i06d,fs_i06e,fs_i06f,fs_i07,fs_i08a,fs_i08b,fs_i08c,fs_i08d,fs_i08e,fs_i08f,fs_i08g,fs_i08h,fs_i09,fs_i10,fs_i11a,fs_i11b,fs_i11c,fs_i11d,fs_i11e,fs_i11f,fs_i12,fs_i13
1,0163-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0182-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0192-003,PANEL B,Panel B - 2 Visits,1,YES,USIPA,6,20,OTHER (SPECIFY),FRESH,,,,120,,120,OTHER (SPECIFY),FRESH,,,,"YES, THE FIGURES MATCHED",15,OTHER (SPECIFY),FRESH,3000,,,,,6,YES,1,KILOGRAM,FRESH,,,,ALMOST NONE,"YES, THE FIGURES MATCHED"
2,0192-003,PANEL B,Panel B - 2 Visits,2,YES,UTAKA,5,4,OTHER (SPECIFY),FRESH,,,,20,,20,OTHER (SPECIFY),FRESH,,,,,4,OTHER (SPECIFY),FRESH,3000,,,,,5,,1,KILOGRAM,FRESH,,,,ALMOST NONE,
1,0203-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0232-001,PANEL B,Panel B - 2 Visits,1,YES,USIPA,24,7,OTHER (SPECIFY),FRESH,,,,63,,63,OTHER (SPECIFY),FRESH,,,,"YES, THE FIGURES MATCHED",6,OTHER (SPECIFY),FRESH,3000,,,,,24,NO,3,KILOGRAM,FRESH,,,,ALMOST NONE,"YES, THE FIGURES MATCHED"
1,0240-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0266-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0268-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0279-001,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0297-002,PANEL A,Panel A - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0300-001,PANEL B,Panel B - 2 Visits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
