HHID,case_id,visit,ea_id,fs_j00,fs_j01,fs_j01_os,fs_j02a,fs_j02b,fs_j02b_os,fs_j02c,fs_j02c_os,fs_j02d,fs_j02e,fs_j02f,fs_j02g,fs_j02g_os,fs_j02h,fs_j03a,fs_j03b,fs_j03b_os,fs_j03c,fs_j03c_os,fs_j03d,fs_j03e,fs_j03f,fs_j03g,fs_j03g_os,fs_j03h
70,101034140064,2,10103414,,,,,,,,,,,,,,,,,,,,,,,,,
78,101034140075,2,10103414,,,,,,,,,,,,,,,,,,,,,,,,,
182,102037440006,2,10203744,2,,,,,,,,,,,,,,,,,,,,,,,,
188,102037440017,2,10203744,2,,,,,,,,,,,,,,,,,,,,,,,,
170,102037440095,2,10203744,2,,,,,,,,,,,,,,,,,,,,,,,,
184,102037440112,2,10203744,2,,,,,,,,,,,,,,,,,,,,,,,,
232,102201030035,2,10220103,1,Usipa,,2,Other (specify),SMALL PAIL,Fresh,,1500,,,,,,42,Other (specify),HEAPS OF USIPA1,Fresh,,100,,,,,
248,102201030110,2,10220103,,,,,,,,,,,,,,,,,,,,,,,,,
254,102201030125,2,10220103,1,Utaka,,3,Other (specify),SMALL PAIL,Fresh,,800,,,,,,2.5,Other (specify),SMALL PAIL,Smoked,,1000,,,,,
240,102201030133,2,10220103,2,,,,,,,,,,,,,,,,,,,,,,,,
236,102201030155,2,10220103,2,,,,,,,,,,,,,,,,,,,,,,,,
203,102207050206,1,10220705,2,,,,,,,,,,,,,,,,,,,,,,,,
251,103016630307,1,10301663,,,,,,,,,,,,,,,,,,,,,,,,,
273,103020100009,1,10302010,,,,,,,,,,,,,,,,,,,,,,,,,
263,103020100028,1,10302010,,,,,,,,,,,,,,,,,,,,,,,,,
279,103020100047,1,10302010,,,,,,,,,,,,,,,,,,,,,,,,,
291,103040120101,1,10304012,,,,,,,,,,,,,,,,,,,,,,,,,
301,103040120129,1,10304012,,,,,,,,,,,,,,,,,,,,,,,,,
268,103054460016,2,10305446,,,,,,,,,,,,,,,,,,,,,,,,,
266,103054460029,2,10305446,,,,,,,,,,,,,,,,,,,,,,,,,
331,103074130190,1,10307413,,,,,,,,,,,,,,,,,,,,,,,,,
298,103086360072,2,10308636,,,,,,,,,,,,,,,,,,,,,,,,,
314,103086360081,2,10308636,,,,,,,,,,,,,,,,,,,,,,,,,
300,103086360090,2,10308636,1,Ncheni,,5,Large basket,,Smoked,,5000,,,,,,1,Large basket,,Smoked,,2000,,,,,
300,103086360090,2,10308636,1,Usipa,,7,Large basket,,Sun-dried,,8000,,,,,,2,Large basket,,Sun-dried,,3000,,,,,
294,103086360099,2,10308636,1,Usipa,,0,,,,,,0,,,,,5,Dozen,,Fresh,,1000,5,Dozen,Sun-dried,,1000
316,103086360135,2,10308636,2,,,,,,,,,,,,,,,,,,,,,,,,
306,103086360153,2,10308636,,,,,,,,,,,,,,,,,,,,,,,,,
388,104041860008,2,10404186,,,,,,,,,,,,,,,,,,,,,,,,,
396,104041860012,2,10404186,2,,,,,,,,,,,,,,,,,,,,,,,,
384,104041860017,2,10404186,2,,,,,,,,,,,,,,,,,,,,,,,,
404,104041860021,2,10404186,,,,,,,,,,,,,,,,,,,,,,,,,
