occ,y2_hhid,qx_type,interview_status,fs_j0b,fs_j0c,fs_j04,fs_j05
1,0163-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,
2,0163-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,NO,
3,0163-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,
4,0163-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,
5,0163-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,
6,0163-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",YES,400
1,0182-001,PANEL B,Panel B - 2 Visits,,,,
1,0192-003,PANEL B,Panel B - 2 Visits,,,,
1,0203-001,PANEL A,Panel A - 2 Visits,,,,
1,0232-001,PANEL B,Panel B - 2 Visits,,,,
1,0240-001,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,
2,0240-001,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,NO,
3,0240-001,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,
4,0240-001,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,
5,0240-001,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,
6,0240-001,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",YES,400
1,0266-001,PANEL B,Panel B - 2 Visits,,,,
1,0268-001,PANEL B,Panel B - 2 Visits,,,,
1,0279-001,PANEL A,Panel A - 2 Visits,,,,
1,0297-002,PANEL A,Panel A - 2 Visits,,,,
1,0300-001,PANEL B,Panel B - 2 Visits,,,,
1,0301-001,PANEL A,Panel A - 2 Visits,,,,
1,0306-004,PANEL B,Panel B - 2 Visits,HIRED LABOUR,Hired Labour,NO,
2,0306-004,PANEL B,Panel B - 2 Visits,TRANSPORT,Transport,YES,5000
3,0306-004,PANEL B,Panel B - 2 Visits,PACKAGING,Packaging,NO,
4,0306-004,PANEL B,Panel B - 2 Visits,ICE,Ice,NO,
5,0306-004,PANEL B,Panel B - 2 Visits,TAX,Tax,NO,
6,0306-004,PANEL B,Panel B - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,
1,0316-001,PANEL B,Panel B - 2 Visits,,,,
1,0343-001,PANEL A,Panel A - 2 Visits,HIRED LABOUR,Hired Labour,NO,
2,0343-001,PANEL A,Panel A - 2 Visits,TRANSPORT,Transport,NO,
3,0343-001,PANEL A,Panel A - 2 Visits,PACKAGING,Packaging,NO,
4,0343-001,PANEL A,Panel A - 2 Visits,ICE,Ice,NO,
5,0343-001,PANEL A,Panel A - 2 Visits,TAX,Tax,NO,
6,0343-001,PANEL A,Panel A - 2 Visits,OTHER (SPECIFY),"Other, specify",NO,
