HHID,case_id,ea_id,reside,stratum,hh_wgt,qx_type,hh_a01,hh_a02,hh_a02b,hh_a11,hh_a13,hh_a22_1,hh_a22_2,hh_a23_1,hh_a23a_1,hh_a23b_1,hh_a23c_1,hh_a23_2,hh_a23a_2,hh_a23b_2,hh_a23c_2,hh_a25_1,hh_a25_2,hh_a26_1,hh_a26a_1,hh_a26b_1,hh_a26c_1,hh_a26_2,hh_a26a_2,hh_a26b_2,hh_a26c_2,hh_a31_1,hh_a31_2,hh_a32_1,hh_a32a_1,hh_a32b_1,hh_a32c_1,hh_a32_2,hh_a32a_2,hh_a32b_2,hh_a32c_2,hh_a34_1,hh_a34_2,hh_a35_1,hh_a35a_1,hh_a35b_1,hh_a35c_1,hh_a35_2,hh_a35a_2,hh_a35b_2,hh_a35c_2,hh_g09,hh_m00,hh_o00,hh_s01,hh_w01,int_outcome_1,int_outcome_2
37,101010160009,10101016,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,14,14,14apr2010,14,4,2010,24aug2010,24,8,2010,10,10,15apr2010,15,4,2010,24aug2010,24,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,20dec2010,20,12,2010,Yes,Yes,No,No,No,Complete,Complete
45,101010160033,10101016,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,12,12,12apr2010,12,4,2010,24aug2010,24,8,2010,10,10,14apr2010,14,4,2010,24aug2010,24,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,20dec2010,20,12,2010,No,Yes,Yes,No,No,Complete,Complete
35,101010160060,10101016,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,13,13,11apr2010,11,4,2010,24aug2010,24,8,2010,10,10,11apr2010,11,4,2010,25aug2010,25,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,23sep2010,23,9,2010,21dec2010,21,12,2010,Yes,Yes,Yes,No,No,Complete,Complete
41,101010160068,10101016,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,14,14,12apr2010,12,4,2010,24aug2010,24,8,2010,10,10,15apr2010,15,4,2010,25aug2010,25,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,21dec2010,21,12,2010,Yes,Yes,No,No,No,Complete,Complete
61,101010160069,10101016,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,12,12,11apr2010,11,4,2010,24aug2010,24,8,2010,10,10,12apr2010,12,4,2010,24aug2010,24,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,21sep2010,21,9,2010,20dec2010,20,12,2010,Yes,Yes,No,No,No,Complete,Complete
51,101010160070,10101016,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,11,11,12apr2010,12,4,2010,24aug2010,24,8,2010,10,10,15apr2010,15,4,2010,24aug2010,24,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,21dec2010,21,12,2010,Yes,Yes,Yes,Yes,No,Complete,Complete
57,101010160074,10101016,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,14,14,11apr2010,11,4,2010,24aug2010,24,8,2010,10,10,14apr2010,14,4,2010,24aug2010,24,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,21dec2010,21,12,2010,Yes,Yes,Yes,No,No,Complete,Complete
55,101010160086,10101016,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,11,11,11apr2010,11,4,2010,24aug2010,24,8,2010,10,10,15apr2010,15,4,2010,25aug2010,25,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,21dec2010,21,12,2010,No,Yes,Yes,No,No,Complete,Complete
47,101010160096,10101016,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,14,14,13apr2010,13,4,2010,24aug2010,24,8,2010,10,10,16apr2010,16,4,2010,25aug2010,25,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,20dec2010,20,12,2010,No,Yes,Yes,No,No,Complete,Complete
63,101010160143,10101016,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,11,11,12apr2010,12,4,2010,24aug2010,24,8,2010,10,10,13apr2010,13,4,2010,24aug2010,24,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,20dec2010,20,12,2010,No,Yes,No,No,No,Complete,Complete
59,101010160159,10101016,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,13,13,14apr2010,14,4,2010,24aug2010,24,8,2010,10,10,15apr2010,15,4,2010,25aug2010,25,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,20dec2010,20,12,2010,No,Yes,Yes,No,No,Complete,Complete
33,101010160180,10101016,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,13,13,13apr2010,13,4,2010,24aug2010,24,8,2010,10,10,14apr2010,14,4,2010,25aug2010,25,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,20dec2010,20,12,2010,No,Yes,No,No,No,Complete,Complete
49,101010160207,10101016,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,14,14,13apr2010,13,4,2010,24aug2010,24,8,2010,10,10,16apr2010,16,4,2010,25aug2010,25,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,21dec2010,21,12,2010,No,Yes,No,No,No,Complete,Complete
53,101010160235,10101016,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,12,12,13apr2010,13,4,2010,24aug2010,24,8,2010,10,10,14apr2010,14,4,2010,24aug2010,24,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,22sep2010,22,9,2010,20dec2010,20,12,2010,No,Yes,No,No,No,Complete,Complete
43,101010160254,10101016,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,12,12,13apr2010,13,4,2010,24aug2010,24,8,2010,10,10,14apr2010,14,4,2010,24aug2010,24,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,21sep2010,21,9,2010,20dec2010,20,12,2010,No,Yes,No,No,No,Complete,Complete
39,101010160265,10101016,rural,North - Rural,430.46121,Panel A,Chitipa,1,Mwabulambya,No,,11,11,13apr2010,13,4,2010,24aug2010,24,8,2010,10,10,14apr2010,14,4,2010,24aug2010,24,8,2010,19,19,24apr2010,24,4,2010,25aug2010,25,8,2010,6,10,21sep2010,21,9,2010,20dec2010,20,12,2010,No,Yes,Yes,No,No,Complete,Complete
40,101012040003,10101204,rural,North - Rural,514.62598,Panel B,Chitipa,1,Mwabulambya,No,,12,12,22apr2010,22,4,2010,09aug2010,9,8,2010,10,10,24apr2010,24,4,2010,10aug2010,10,8,2010,19,19,05may2010,5,5,2010,11aug2010,11,8,2010,6,10,23sep2010,23,9,2010,25jan2011,25,1,2011,No,Yes,No,No,No,Complete,Complete
62,101012040007,10101204,rural,North - Rural,514.62598,Panel B,Chitipa,1,Mwabulambya,No,,12,12,22apr2010,22,4,2010,09aug2010,9,8,2010,10,10,24apr2010,24,4,2010,10aug2010,10,8,2010,19,19,05may2010,5,5,2010,11aug2010,11,8,2010,6,10,23sep2010,23,9,2010,25jan2011,25,1,2011,No,Yes,Yes,No,No,Complete,Complete
42,101012040011,10101204,rural,North - Rural,514.62598,Panel B,Chitipa,1,Mwabulambya,No,,12,13,21apr2010,21,4,2010,07aug2010,7,8,2010,10,10,24apr2010,24,4,2010,08aug2010,8,8,2010,19,19,05may2010,5,5,2010,10aug2010,10,8,2010,6,10,23sep2010,23,9,2010,25jan2011,25,1,2011,No,Yes,No,No,No,Complete,Complete
44,101012040020,10101204,rural,North - Rural,514.62598,Panel B,Chitipa,1,Mwabulambya,No,,12,12,21apr2010,21,4,2010,07aug2010,7,8,2010,10,10,24apr2010,24,4,2010,08aug2010,8,8,2010,19,19,05may2010,5,5,2010,09aug2010,9,8,2010,6,10,23sep2010,23,9,2010,25jan2011,25,1,2011,No,Yes,No,No,No,Complete,Complete
38,101012040024,10101204,rural,North - Rural,514.62598,Panel B,Chitipa,1,Mwabulambya,No,,12,12,21apr2010,21,4,2010,07aug2010,7,8,2010,10,10,24apr2010,24,4,2010,07aug2010,7,8,2010,19,19,05may2010,5,5,2010,09aug2010,9,8,2010,6,10,23sep2010,23,9,2010,25jan2011,25,1,2011,No,Yes,No,No,No,Complete,Complete
52,101012040028,10101204,rural,North - Rural,514.62598,Panel B,Chitipa,1,Mwabulambya,No,,14,14,21apr2010,21,4,2010,09aug2010,9,8,2010,10,10,24apr2010,24,4,2010,10aug2010,10,8,2010,19,19,05may2010,5,5,2010,10aug2010,10,8,2010,6,10,23sep2010,23,9,2010,25jan2011,25,1,2011,No,Yes,No,No,No,Complete,Complete
