occ,y2_hhid,HHID,case_id,ea_id,stratum,baseline_rural,panelweight,hh_wgt,region,district,reside,dist_to_IHS3location,hhsize,interview_status,qx_type,hh_a05,hh_a06,hh_a07a,hh_a10a,hh_a10b,hh_a16,hh_a21,hh_a23a_1,hh_a23a_2,hh_a23a_3,hh_a23a_4,hh_a23a_5,hh_a23a_6,hh_a23a_7,hh_a23a_8,hh_a23b_1,hh_a23b_2,hh_a23b_3,hh_a23b_4,hh_a23b_5,hh_a23b_6,hh_a23b_7,hh_a23b_8,hh_a23c_1,hh_a23c_2,hh_a23c_3,hh_a23c_4,hh_a23c_5,hh_a23c_6,hh_a23c_7,hh_a23c_8,hh_a24,hh_a26a,hh_a26b,hh_a26c,hh_a27,hh_a29a,hh_a29b,hh_a29c,hh_a30,hh_a33,hh_a35,hh_a37a_1,hh_a37a_2,hh_a37a_3,hh_a37a_4,hh_a37a_5,hh_a37a_6,hh_a37a_7,hh_a37a_8,hh_a37b_1,hh_a37b_2,hh_a37b_3,hh_a37b_4,hh_a37b_5,hh_a37b_6,hh_a37b_7,hh_a37b_8,hh_a38,hh_a40a,hh_a40b,hh_a40c,hh_a41,hh_a43,hh_a43a,hh_a43b,hh_a43c,hh_a44,hh_a46a,hh_a46b,hh_a46c,hh_g00_1,hh_g00_2,hh_g09,hh_m00,hh_o00,hh_s01
1,0001-001,1,101012150028,10101215,North - Rural,rural,320.82767,444.56241,North,Chitipa,rural,.44999999,6,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBIA,MOSTLY CLEAR / MOSTLY SUNNY,13,25,MAY,2013,7,22,8,26,A-X,,,,,,,,,,,,,,,,,10,27,MAY,2013,19,29,MAY,2013,YES,PARTLY CLOUDY / PARTLY SUNNY,13,30,AUGUST,2013,7,11,7,37,A-X,,,,,,,,,31,1,SEPTEMBER,2013,19,19607,6,SEPTEMBER,2013,911,9,OCTOBER,2013,1,1,NO,YES,YES,NO
1,0002-001,2,101015620053,10101562,North - Rural,rural,258.77768,345.05539,North,Chitipa,rural,.0099999998,5,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,CLEAR / SUNNY,12,19,JULY,2013,10,40,11,13,"A,B&X",,,,,,,,,,,,,,,,,10,20,JULY,2013,19,26,JULY,2013,YES,CLEAR / SUNNY,12,23,OCTOBER,2013,14,0,15,42,A-X,,,,,,,,,31,24,OCTOBER,2013,19,19656,25,OCTOBER,2013,907,12,DECEMBER,2013,2,1,YES,YES,NO,NO
1,0003-001,3,101012150060,10101215,North - Rural,rural,320.82767,444.56241,North,Chitipa,rural,.0099999998,1,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBIA,MOSTLY CLEAR / MOSTLY SUNNY,13,25,MAY,2013,11,34,12,16,A-X,,,,,,,,,,,,,,,,,10,27,MAY,2013,19,29,MAY,2013,YES,PARTLY CLOUDY / PARTLY SUNNY,13,31,AUGUST,2013,9,0,9,30,A-X,,,,,,,,,31,1,SEPTEMBER,2013,19,19609,8,SEPTEMBER,2013,911,9,OCTOBER,2013,1,1,NO,YES,YES,NO
1,0004-001,4,101015620184,10101562,North - Rural,rural,256.44754,345.05539,North,Chitipa,rural,.02,6,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,PARTLY CLOUDY / PARTLY SUNNY,14,19,JULY,2013,10,14,10,31,"A,B,X",,,,,,,,,,,,,,,,,10,20,JULY,2013,19,26,JULY,2013,YES,CLEAR / SUNNY,12,25,OCTOBER,2013,9,22,10,42,A-X,,,,,,,,,31,25,OCTOBER,2013,19,19656,25,OCTOBER,2013,907,11,DECEMBER,2013,1,1,NO,YES,YES,YES
1,0005-001,5,101012150022,10101215,North - Rural,rural,325.95117,444.56241,North,Chitipa,rural,.02,9,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBIA,PARTLY CLOUDY / PARTLY SUNNY,13,24,MAY,2013,9,19,10,25,A-X,,,,,,,,,,,,,,,,,10,24,MAY,2013,19,29,MAY,2013,YES,PARTLY CLOUDY / PARTLY SUNNY,13,30,AUGUST,2013,9,12,9,40,A-X,,,,,,,,,31,1,SEPTEMBER,2013,19,19609,8,SEPTEMBER,2013,911,9,OCTOBER,2013,2,1,NO,YES,NO,NO
1,0006-001,6,101015620042,10101562,North - Rural,rural,252.99306,345.05539,North,Chitipa,rural,3.9400001,5,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,Local or Distance Tracking,1,1,MWABULAMBYA,PARTLY CLOUDY / PARTLY SUNNY,11,20,JULY,2013,7,0,7,39,ABX B1-B8,,,,,,,,,,,,,,,,,10,21,JULY,2013,19,29,JULY,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,11,24,OCTOBER,2013,7,30,8,42,ALL,,,,,,,,,31,24,OCTOBER,2013,19,19656,25,OCTOBER,2013,902,6,JANUARY,2014,1,1,YES,YES,YES,YES
1,0006-003,6,101015620042,10101562,North - Rural,rural,133.39371,345.05539,North,Chitipa,rural,3.98,2,Panel B - 2 Visits,PANEL B,SPLIT-OFF HOUSEHOLD,Local or Distance Tracking,3,1,MWABULAMBYA,PARTLY CLOUDY / PARTLY SUNNY,11,21,JULY,2013,8,0,8,9,ABX,,,,,,,,,,,,,,,,,10,21,JULY,2013,19,29,JULY,2013,YES,CLEAR / SUNNY,11,24,OCTOBER,2013,14,0,14,55,ALL,,,,,,,,,31,24,OCTOBER,2013,19,19656,25,OCTOBER,2013,902,6,JANUARY,2014,1,1,NO,YES,NO,NO
1,0007-001,7,101012150074,10101215,North - Rural,rural,323.86151,444.56241,North,Chitipa,rural,.34,10,Panel A - 2 Visits,PANEL A,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBYA,CLEAR / SUNNY,14,25,MAY,2013,9,0,9,53,ALL,,,,,,,,,,,,,,,,,10,27,MAY,2013,19,31,MAY,2013,YES,CLEAR / SUNNY,21,30,AUGUST,2013,7,8,7,37,"A,B,B1-B8,X",,,,,,,,,31,1,SEPTEMBER,2013,19,19609,8,SEPTEMBER,2013,911,10,OCTOBER,2013,2,2,YES,YES,NO,NO
1,0008-001,8,101015620064,10101562,North - Rural,rural,254.64293,345.05539,North,Chitipa,rural,.0099999998,9,Panel B - 2 Visits,PANEL B,ORIGINAL HOUSEHOLD,In Same Location,,1,MWABULAMBIA,PARTLY CLOUDY / PARTLY SUNNY,13,19,JULY,2013,7,6,7,24,A-X,,,,,,,,,,,,,,,,,10,20,JULY,2013,19,26,JULY,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,13,23,OCTOBER,2013,6,40,8,26,ALL,,,,,,,,,31,24,OCTOBER,2013,19,19656,25,OCTOBER,2013,907,9,DECEMBER,2013,2,2,NO,YES,NO,NO
1,0008-003,8,101015620064,10101562,North - Rural,rural,125.68556,345.05539,North,Chitipa,rural,6.1199999,3,Panel B - 2 Visits,PANEL B,SPLIT-OFF HOUSEHOLD,Local or Distance Tracking,3,20,KALONGA,MOSTLY CLEAR / MOSTLY SUNNY,13,23,JULY,2013,11,28,11,38,A-X,,,,,,,,,,,,,,,,,10,24,JULY,2013,19,29,JULY,2013,YES,MOSTLY CLEAR / MOSTLY SUNNY,13,25,OCTOBER,2013,8,20,10,12,ALL,,,,,,,,,31,25,OCTOBER,2013,19,19657,26,OCTOBER,2013,902,7,JANUARY,2014,2,2,NO,YES,NO,NO
