HHID,case_id,qx_type,visit,PID,id_code,ea_id,hh_b01,hh_b03,hh_b04,hh_b04_os,hh_b05a,hh_b05b,hh_b06a,hh_b06b,hh_b07,hh_b08,hh_b09,hh_b10b,hh_b11,hh_b12,hh_b13,hh_b13_os,hh_b14,hh_b15b,hh_b16,hh_b17,hh_b18,hh_b19,hh_b20,hh_b21,hh_b22,hh_b23,hh_b24,hh_b25,hh_b26a,hh_b26b,hh_b26c,hh_b26d,hh_b27,hh_b28,status
37,101010160009,Panel A,1,003701,1,10101016,1,Female,Head,,31,,12,1978,0,7,Other village in this district,,no,13,Return from work elsewhere,,OTHER VILLAGE IN  THIS DISTRICT,,Living outside HH,,PSLC,Dead,5,NONE,Lambya,Christianity,"Monogamous, married or non formal union",Yes,2,,,,No,,Stay
37,101010160009,Panel A,1,003702,2,10101016,2,Male,Wife/Husband,,35,,1,1975,0,7,Other village in this district,,no,13,Return from work elsewhere,,OTHER VILLAGE IN  THIS DISTRICT,,Living outside HH,,PSLC,Living outside HH,,NONE,,Christianity,"Monogamous, married or non formal union",Yes,1,,,,No,,Stay
37,101010160009,Panel A,1,003703,3,10101016,3,Female,Child/Adopted child,,10,,7,1999,0,7,Other village in this district,,no,10,Parents moved,,OTHER VILLAGE IN  THIS DISTRICT,,2,,,1,,,,,,,,,,,,,Stay
37,101010160009,Panel A,1,003704,4,10101016,4,Male,Child/Adopted child,,6,,6,2003,0,7,This village,,yes,,,,,,2,,,1,,,,,,,,,,,,,Stay
37,101010160009,Panel A,1,003705,5,10101016,5,Female,Child/Adopted child,,3,6,10,2006,0,7,This village,,yes,,,,,,2,,,1,,,,,,,,,,,,,Stay
37,101010160009,Panel A,1,003706,6,10101016,6,Female,Child/Adopted child,,1,7,9,2008,0,7,This village,,yes,,,,,,2,,,1,,,,,,,,,,,,,Stay
45,101010160033,Panel A,1,004501,1,10101016,1,Male,Head,,73,,11,1936,0,7,This village,,yes,,,,,,Dead,19,NONE,Dead,20,NONE,Lambya,Christianity,"Monogamous, married or non formal union",Yes,2,,,,No,,Stay
45,101010160033,Panel A,1,004502,2,10101016,2,Female,Wife/Husband,,62,,2,1948,0,7,This village,,yes,,,,,,Dead,30,NONE,Dead,23,NONE,,Christianity,"Monogamous, married or non formal union",Yes,1,,,,No,,Stay
45,101010160033,Panel A,1,004503,3,10101016,3,Male,Child/Adopted child,,14,,2,1996,0,7,This village,,yes,,,,,,Living outside HH,,PSLC,Living outside HH,,NONE,,Christianity,Never married,,,,,,,,Stay
45,101010160033,Panel A,1,004504,4,10101016,4,Male,Child/Adopted child,,6,,1,2004,0,7,This village,,yes,,,,,,Living outside HH,,PSLC,Living outside HH,,NONE,,,,,,,,,,,Stay
