HHID,case_id,qx_type,visit,PID,id_code,ea_id,hh_c01,hh_c02,hh_c03,hh_c04,hh_c05a,hh_c05b,hh_c06,hh_c07a,hh_c07a_os,hh_c07b,hh_c07b_os,hh_c08,hh_c09,hh_c10,hh_c11,hh_c12,hh_c13,hh_c14,hh_c14_os,hh_c15,hh_c16,hh_c17,hh_c18,hh_c19a,hh_c19b,hh_c20,hh_c21,hh_c21_os,hh_c22a,hh_c22b,hh_c22c,hh_c22d,hh_c22e,hh_c22f,hh_c22g,hh_c22h,hh_c22i,hh_c22j
37,101010160009,Panel A,1,003701,1,10101016,1,,Self-reported,,Yes,Yes,Yes,,,,,std8,PSLC,6,No,,No,No money for fees/ uniform,,1994,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,003702,2,10101016,2,,Another HH Member,1,Yes,Yes,Yes,,,,,std7,PSLC,6,No,,No,No money for fees/ uniform,,1988,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,003703,3,10101016,3,,Another HH Member,1,No,No,Yes,,,,,std2,None,6,Yes,std2,Yes,,,,LEA/Gvt,Day scholar,Foot,10,Minute,No,,,0,0,0,0,1500,0,0,0,0,1500
37,101010160009,Panel A,1,003704,4,10101016,4,,Another HH Member,1,No,No,Yes,,,,,std1,None,5,No,,Yes,,,,LEA/Gvt,Day scholar,Foot,10,Minute,No,,,0,0,0,0,500,0,0,0,0,500
37,101010160009,Panel A,1,003705,5,10101016,5,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,101010160009,Panel A,1,003706,6,10101016,6,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,101010160033,Panel A,1,004501,1,10101016,1,,Self-reported,,No,No,Yes,,,,,std4,None,10,No,,No,Found work,,1951,,,,,,,,,,,,,,,,,,
45,101010160033,Panel A,1,004502,2,10101016,2,,Self-reported,,No,No,No,Parents didn't let me in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,101010160033,Panel A,1,004503,3,10101016,3,,Another HH Member,1,Yes,Yes,Yes,,,,,std5,None,6,Yes,std5,Yes,,,,Church/ Mission School,Day scholar,Foot,15,Minute,No,,,0,0,0,0,0,300,0,0,800,1100
45,101010160033,Panel A,1,004504,4,10101016,4,,Another HH Member,1,No,No,No,Still too young to attend school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,003501,1,10101016,1,,Self-reported,,No,No,Yes,,,,,std3,None,11,No,,No,Had to work or help at home,,1950,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,003502,2,10101016,2,,Another HH Member,4,No,No,Yes,,,,,std1,None,9,No,,No,School too far from home,,1950,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,003503,3,10101016,3,,Another HH Member,4,Yes,No,Yes,,,,,form2,PSLC,11,No,,No,No money for fees/ uniform,,2002,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,003504,4,10101016,4,,Self-reported,,Yes,Yes,Yes,,,,,form3,PSLC,8,No,,No,No money for fees/ uniform,,2007,,,,,,,,,,,,,,,,,,
35,101010160060,Panel A,1,003505,5,10101016,5,,Another HH Member,4,Yes,Yes,Yes,,,,,std7,None,6,Yes,std7,Yes,,,,Church/ Mission School,Day scholar,Foot,5,Minute,No,,,0,0,600,500,0,500,0,0,0,1600
35,101010160060,Panel A,1,003506,6,10101016,6,,Another HH Member,4,Yes,Yes,Yes,,,,,std8,None,6,Yes,std7,Yes,,,,Church/ Mission School,Day scholar,Foot,5,Minute,No,,,0,0,600,500,0,0,0,0,0,1100
