HHID,case_id,qx_type,visit,ea_id,hh_g08a,hh_g08b,hh_g08c
37,101010160009,Panel A,1,10101016,A,"Cereals, Grains and Cereal Products",7
37,101010160009,Panel A,1,10101016,B,"Root, Tubers and Plantains",1
37,101010160009,Panel A,1,10101016,C,Nuts and Pulses,4
37,101010160009,Panel A,1,10101016,D,Vegetables,7
37,101010160009,Panel A,1,10101016,E,"Meat, Fish and Animal Products",2
37,101010160009,Panel A,1,10101016,F,Fruits,0
37,101010160009,Panel A,1,10101016,G,Milk/Milk Products,1
37,101010160009,Panel A,1,10101016,H,Fats/Oil,3
37,101010160009,Panel A,1,10101016,I,Sugar/Sugar Products/Honey,0
37,101010160009,Panel A,1,10101016,J,Spices/Condiments,7
45,101010160033,Panel A,1,10101016,A,"Cereals, Grains and Cereal Products",7
45,101010160033,Panel A,1,10101016,B,"Root, Tubers and Plantains",1
45,101010160033,Panel A,1,10101016,C,Nuts and Pulses,3
45,101010160033,Panel A,1,10101016,D,Vegetables,3
45,101010160033,Panel A,1,10101016,E,"Meat, Fish and Animal Products",1
45,101010160033,Panel A,1,10101016,F,Fruits,0
45,101010160033,Panel A,1,10101016,G,Milk/Milk Products,0
45,101010160033,Panel A,1,10101016,H,Fats/Oil,2
45,101010160033,Panel A,1,10101016,I,Sugar/Sugar Products/Honey,0
45,101010160033,Panel A,1,10101016,J,Spices/Condiments,7
35,101010160060,Panel A,1,10101016,A,"Cereals, Grains and Cereal Products",7
35,101010160060,Panel A,1,10101016,B,"Root, Tubers and Plantains",5
35,101010160060,Panel A,1,10101016,C,Nuts and Pulses,3
35,101010160060,Panel A,1,10101016,D,Vegetables,3
35,101010160060,Panel A,1,10101016,E,"Meat, Fish and Animal Products",2
35,101010160060,Panel A,1,10101016,F,Fruits,0
35,101010160060,Panel A,1,10101016,G,Milk/Milk Products,0
35,101010160060,Panel A,1,10101016,H,Fats/Oil,7
35,101010160060,Panel A,1,10101016,I,Sugar/Sugar Products/Honey,7
35,101010160060,Panel A,1,10101016,J,Spices/Condiments,7
41,101010160068,Panel A,1,10101016,A,"Cereals, Grains and Cereal Products",7
41,101010160068,Panel A,1,10101016,B,"Root, Tubers and Plantains",3
41,101010160068,Panel A,1,10101016,C,Nuts and Pulses,4
41,101010160068,Panel A,1,10101016,D,Vegetables,4
41,101010160068,Panel A,1,10101016,E,"Meat, Fish and Animal Products",1
41,101010160068,Panel A,1,10101016,F,Fruits,1
41,101010160068,Panel A,1,10101016,G,Milk/Milk Products,0
41,101010160068,Panel A,1,10101016,H,Fats/Oil,4
41,101010160068,Panel A,1,10101016,I,Sugar/Sugar Products/Honey,4
41,101010160068,Panel A,1,10101016,J,Spices/Condiments,7
61,101010160069,Panel A,1,10101016,A,"Cereals, Grains and Cereal Products",7
61,101010160069,Panel A,1,10101016,B,"Root, Tubers and Plantains",3
61,101010160069,Panel A,1,10101016,C,Nuts and Pulses,2
61,101010160069,Panel A,1,10101016,D,Vegetables,7
61,101010160069,Panel A,1,10101016,E,"Meat, Fish and Animal Products",5
61,101010160069,Panel A,1,10101016,F,Fruits,2
61,101010160069,Panel A,1,10101016,G,Milk/Milk Products,0
61,101010160069,Panel A,1,10101016,H,Fats/Oil,0
61,101010160069,Panel A,1,10101016,I,Sugar/Sugar Products/Honey,5
61,101010160069,Panel A,1,10101016,J,Spices/Condiments,7
51,101010160070,Panel A,1,10101016,A,"Cereals, Grains and Cereal Products",7
51,101010160070,Panel A,1,10101016,B,"Root, Tubers and Plantains",4
51,101010160070,Panel A,1,10101016,C,Nuts and Pulses,5
51,101010160070,Panel A,1,10101016,D,Vegetables,7
51,101010160070,Panel A,1,10101016,E,"Meat, Fish and Animal Products",3
51,101010160070,Panel A,1,10101016,F,Fruits,1
51,101010160070,Panel A,1,10101016,G,Milk/Milk Products,7
51,101010160070,Panel A,1,10101016,H,Fats/Oil,7
51,101010160070,Panel A,1,10101016,I,Sugar/Sugar Products/Honey,7
51,101010160070,Panel A,1,10101016,J,Spices/Condiments,7
57,101010160074,Panel A,1,10101016,A,"Cereals, Grains and Cereal Products",7
57,101010160074,Panel A,1,10101016,B,"Root, Tubers and Plantains",3
57,101010160074,Panel A,1,10101016,C,Nuts and Pulses,0
57,101010160074,Panel A,1,10101016,D,Vegetables,3
57,101010160074,Panel A,1,10101016,E,"Meat, Fish and Animal Products",1
57,101010160074,Panel A,1,10101016,F,Fruits,0
57,101010160074,Panel A,1,10101016,G,Milk/Milk Products,1
57,101010160074,Panel A,1,10101016,H,Fats/Oil,2
57,101010160074,Panel A,1,10101016,I,Sugar/Sugar Products/Honey,3
57,101010160074,Panel A,1,10101016,J,Spices/Condiments,7
55,101010160086,Panel A,1,10101016,A,"Cereals, Grains and Cereal Products",7
55,101010160086,Panel A,1,10101016,B,"Root, Tubers and Plantains",5
55,101010160086,Panel A,1,10101016,C,Nuts and Pulses,6
55,101010160086,Panel A,1,10101016,D,Vegetables,7
55,101010160086,Panel A,1,10101016,E,"Meat, Fish and Animal Products",3
55,101010160086,Panel A,1,10101016,F,Fruits,1
55,101010160086,Panel A,1,10101016,G,Milk/Milk Products,0
55,101010160086,Panel A,1,10101016,H,Fats/Oil,7
55,101010160086,Panel A,1,10101016,I,Sugar/Sugar Products/Honey,7
55,101010160086,Panel A,1,10101016,J,Spices/Condiments,7
47,101010160096,Panel A,1,10101016,A,"Cereals, Grains and Cereal Products",7
47,101010160096,Panel A,1,10101016,B,"Root, Tubers and Plantains",7
47,101010160096,Panel A,1,10101016,C,Nuts and Pulses,3
47,101010160096,Panel A,1,10101016,D,Vegetables,2
47,101010160096,Panel A,1,10101016,E,"Meat, Fish and Animal Products",3
