occ,y2_hhid,qx_type,interview_status,hh_g09,hh_g10a,hh_g10c,hh_g11
1,0001-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0001-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0001-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0001-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0002-001,PANEL B,Panel B - 2 Visits,YES,A. CHILDREN 0-5 YEARS,0,0
2,0002-001,PANEL B,Panel B - 2 Visits,YES,B. CHILDREN 6-15 YEARS,1,2
3,0002-001,PANEL B,Panel B - 2 Visits,YES,C. ADULTS 16-65 YEARS,0,0
4,0002-001,PANEL B,Panel B - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0003-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0003-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0003-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0003-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0004-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0004-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0004-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0004-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0005-001,PANEL A,Panel A - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0005-001,PANEL A,Panel A - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0005-001,PANEL A,Panel A - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0005-001,PANEL A,Panel A - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0006-001,PANEL B,Panel B - 2 Visits,YES,A. CHILDREN 0-5 YEARS,1,2
2,0006-001,PANEL B,Panel B - 2 Visits,YES,B. CHILDREN 6-15 YEARS,2,1
3,0006-001,PANEL B,Panel B - 2 Visits,YES,C. ADULTS 16-65 YEARS,0,0
4,0006-001,PANEL B,Panel B - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0006-003,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0006-003,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0006-003,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0006-003,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0007-001,PANEL A,Panel A - 2 Visits,YES,A. CHILDREN 0-5 YEARS,0,0
2,0007-001,PANEL A,Panel A - 2 Visits,YES,B. CHILDREN 6-15 YEARS,0,0
3,0007-001,PANEL A,Panel A - 2 Visits,YES,C. ADULTS 16-65 YEARS,1,1
4,0007-001,PANEL A,Panel A - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0008-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0008-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0008-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0008-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0008-003,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0008-003,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0008-003,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0008-003,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0009-001,PANEL A,Panel A - 2 Visits,YES,A. CHILDREN 0-5 YEARS,2,2
2,0009-001,PANEL A,Panel A - 2 Visits,YES,B. CHILDREN 6-15 YEARS,0,0
3,0009-001,PANEL A,Panel A - 2 Visits,YES,C. ADULTS 16-65 YEARS,0,0
4,0009-001,PANEL A,Panel A - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0010-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0010-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0010-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0010-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0010-002,PANEL B,Panel B - Combined Visit,NO,A. CHILDREN 0-5 YEARS,,
2,0010-002,PANEL B,Panel B - Combined Visit,NO,B. CHILDREN 6-15 YEARS,,
3,0010-002,PANEL B,Panel B - Combined Visit,NO,C. ADULTS 16-65 YEARS,,
4,0010-002,PANEL B,Panel B - Combined Visit,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0011-001,PANEL A,Panel A - 2 Visits,YES,A. CHILDREN 0-5 YEARS,0,0
2,0011-001,PANEL A,Panel A - 2 Visits,YES,B. CHILDREN 6-15 YEARS,3,4
3,0011-001,PANEL A,Panel A - 2 Visits,YES,C. ADULTS 16-65 YEARS,0,0
4,0011-001,PANEL A,Panel A - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0011-004,PANEL A,Panel A - Combined Visit,YES,A. CHILDREN 0-5 YEARS,0,0
2,0011-004,PANEL A,Panel A - Combined Visit,YES,B. CHILDREN 6-15 YEARS,0,0
3,0011-004,PANEL A,Panel A - Combined Visit,YES,C. ADULTS 16-65 YEARS,4,5
4,0011-004,PANEL A,Panel A - Combined Visit,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0012-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0012-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0012-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0012-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0012-003,PANEL B,Panel B - 2 Visits,YES,A. CHILDREN 0-5 YEARS,0,0
2,0012-003,PANEL B,Panel B - 2 Visits,YES,B. CHILDREN 6-15 YEARS,0,0
3,0012-003,PANEL B,Panel B - 2 Visits,YES,C. ADULTS 16-65 YEARS,7,21
4,0012-003,PANEL B,Panel B - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0012-010,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0012-010,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0012-010,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0012-010,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
1,0013-001,PANEL A,Panel A - 2 Visits,YES,A. CHILDREN 0-5 YEARS,2,3
2,0013-001,PANEL A,Panel A - 2 Visits,YES,B. CHILDREN 6-15 YEARS,1,1
3,0013-001,PANEL A,Panel A - 2 Visits,YES,C. ADULTS 16-65 YEARS,1,1
4,0013-001,PANEL A,Panel A - 2 Visits,YES,D. PEOPLE OVER 66 YEARS OLD,0,0
1,0014-001,PANEL B,Panel B - 2 Visits,NO,A. CHILDREN 0-5 YEARS,,
2,0014-001,PANEL B,Panel B - 2 Visits,NO,B. CHILDREN 6-15 YEARS,,
3,0014-001,PANEL B,Panel B - 2 Visits,NO,C. ADULTS 16-65 YEARS,,
4,0014-001,PANEL B,Panel B - 2 Visits,NO,D. PEOPLE OVER 66 YEARS OLD,,
