HHID,case_id,qx_type,visit,ea_id,hh_h01,hh_h02a,hh_h02b,hh_h02c,hh_h02d,hh_h02e,hh_h03a,hh_h03b,hh_h04,hh_h05a_01,hh_h05a_02,hh_h05a_03,hh_h05a_04,hh_h05a_05,hh_h05a_06,hh_h05a_07,hh_h05a_08,hh_h05a_09,hh_h05a_10,hh_h05b_01,hh_h05b_02,hh_h05b_03,hh_h05b_04,hh_h05b_05,hh_h05b_06,hh_h05b_07,hh_h05b_08,hh_h05b_09,hh_h05b_10,hh_h05b_11,hh_h05b_12,hh_h05b_13,hh_h05b_14,hh_h05b_15,hh_h06a,hh_h06a_os,hh_h06b,hh_h06b_os,hh_h06c,hh_h06c_os
37,101010160009,Panel A,1,10101016,Yes,4,4,0,1,0,3,3,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
45,101010160033,Panel A,1,10101016,No,0,0,0,0,0,3,,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
35,101010160060,Panel A,1,10101016,No,0,0,0,0,0,3,4,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
41,101010160068,Panel A,1,10101016,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,101010160069,Panel A,1,10101016,Yes,0,0,1,0,0,3,,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
51,101010160070,Panel A,1,10101016,No,0,0,0,0,0,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,101010160074,Panel A,1,10101016,Yes,2,2,1,0,0,3,3,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,Other (Specify),HOUSEHOLD MEMBER ILL,,
55,101010160086,Panel A,1,10101016,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,101010160096,Panel A,1,10101016,Yes,3,2,0,2,2,3,3,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
63,101010160143,Panel A,1,10101016,Yes,1,0,0,0,0,3,3,Yes,,,,,,,,,,X,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
59,101010160159,Panel A,1,10101016,Yes,2,1,1,2,0,2,,Yes,,,,,,,,,,,,,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
33,101010160180,Panel A,1,10101016,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,,,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
49,101010160207,Panel A,1,10101016,Yes,3,0,0,0,0,3,,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,,,,
53,101010160235,Panel A,1,10101016,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,101010160254,Panel A,1,10101016,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,,,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,Food in the market was very expensive,,,
39,101010160265,Panel A,1,10101016,No,0,0,0,0,7,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,101012040003,Panel B,2,10101204,Yes,0,0,3,0,0,2,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,101012040007,Panel B,2,10101204,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,101012040011,Panel B,2,10101204,No,0,0,0,0,0,2,2,Yes,,,,,,,,,,,,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
44,101012040020,Panel B,2,10101204,Yes,2,1,0,0,0,2,2,Yes,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,Inadequate household stocks due to drought/poor rains,,Inadequate household food stocks due to lack of farm inputs,,,
38,101012040024,Panel B,2,10101204,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,101012040028,Panel B,2,10101204,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,101012040037,Panel B,2,10101204,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,101012040041,Panel B,2,10101204,Yes,4,4,3,0,0,3,3,Yes,,,,,,,,,,,,,X,,,,,,,,,,,,,Other (Specify),SOLD FOOD STOCK,,,,
48,101012040045,Panel B,2,10101204,Yes,3,3,7,0,0,2,,Yes,,,,,,,,,,,,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
36,101012040054,Panel B,2,10101204,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,101012040058,Panel B,2,10101204,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,101012040062,Panel B,2,10101204,No,0,0,0,0,0,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,101012040071,Panel B,2,10101204,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,101012040075,Panel B,2,10101204,No,0,0,0,0,0,2,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,101012040079,Panel B,2,10101204,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,X,X,X,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
60,101012040087,Panel B,2,10101204,No,0,0,0,0,0,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,101012150001,Panel A,1,10101215,No,0,0,0,0,0,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,101012150004,Panel A,1,10101215,No,0,0,0,0,0,2,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,101012150021,Panel A,1,10101215,No,0,0,0,0,0,2,3,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,Other (Specify),LACK OF LABOR,,
5,101012150022,Panel A,1,10101215,No,0,0,0,0,0,3,3,Yes,,,,,,,,,,,X,X,,,,,,,,,,,,,,Inadequate household food stocks due to lack of farm inputs,,,,,
13,101012150026,Panel A,1,10101215,No,0,0,0,0,0,3,3,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
