HHID,case_id,qx_type,visit,ea_id,hh_i01,hh_i02,hh_i03
37,101010160009,Panel A,1,10101016,No,Charcoal,
37,101010160009,Panel A,1,10101016,No,Paraffin or kerosene,
37,101010160009,Panel A,1,10101016,No,Cigarettes or other tobacco,
37,101010160009,Panel A,1,10101016,No,Candles,
37,101010160009,Panel A,1,10101016,Yes,Matches,10
37,101010160009,Panel A,1,10101016,No,Newspapers or magazines,
37,101010160009,Panel A,1,10101016,No,Public transport - Bicycle Taxi,
37,101010160009,Panel A,1,10101016,No,Public transport - Bus/Minibus,
37,101010160009,Panel A,1,10101016,No,"Public transport - Other (Truck, Oxcart, Etc..)",
45,101010160033,Panel A,1,10101016,No,Charcoal,
45,101010160033,Panel A,1,10101016,No,Paraffin or kerosene,
45,101010160033,Panel A,1,10101016,No,Cigarettes or other tobacco,
45,101010160033,Panel A,1,10101016,No,Candles,
45,101010160033,Panel A,1,10101016,Yes,Matches,10
45,101010160033,Panel A,1,10101016,No,Newspapers or magazines,
45,101010160033,Panel A,1,10101016,No,Public transport - Bicycle Taxi,
45,101010160033,Panel A,1,10101016,No,Public transport - Bus/Minibus,
45,101010160033,Panel A,1,10101016,No,"Public transport - Other (Truck, Oxcart, Etc..)",
35,101010160060,Panel A,1,10101016,No,Charcoal,
35,101010160060,Panel A,1,10101016,Yes,Paraffin or kerosene,50
35,101010160060,Panel A,1,10101016,No,Cigarettes or other tobacco,
35,101010160060,Panel A,1,10101016,No,Candles,
35,101010160060,Panel A,1,10101016,Yes,Matches,10
35,101010160060,Panel A,1,10101016,No,Newspapers or magazines,
35,101010160060,Panel A,1,10101016,No,Public transport - Bicycle Taxi,
35,101010160060,Panel A,1,10101016,No,Public transport - Bus/Minibus,
35,101010160060,Panel A,1,10101016,No,"Public transport - Other (Truck, Oxcart, Etc..)",
41,101010160068,Panel A,1,10101016,No,Charcoal,
41,101010160068,Panel A,1,10101016,No,Paraffin or kerosene,
41,101010160068,Panel A,1,10101016,No,Cigarettes or other tobacco,
41,101010160068,Panel A,1,10101016,No,Candles,
41,101010160068,Panel A,1,10101016,Yes,Matches,10
41,101010160068,Panel A,1,10101016,No,Newspapers or magazines,
41,101010160068,Panel A,1,10101016,No,Public transport - Bicycle Taxi,
41,101010160068,Panel A,1,10101016,No,Public transport - Bus/Minibus,
41,101010160068,Panel A,1,10101016,No,"Public transport - Other (Truck, Oxcart, Etc..)",
61,101010160069,Panel A,1,10101016,No,Charcoal,
61,101010160069,Panel A,1,10101016,No,Paraffin or kerosene,
