HHID,case_id,qx_type,visit,ea_id,hh_o00,hh_o0a,hh_o0b,hh_o02,hh_o03,hh_o04,hh_o05,hh_o06,hh_o07a,hh_o07b,hh_o08a,hh_o08b,hh_o09,hh_o09_os,hh_o10a,hh_o10b,hh_o11,hh_o12,hh_o13,hh_o14,hh_o15,hh_o16,hh_o16_os,hh_o17
37,101010160009,Panel A,1,10101016,No,,,,,,,,,,,,,,,,,,,,,,,
45,101010160033,Panel A,1,10101016,Yes,1,1,47,Male,std8,Yes,1998,Chitipa,Chitipa,47,Year,Unemployed,,,,No,,,,No,,,
45,101010160033,Panel A,1,10101016,Yes,1,2,37,Male,form4,Yes,2003,Mangochi,Mangochi,7,Year,Working,,WAITER AT SUN&SAND HOTEL,63,Yes,Sporadically as needed,,15000,No,,,
45,101010160033,Panel A,1,10101016,Yes,1,3,26,Male,form2,Yes,2006,Chitipa,Chitipa,26,Year,Unemployed,,,,Yes,Sporadically as needed,,14000,Yes,Sporadically as needed,,2000
45,101010160033,Panel A,1,10101016,Yes,1,4,30,Female,std6,Yes,2002,Chitipa,Chitipa,30,Year,Unemployed,,,,No,,,,No,,,
45,101010160033,Panel A,1,10101016,Yes,1,5,28,Female,std4,Yes,2000,Chitipa,Chitipa,28,Year,Unemployed,,,,No,,,,No,,,
45,101010160033,Panel A,1,10101016,Yes,1,6,16,Female,std8,Yes,2009,Chitipa,Chitipa,16,Year,Unemployed,,,,No,,,,No,,,
35,101010160060,Panel A,1,10101016,Yes,4,1,50,Female,form2,No,,Blanytyre,Blanytyre,35,Year,Unemployed,,,,No,,,,Yes,Sporadically as needed,,20000
35,101010160060,Panel A,1,10101016,Yes,4,2,36,Female,std8,No,,Nkhatabay,Nkhatabay,6,Year,Unemployed,,,,No,,,,No,,,
41,101010160068,Panel A,1,10101016,No,,,,,,,,,,,,,,,,,,,,,,,
61,101010160069,Panel A,1,10101016,No,,,,,,,,,,,,,,,,,,,,,,,
51,101010160070,Panel A,1,10101016,Yes,1,1,28,Male,form2,No,,Chitipa,Chitipa,20,Year,Unemployed,,,,No,,,,No,,,
51,101010160070,Panel A,1,10101016,Yes,1,2,26,Female,std6,No,,Chitipa,Chitipa,21,Year,House work,,,,No,,,,No,,,
51,101010160070,Panel A,1,10101016,Yes,1,3,21,Male,form4,Yes,2009,,,5,Month,Student,,,,No,,,,No,,,
51,101010160070,Panel A,1,10101016,Yes,1,4,19,Male,form4,Yes,2009,,,1,Year,Working,,SHOP ATTENDANT,45,Yes,Sporadically as needed,,2000,Yes,Sporadically as needed,,1500
57,101010160074,Panel A,1,10101016,Yes,1,1,30,Female,form4,Yes,2000,Chitipa,Chitipa,30,Year,House work,,,,No,,,,No,,,
57,101010160074,Panel A,1,10101016,Yes,1,2,28,Male,form4,Yes,2008,Mzuzu City,Mzuzu City,2,Year,Working,,METRE READER IN ESCOM,41,No,,,,No,,,
57,101010160074,Panel A,1,10101016,Yes,1,3,25,Female,form2,Yes,2000,Chitipa,Chitipa,25,Year,House work,,,,No,,,,No,,,
55,101010160086,Panel A,1,10101016,Yes,1,1,26,Female,form4,Yes,2004,Chitipa,Chitipa,26,Year,House work,,,,No,,,,No,,,
55,101010160086,Panel A,1,10101016,Yes,1,2,25,Male,form4,Yes,2004,Mzuzu City,Mzuzu City,2,Year,Unemployed,,,,No,,,,No,,,
55,101010160086,Panel A,1,10101016,Yes,1,3,20,Female,form4,Yes,2004,Chitipa,Chitipa,25,Year,Unemployed,,,,No,,,,No,,,
