occ,y2_hhid,qx_type,interview_status,hh_o0a,hh_o00,hh_o01_2,hh_o02,hh_o03,hh_o04,hh_o05,hh_o06,hh_o07a,hh_o07b,hh_o08a,hh_o08b,hh_o09,hh_o10a,hh_o10b,hh_o11,hh_o12,hh_o13,hh_o13_1a,hh_o13_1b,hh_o14,hh_o14_1a,hh_o14_1b,hh_o15,hh_o16,hh_o17,hh_o18a,hh_o18b
1,0001-001,PANEL A,Panel A - 2 Visits,1,YES,99,26,MALE,NURSERY/PRE SCHOOL,YES,2007,CHITIPA,CHITIPA,5,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
2,0001-001,PANEL A,Panel A - 2 Visits,1,YES,99,28,MALE,NURSERY/PRE SCHOOL,YES,2007,CHITIPA,CHITIPA,5,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
1,0002-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0003-001,PANEL A,Panel A - 2 Visits,1,YES,99,31,MALE,STD7,YES,2006,CHITIPA,CHITIPA,6,YEAR,WORKING,,,NO,,,,,,,,YES,ANNUALLY,1000,1,
2,0003-001,PANEL A,Panel A - 2 Visits,1,YES,99,39,FEMALE,STD5,YES,1987,CHITIPA,CHITIPA,26,YEAR,WORKING,,,NO,,,,,,,,YES,TWICE OR MORE PER MONTH,1500,1,
3,0003-001,PANEL A,Panel A - 2 Visits,1,YES,99,35,MALE,STD5,YES,1997,CHITIPA,CHITIPA,16,YEAR,WORKING,,,NO,,,,,,,,YES,TWICE OR MORE PER MONTH,2000,1,
1,0004-001,PANEL B,Panel B - 2 Visits,1,YES,99,23,FEMALE,STD8,YES,2006,CHITIPA,CHITIPA,7,YEAR,HOUSE WORK,,,NO,,,,,,,,YES,SEMI-ANNUALLY,1600,1,2
1,0005-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0006-001,PANEL B,Panel B - 2 Visits,1,YES,99,43,FEMALE,STD8,NO,,ZAMBIA,ZAMBIA,20,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
2,0006-001,PANEL B,Panel B - 2 Visits,1,YES,99,37,FEMALE,STD8,NO,,CHITIPA,CHITIPA,37,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
3,0006-001,PANEL B,Panel B - 2 Visits,1,YES,99,34,FEMALE,STD7,NO,,KARONGA,KARONGA,7,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
4,0006-001,PANEL B,Panel B - 2 Visits,1,YES,99,32,FEMALE,STD8,NO,,CHITIPA,CHITIPA,32,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
5,0006-001,PANEL B,Panel B - 2 Visits,1,YES,99,30,MALE,STD8,NO,,CHITIPA,CHITIPA,30,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
6,0006-001,PANEL B,Panel B - 2 Visits,1,YES,99,28,FEMALE,FORM1,NO,,ZAMBIA,ZAMBIA,7,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
7,0006-001,PANEL B,Panel B - 2 Visits,1,YES,3,26,MALE,STD7,YES,2011,CHITIPA,CHITIPA,26,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
1,0006-003,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0007-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0008-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0008-003,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0009-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0010-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0010-002,PANEL B,Panel B - Combined Visit,,YES,4,17,MALE,STD8,NO,,CHITIPA,CHITIPA,17,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
2,0010-002,PANEL B,Panel B - Combined Visit,,YES,5,15,MALE,STD8,NO,,CHITIPA,CHITIPA,15,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
3,0010-002,PANEL B,Panel B - Combined Visit,,YES,3,19,FEMALE,STD8,NO,,CHITIPA,CHITIPA,19,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
1,0011-001,PANEL A,Panel A - 2 Visits,1,YES,4,21,MALE,STD6,YES,2011,KARONGA,KARONGA,1,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
1,0011-004,PANEL A,Panel A - Combined Visit,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0012-001,PANEL B,Panel B - 2 Visits,2,YES,99,28,FEMALE,FORM4,NO,,CHITIPA,CHITIPA,6,YEAR,WORKING,STORES CLERK,39,YES,SPORADICALLY AS NEEDED,,,,5000,1,2,YES,SPORADICALLY AS NEEDED,3000,2,
2,0012-001,PANEL B,Panel B - 2 Visits,2,YES,3,25,FEMALE,FORM4,YES,2011,CHITIPA,CHITIPA,2,YEAR,HOUSE WORK,,,NO,,,,,,,,YES,SPORADICALLY AS NEEDED,1800,2,
1,0012-003,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0012-010,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0013-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0014-001,PANEL B,Panel B - 2 Visits,1,YES,99,48,FEMALE,STD7,YES,1985,CHITIPA,CHITIPA,28,YEAR,HOUSE WORK,,,YES,SEMI-ANNUALLY,,,,6000,1,,YES,SEMI-ANNUALLY,8000,1,
2,0014-001,PANEL B,Panel B - 2 Visits,1,YES,99,45,FEMALE,STD7,YES,1990,CHITIPA,CHITIPA,23,YEAR,HOUSE WORK,,,YES,SEMI-ANNUALLY,,,,2000,1,,YES,SEMI-ANNUALLY,5000,1,
1,0015-001,PANEL A,Panel A - 2 Visits,1,YES,2,22,MALE,STD8,YES,2012,TANZANIA,TANZANIA,9,MONTH,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
2,0015-001,PANEL A,Panel A - 2 Visits,1,YES,3,20,FEMALE,FORM1,YES,2011,TANZANIA,TANZANIA,1,YEAR,HOUSE WORK,,,NO,,,,,,,,NO,,,,
1,0016-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0016-002,PANEL B,Panel B - Combined Visit,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0017-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0018-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0019-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0020-001,PANEL B,Panel B - 2 Visits,1,YES,99,33,MALE,FORM4,YES,2007,LILONGWE,LILONGWE CITY,6,YEAR,WORKING,MOTOR VEHICLE MECHANIC,3,YES,SPORADICALLY AS NEEDED,,,,20000,1,,NO,,,,
1,0021-001,PANEL A,Panel A - 2 Visits,1,YES,99,42,FEMALE,STD8,YES,1983,ZAMBIA,ZAMBIA,30,YEAR,UNEMPLOYED,,,YES,SPORADICALLY AS NEEDED,,,,5000,1,,YES,SPORADICALLY AS NEEDED,3500,1,
1,0022-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0023-001,PANEL A,Panel A - 2 Visits,1,YES,99,40,MALE,STD8,YES,1969,CHITIPA,CHITIPA,20,YEAR,UNEMPLOYED,,,NO,,,,,,,,YES,TWICE OR MORE PER MONTH,5000,1,2
2,0023-001,PANEL A,Panel A - 2 Visits,1,YES,99,38,FEMALE,STD5,YES,1975,KARONGA,KARONGA,22,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
3,0023-001,PANEL A,Panel A - 2 Visits,1,YES,99,36,MALE,STD8,YES,1977,CHITIPA,CHITIPA,19,YEAR,UNEMPLOYED,,,YES,SPORADICALLY AS NEEDED,,,,10000,1,2,NO,,,,
1,0024-001,PANEL B,Panel B - 2 Visits,2,YES,99,29,FEMALE,STD8,YES,2000,CHITIPA,CHITIPA,29,YEAR,UNEMPLOYED,,,NO,,,,,,,,YES,SPORADICALLY AS NEEDED,2300,1,2
2,0024-001,PANEL B,Panel B - 2 Visits,2,YES,99,27,MALE,FORM2,YES,2010,CHITIPA,CHITIPA,27,YEAR,UNEMPLOYED,,,NO,,,,,,,,YES,SPORADICALLY AS NEEDED,1800,1,2
3,0024-001,PANEL B,Panel B - 2 Visits,2,YES,99,24,FEMALE,FORM3,YES,2011,CHITIPA,CHITIPA,24,YEAR,UNEMPLOYED,,,NO,,,,,,,,YES,SPORADICALLY AS NEEDED,1600,1,2
1,0025-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0026-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0027-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0028-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0029-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0030-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0031-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0032-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0033-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0034-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0035-001,PANEL A,Panel A - 2 Visits,4,YES,99,55,FEMALE,STD8,YES,1971,BLANTYRE,BLANYTYRE,36,YEAR,UNEMPLOYED,,,YES,SPORADICALLY AS NEEDED,,,,40000,2,4,YES,SPORADICALLY AS NEEDED,19000,2,3
2,0035-001,PANEL A,Panel A - 2 Visits,4,YES,99,42,FEMALE,STD3,YES,1985,CHITIPA,CHITIPA,42,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
3,0035-001,PANEL A,Panel A - 2 Visits,4,YES,99,37,FEMALE,STD8,YES,1994,NKHATABAY,NKHATABAY,18,YEAR,UNEMPLOYED,,,NO,,,,,,,,NO,,,,
1,0036-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0037-001,PANEL A,Panel A - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0038-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0039-001,PANEL A,Panel A - 2 Visits,1,YES,99,76,FEMALE,STD8,YES,1999,ZAMBIA,ZAMBIA,14,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
2,0039-001,PANEL A,Panel A - 2 Visits,1,YES,99,48,FEMALE,STD7,YES,1988,LILONGWE,LILONGWE,25,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
3,0039-001,PANEL A,Panel A - 2 Visits,1,YES,99,38,MALE,STD8,YES,2010,RUMPHI,RUMPHI,2,YEAR,OTHER (SPECIFY),,,NO,,,,,,,,NO,,,,
1,0040-001,PANEL B,Panel B - 2 Visits,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,
