y2_hhid,dist_road,dist_popcenter,dist_admarc,dist_auction,dist_boma,dist_borderpost,dist_agmrkt,popdensity,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,fsrad3_agpct,fsrad3_lcmaj,ssa_aez09,srtm_1k,twi_mwi,srtm_mwi_5_15,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2012_tot,h2012_wetQ,h2012_wetQstart,h2013_tot,h2013_wetQ,h2013_wetQstart,eviarea_avg,grn_avg,sen_avg,evimax_avg,h2012_eviarea,h2012_grn,h2012_sen,h2012_evimax,h2013_eviarea,h2013_grn,h2013_sen,h2013_evimax,LAT_DD_MOD,LON_DD_MOD,distY1Y2
0001-001,9,93,4,236,23,19,23,50-100,212,216,1367,261,703,41,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/subhumid,1260,12,Mid-altitude Plateaus,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1049,746,17,972,658,16,1026,739,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.50446,33.2302,
0002-001,4,69,4,211,11,16,11,50-100,213,218,1251,244,682,26,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/subhumid,1220,13,High-altitude Plains,Moderate Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1064,764,17,989,678,16,1099,798,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.667920000000001,33.3937,
0003-001,10,92,5,236,23,20,23,50-100,211,216,1381,263,708,31,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/subhumid,1270,12,Mid-altitude Plateaus,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1051,746,17,967,653,16,1030,741,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.50446,33.2302,
0004-001,3,70,3,211,10,15,10,50-100,214,219,1250,244,679,37,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/subhumid,1210,13,Mid-altitude Plateaus,Moderate Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1061,763,18,990,683,16,1084,788,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.667920000000001,33.3937,
0005-001,9,92,4,236,23,19,23,50-100,212,217,1374,263,706,37,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/subhumid,1260,12,Mid-altitude Plateaus,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1050,746,17,970,656,16,1029,741,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.50446,33.2302,
0006-001,4,72,5,214,8,13,8,50-100,212,218,1221,237,676,53,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/subhumid,1230,12,Mid-altitude Plateaus,Moderate Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1056,761,17,989,686,16,1078,783,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.667920000000001,33.3937,
0006-003,4,72,5,214,8,13,8,50-100,212,218,1221,237,676,53,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/subhumid,1230,12,Mid-altitude Plateaus,Moderate Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1056,761,17,989,686,16,1077,782,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.667920000000001,33.3937,
0007-001,10,92,4,236,23,20,23,50-100,212,217,1374,263,706,37,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/subhumid,1260,12,High-altitude Plains,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1050,746,17,969,655,16,1028,740,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.50446,33.2302,
0008-001,6,71,7,214,11,16,11,50-100,213,219,1285,249,688,41,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/subhumid,1200,13,Mid-altitude Plateaus,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,1064,764,17,988,675,16,1110,804,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.667920000000001,33.3937,
0008-003,0,69,1,209,9,15,9,50-100,212,217,1178,230,667,51,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/subhumid,1250,15,High-altitude Plains,Moderate Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1055,759,17,987,684,16,1060,772,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.667920000000001,33.3937,
0009-001,9,92,4,236,23,19,23,50-100,212,217,1374,263,706,41,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/subhumid,1260,13,Mid-altitude Plateaus,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1049,746,17,970,656,16,1029,741,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.50446,33.2302,
0010-001,5,70,5,213,11,16,11,50-100,213,219,1275,248,687,35,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/subhumid,1210,14,Mid-altitude Plateaus,Moderate Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1064,764,17,988,676,16,1106,802,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.667920000000001,33.3937,
0010-002,1,41,1,41,2,94,2,500-1000,190,205,892,243,626,12,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-cool/semiarid,1340,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,808,641,16,807,530,17,841,665,17,53.9075,179,251,.4930333333333334,66.93000000000001,159,270,.5081,52.95,180,256,.5146000000000001,-13.633598,33.946516,448.59
0011-001,9,92,4,236,23,20,23,50-100,212,217,1374,263,706,37,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-cool/subhumid,1260,13,Mid-altitude Plateaus,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,1050,746,17,970,656,16,1028,740,17,62.6025,151,240,.4909416666666668,69.34,125,235,.4827,78.65000000000001,129,242,.4903,-9.50446,33.2302,
