PID,eligible_tracking,status,whynotfound,specialcase
000101,1,Found,,
000102,1,Found,,
000103,1,Found,,
000104,1,Found,,
000105,1,Found,,
000106,0,Found,,
000201,1,Found,,
000202,1,Found,,
000203,0,Found,,
000204,0,Found,,
000301,1,Found,,
000401,1,Found,,
000402,1,Found,,
000403,1,Found,,
000404,1,Found,,
000405,1,Found,,
000406,0,Found,,
000501,1,Found,,
000502,1,Found,,
000503,1,Found,,
000504,1,Found,,
000505,1,Found,,
000506,1,Found,,
000507,0,Found,,
000508,0,Found,,
000509,0,Found,,
000601,1,Found,,
000602,1,Found,,
000603,1,Found,,
000604,0,Found,,
000605,0,Found,,
000701,1,Found,,
000702,1,Found,,
000703,1,Found,,
000704,1,Found,,
000705,1,Found,,
000706,1,Found,,
000707,0,Found,,
000708,0,Found,,
000709,0,Found,,
000710,0,Found,,
000711,0,"Not Found, Tracking Ineligible",,
000801,1,Found,,
000802,1,Found,,
000803,1,Found,,
000804,1,Found,,
000805,1,Found,,
000806,1,Found,,
000807,1,Found,,
000808,0,Found,,
000809,1,Found,,
000810,0,Found,,
000901,1,Found,,
000902,1,Found,,
001001,1,Found,,
001002,1,Found,,
001003,1,Found,,
001004,1,Found,,
001005,1,Found,,
001006,1,Found,,
001007,1,Found,,
001008,1,Found,,
001009,0,Found,,
001010,1,Found,,
001101,1,Found,,
001102,1,Found,,
001103,1,Found,,
001104,1,Found,,
001105,1,Found,,
001106,0,Found,,
001107,0,Found,,
001108,0,Found,,
001109,0,Found,,
001201,1,Found,,
001202,1,Found,,
001203,1,Found,,
001204,1,Found,,
001205,1,Found,,
001206,1,Found,,
001207,1,Found,,
001208,0,Found,,
001209,0,"Not Found, Tracking Ineligible",,
001210,1,Found,,
001301,1,Found,,
001302,1,Found,,
001303,1,Found,,
001304,0,Found,,
001305,0,Found,,
001306,0,Found,,
001401,1,Found,,
001501,1,Found,,
001502,1,"Not Found, Tracking Eligible",Individual Outside Malawi or in Likoma,
001503,1,"Not Found, Tracking Eligible",Individual Outside Malawi or in Likoma,
001504,1,Found,,
001505,0,Found,,
001601,1,Found,,
001602,1,Found,,
001603,1,Found,,
001604,1,Found,,
001605,0,Found,,
001701,1,Found,,
001801,1,Found,,
001802,1,Found,,
001803,0,Found,,
001804,1,Found,,
001805,1,Found,,
001806,0,Found,,
001901,1,Found,,
001902,1,Found,,
001903,0,Found,,
002001,1,Found,,
002002,1,Found,,
002003,1,Found,,
002004,1,Found,,
002101,1,Found,,
002102,1,"Not Found, Tracking Eligible",Individual Outside Malawi or in Likoma,
002201,1,Found,,
002202,1,Found,,
002203,0,Found,,
002301,1,Found,,
002302,1,Found,,
002303,1,Found,,
002304,1,Found,,
002401,1,Found,,
002402,1,Found,,
002403,1,Found,,
002404,1,Found,,
002405,1,Found,,
002406,0,Found,,
002501,1,Found,,
002502,1,Found,,
002601,1,Found,,
002602,1,Found,,
002603,0,Found,,
002604,0,Found,,
002701,1,Found,,
002702,1,Found,,
002703,0,Found,,
002704,0,Found,,
002801,1,Found,,
002802,1,Found,,
002803,0,Found,,
002804,0,Found,,
002805,0,Found,,
002901,1,Found,,
002902,1,Found,,
002903,0,Found,,
002904,0,Found,,
002905,0,Found,,
003001,1,Found,,
003002,1,Found,,
003003,0,Found,,
003004,0,Found,,
003101,1,Found,,
003102,1,Found,,
003103,1,Found,,
003104,1,Found,,
003105,0,Found,,
003106,0,Found,,
003201,1,Found,,
003202,1,Found,,
003203,1,Found,,
003204,1,Found,,
003205,1,Found,,
003206,1,Found,,
003207,1,Found,,
003208,0,Found,,
003301,1,Found,,
003302,1,Found,,
003303,0,Found,,
003401,1,Found,,
003402,1,Found,,
003403,1,Found,,
003404,1,Found,,
003405,1,Found,,
003406,1,Found,,
003407,1,Found,,
003408,1,Found,,
003409,1,Found,,
003410,0,Found,,
003501,1,Found,,
003502,1,Found,,
003503,1,Found,,
003504,1,Found,,
003505,1,Found,,
003506,1,Found,,
003507,0,Found,,
003508,0,Found,,
003509,0,Found,,
003510,0,Found,,
003601,1,Found,,
003602,1,Found,,
003603,1,Found,,
003604,0,Found,,
003605,0,Found,,
003606,0,Found,,
003607,0,Found,,
003701,1,Found,,
003702,1,Found,,
003703,1,Found,,
003704,0,Found,,
003705,0,Found,,
003706,0,Found,,
003801,1,Found,,
003802,1,Found,,
003803,0,Found,,
003804,0,Found,,
003805,0,Found,,
003901,1,Found,,
003902,1,Found,,
004001,1,Found,,
004002,1,Found,,
004003,0,Found,,
004004,0,Found,,
004005,0,Found,,
004006,0,Found,,
004101,1,Found,,
004102,1,Found,,
004103,1,Found,,
004104,1,Found,,
004105,1,Found,,
004106,0,Found,,
004107,0,Found,,
004108,0,Found,,
004109,1,Found,,
004201,1,Found,,
004202,1,Found,,
004203,0,Found,,
004204,0,Found,,
004301,1,Found,,
004302,1,Found,,
004303,0,Found,,
004304,0,Individual Dead,,
004401,1,Found,,
004402,1,Found,,
004403,1,Found,,
004404,0,Found,,
004405,0,Found,,
004406,0,Found,,
004407,0,Found,,
004501,1,Found,,
004502,1,Found,,
004503,1,Found,,
004504,0,Found,,
004601,1,Found,,
004602,1,Found,,
004603,0,Found,,
004604,0,Found,,
004605,0,"Not Found, Tracking Ineligible",,
004606,0,"Not Found, Tracking Ineligible",,
004701,1,Found,,
004702,1,Found,,
004703,1,Found,,
004704,1,Found,,
004705,0,Found,,
004706,0,Found,,
004707,0,Found,,
004801,1,Found,,
004802,1,Found,,
004803,1,Found,,
004804,1,Found,,
004806,1,Found,,
004807,1,Found,,
004901,1,Found,,
004902,1,Found,,
004903,1,Found,,
004904,1,Found,,
004905,0,Found,,
005001,1,Found,,
005002,1,Found,,
005003,1,Found,,
005004,1,Found,,
005005,0,Found,,
005006,0,Found,,
005007,0,Found,,
005008,0,Found,,
005101,1,Found,,
005102,1,Found,,
005103,1,"Not Found, Tracking Eligible",Individual Outside Malawi or in Likoma,
005104,1,Found,,
005105,1,"Not Found, Tracking Eligible",Individual Outside Malawi or in Likoma,
005106,1,Found,,
005107,1,Found,,
005108,1,Found,,
005109,0,Found,,
005110,1,"Not Found, Tracking Eligible",Individual Outside Malawi or in Likoma,
005111,0,"Not Found, Tracking Ineligible",Individual Outside Malawi or in Likoma,
005201,1,Found,,
005202,1,Found,,
005203,0,Found,,
005204,0,Found,,
005301,1,"Not Found, Tracking Eligible",,
005302,1,Found,,
005303,0,Found,,
005401,1,Found,,
005402,1,Found,,
005403,1,Found,,
005404,1,Found,,
005405,1,Found,,
005406,0,Found,,
005407,0,Found,,
005408,0,Found,,
005501,1,Found,,
005502,1,Found,,
005503,1,Found,,
005504,1,Found,,
005505,1,Found,,
005506,1,Found,,
005507,0,Found,,
005508,0,Found,,
005509,0,Found,,
005510,0,Found,,
005511,1,Found,,
005601,1,Found,,
