position,name,type,isnumeric,format,vallab,varlab
1,occ,byte,1,%9.0g,,Case Section Roster Line Occurrence Sequence for O/S |Merge
2,y2_hhid,str8,0,%9s,,Unique Household Identification IHPS
3,qx_type,byte,1,%8.0g,HH_A02,"Sample Group (Panel A, Panel B)"
4,interview_status,byte,1,%24.0g,stat,Household Interview Status
5,ag_a1_start,str17,0,%17s,,
6,ag_a1_end,str17,0,%17s,,
7,ag_a2_start,str1,0,%9s,,
8,ag_a2_end,str17,0,%17s,,
9,ag_b_start,str17,0,%17s,,
10,ag_b_end,str17,0,%17s,,
11,ag_b_start_day,byte,1,%8.0g,,
12,ag_b_start_month,byte,1,%9.0g,AG_B_START_MONTH,
13,ag_b_start_hour,byte,1,%8.0g,,
14,ag_b_start_minute,byte,1,%8.0g,,
15,ag_b_end_hour,byte,1,%8.0g,,
16,ag_b_end_minute,byte,1,%8.0g,,
17,ag_b_respondent,byte,1,%8.0g,,
18,ag_b1_start,str17,0,%17s,,
19,ag_b1_end,str17,0,%17s,,
20,ag_b1_start_day,byte,1,%8.0g,,
21,ag_b1_start_month,byte,1,%9.0g,AG_B1_START_MONTH,
22,ag_b1_start_hour,byte,1,%8.0g,,
23,ag_b1_start_minute,byte,1,%8.0g,,
24,ag_b1_end_hour,byte,1,%8.0g,,
25,ag_b1_end_minute,byte,1,%8.0g,,
26,ag_b1_respondent,byte,1,%8.0g,,
27,ag_c_start,str17,0,%17s,,
28,ag_c_end,str17,0,%17s,,
29,ag_c_start_day,byte,1,%8.0g,,
30,ag_c_start_month,byte,1,%9.0g,AG_C_START_MONTH,
31,ag_c_start_hour,byte,1,%8.0g,,
32,ag_c_start_minute,byte,1,%8.0g,,
33,ag_c_end_hour,byte,1,%8.0g,,
34,ag_c_end_minute,byte,1,%8.0g,,
35,ag_c_respondent,byte,1,%8.0g,,
36,ag_d_start,str17,0,%17s,,
37,ag_d_end,str17,0,%17s,,
38,ag_d_start_day,byte,1,%8.0g,,
39,ag_d_start_month,byte,1,%9.0g,AG_D_START_MONTH,
40,ag_d_start_hour,byte,1,%8.0g,,
41,ag_d_start_minute,byte,1,%8.0g,,
42,ag_d_end_hour,byte,1,%8.0g,,
43,ag_d_end_minute,byte,1,%8.0g,,
44,ag_d_respondent,byte,1,%8.0g,,
45,ag_e_start,str17,0,%17s,,
46,ag_e_end,str17,0,%17s,,
47,ag_e_start_day,byte,1,%8.0g,,
48,ag_e_start_month,byte,1,%9.0g,AG_E_START_MONTH,
49,ag_e_start_hour,byte,1,%8.0g,,
50,ag_e_start_minute,byte,1,%8.0g,,
51,ag_e_end_hour,byte,1,%8.0g,,
52,ag_e_end_minute,byte,1,%8.0g,,
53,ag_e_respondent,byte,1,%8.0g,,
54,ag_f_start,str17,0,%17s,,
55,ag_f_end,str17,0,%17s,,
56,ag_f_start_day,byte,1,%8.0g,,
57,ag_f_start_month,byte,1,%9.0g,AG_F_START_MONTH,
58,ag_f_start_hour,byte,1,%8.0g,,
59,ag_f_start_minute,byte,1,%8.0g,,
60,ag_f_end_hour,byte,1,%8.0g,,
61,ag_f_end_minute,byte,1,%8.0g,,
62,ag_f_respondent,byte,1,%8.0g,,
63,ag_g_start,str17,0,%17s,,
64,ag_g_end,str17,0,%17s,,
65,ag_g_start_day,byte,1,%8.0g,,
66,ag_g_start_month,byte,1,%9.0g,AG_G_START_MONTH,
67,ag_g_start_hour,byte,1,%8.0g,,
68,ag_g_start_minute,byte,1,%8.0g,,
69,ag_g_end_hour,byte,1,%8.0g,,
70,ag_g_end_minute,byte,1,%8.0g,,
71,ag_h_start,str17,0,%17s,,
72,ag_h_end,str17,0,%17s,,
73,ag_h_start_day,byte,1,%8.0g,,
74,ag_h_start_month,byte,1,%9.0g,AG_H_START_MONTH,
75,ag_h_start_hour,byte,1,%8.0g,,
76,ag_h_start_minute,byte,1,%8.0g,,
77,ag_h_end_hour,byte,1,%8.0g,,
78,ag_h_end_minute,byte,1,%8.0g,,
79,ag_h_respondent,byte,1,%8.0g,,
80,ag_r_start,str17,0,%17s,,
81,ag_r_end,str17,0,%17s,,
82,ag_r_start_day,byte,1,%8.0g,,
83,ag_r_start_month,byte,1,%9.0g,AG_I_START_MONTH,
84,ag_r_start_hour,byte,1,%8.0g,,
85,ag_r_start_minute,byte,1,%8.0g,,
86,ag_r_end_hour,byte,1,%8.0g,,
87,ag_r_end_minute,byte,1,%8.0g,,
88,ag_s_start,str17,0,%17s,,
89,ag_s_end,str17,0,%17s,,
90,ag_s_start_day,byte,1,%8.0g,,
91,ag_s_start_month,byte,1,%9.0g,AG_J_START_MONTH,
92,ag_s_start_hour,byte,1,%8.0g,,
93,ag_s_start_minute,byte,1,%8.0g,,
94,ag_s_end_hour,byte,1,%8.0g,,
95,ag_s_end_minute,byte,1,%8.0g,,
96,ag_s_respondent,byte,1,%8.0g,,
97,ag_i_start,str17,0,%17s,,
98,ag_i_end,str17,0,%17s,,
99,ag_i_start_day,byte,1,%8.0g,,
100,ag_i_start_month,byte,1,%9.0g,AG_M_START_MONTH,
101,ag_i_start_hour,byte,1,%8.0g,,
102,ag_i_start_minute,byte,1,%8.0g,,
103,ag_i_end_hour,byte,1,%8.0g,,
104,ag_i_end_minute,byte,1,%8.0g,,
105,ag_i1_start,str17,0,%17s,,
106,ag_i1_end,str17,0,%17s,,
107,ag_i1_start_day,byte,1,%8.0g,,
108,ag_i1_start_month,byte,1,%9.0g,AG_M1_START_MONTH,
109,ag_i1_start_hour,byte,1,%8.0g,,
110,ag_i1_start_minute,byte,1,%8.0g,,
111,ag_i1_end_hour,byte,1,%8.0g,,
112,ag_i1_end_minute,byte,1,%8.0g,,
113,ag_i1_respondent,byte,1,%8.0g,,
114,ag_j_start,str17,0,%17s,,
115,ag_j_end,str17,0,%17s,,
116,ag_j_start_day,byte,1,%8.0g,,
117,ag_j_start_month,byte,1,%9.0g,AG_N_START_MONTH,
118,ag_j_start_hour,byte,1,%8.0g,,
