position,name,type,isnumeric,format,vallab,varlab
1,occ,byte,1,%9.0g,,Case Section Roster / Line Occurrence Sequence for O/S Merge
2,y2_hhid,str8,0,%9s,,Unique Household Identification IHPS
3,qx_type,byte,1,%8.0g,HH_A02,"Sample Group (Panel A, Panel B)"
4,interview_status,byte,1,%24.0g,stat,Household Interview Status
5,ag_b101,byte,1,%8.0g,AG_B101,"During the 2012/2013 rainy season, did you OR any member of your household own a"
6,ag_b100a,str4,0,%9s,,Garden (Munda) ID
7,ag_b103_1,str4,0,%9s,,"IF THIS GARDEN WAS OWNED / CULTIVATED DURING THE 2009/2010 RAINY SEASON, ENTER I"
8,ag_b103_2,byte,1,%8.0g,,RECORD THE NUMBER OF PLOTS CONTAINED IN THIS GARDEN (MUNDA)
9,ag_b102,str25,0,%25s,,Garden (Munda) name
10,ag_b104a,float,1,%9.0g,,What is the area of this [GARDEN]? (AREA)
11,ag_b104b,byte,1,%15.0g,AG_B104B,What is the area of this [GARDEN]? (UNIT)
12,ag_b104c,float,1,%9.0g,,What is the area of this [GARDEN]? (GPS AREA IN ACRES)
13,ag_b105e,byte,1,%17.0g,AG_B105E,REASON DID NOT RECORD GPS COORDINATES
14,ag_b106,byte,1,%8.0g,,ENUMERATOR: RECORD NUMBER OF SATELLITES GPS TRACKED TO CAPTURE GARDEN COORDINATE
15,ag_b107,byte,1,%39.0g,AG_B107,ENUMERATOR: RECORD THE WEATHER CONDITIONS AT TIME OF MEASUREMENT
