position,name,type,isnumeric,format,vallab,varlab
1,HHID,int,1,%10.0g,,Assigned Unique Serial Number for IHS3 Baseline Household
2,case_id,str12,0,%12s,,IHS3 Baseline case_id as in IHS3 Public Data
3,qx_type,str7,0,%9s,,"Sample Group (Panel A, Panel B, Cross-Sectional)"
4,visit,byte,1,%9.0g,,Panel Visit
5,ea_id,str8,0,%9s,,Unique EA Identifier
6,ag_d00,str2,0,%9s,,Plot Id
7,ag_d01,byte,1,%8.0g,,"Who in HH makes decisions concerning crops to be planted,input use,timing of cro"
8,ag_d02,byte,1,%8.0g,,ENUMERATOR: Record the ID of the respondent.
9,ag_d03,byte,1,%24.0g,AG_D03,How did your household acquire this [PLOT]?
10,ag_d03_os,str38,0,%38s,,How did your household acquire this [PLOT]?(Other Specify)
11,ag_d04a,byte,1,%8.0g,,Who in this household owns this [PLOT]?(ID CODE #1)
12,ag_d04b,byte,1,%8.0g,,Who in this household owns this [PLOT]?(ID CODE #2)
13,ag_d05,long,1,%12.0g,,"If you were to sell this [PLOT] today, how much could you sell it for?"
14,ag_d06,long,1,%12.0g,,"If you were to rent out this[PLOT]for 12 months,how much could you rent it for?"
15,ag_d10a,byte,1,%8.0g,,How much output from[PLOT]will you give as rent in[RS]?(TYPE)
16,ag_d10b,byte,1,%9.0g,,How much output from[PLOT]will you give as rent in[RS]?(QUANT)
17,ag_d10c,byte,1,%15.0g,AG_D07C,How much output from[PLOT]will you give as rent in[RS]?(UNIT)
18,ag_d10c_os,str5,0,%9s,,How much output from[PLOT]will you give as rent in[RS]?(UNIT)(O/S)
19,ag_d10d,byte,1,%14.0g,AG_D07D,How much output from[PLOT]will you give as rent in[RS]?(S/U)
20,ag_d11a,long,1,%12.0g,,How much did you already pay the owner for the use of[PLOT]in the[RS]?(CASH)
21,ag_d11b,int,1,%12.0g,,How much did you already pay the owner for the use of[PLOT]in the[RS]?(IN-KIND)
22,ag_d11c,int,1,%12.0g,,How much do you still have to pay the owner for the use of[PLOT]in the[RS]?(CASH
23,ag_d11d,int,1,%12.0g,,How much do you still have to pay the owner for the use of[PLOT]...?(IN-KIND)
24,ag_d12,byte,1,%33.0g,AG_D09,What period of time did this payment cover?
25,ag_d12_os,str11,0,%11s,,What period of time did this payment cover?(Other Specify)
26,ag_d13a,str3,0,%9s,,Who owns this [PLOT]?(ID CODE #1)
27,ag_d13b,str2,0,%9s,,Who owns this [PLOT]?(ID CODE #2)
28,ag_d14,byte,1,%17.0g,AG_D11,During the [RS] was this [PLOT]...?
29,ag_d14_os,str37,0,%37s,,During the [RS] was this [PLOT]...?(Other Specify)
30,ag_d18a,byte,1,%25.0g,CROP001,How much output from[PLOT]will you receive as rent in[RS]?(TYPE)
31,ag_d18b,byte,1,%9.0g,,How much output from[PLOT]will you receive as rent in[RS]?(QUANT)
