position,name,type,isnumeric,format,vallab,varlab
1,occ,byte,1,%9.0g,,Case Section Roster / Line Occurrence Sequence for O/S Merge
2,y2_hhid,str8,0,%9s,,Unique Household Identification IHPS
3,qx_type,byte,1,%8.0g,HH_A02,"Sample Group (Panel A, Panel B)"
4,interview_status,byte,1,%24.0g,stat,Household Interview Status
5,ag_f0a,byte,1,%8.0g,AG_F0A,Did you or anyone in your household cultivate any plots during the 2012/2013 rai
6,ag_f0b,int,1,%29.0g,AG_F0B,Input ID
7,ag_f00b,str25,0,%25s,,Input Description
8,ag_f0c,str21,0,%21s,,Input Type Name
9,ag_f0d,byte,1,%34.0g,AG_F0D,Input Type Code
10,ag_f01a,float,1,%9.0g,,"ENUMERATOR: FOR ROW 101, ORGANIC FERTILIZER (MANURE), ENTER THE TOTAL QUANTITY,"
11,ag_f01b,byte,1,%15.0g,AG_F01B,"ENUMERATOR: FOR ROW 101, ORGANIC FERTILIZER (MANURE), ENTER THE TOTAL QUANTITY,"
12,ag_f02,byte,1,%29.0g,AG_F02,ENUMERATOR: ASK THE FARMER WHETHER THE FIGURES FROM QUESTION 1 CORRESPOND TO THE
13,ag_f03,byte,1,%8.0g,AG_F03,"During the 2012/2013 rainy season, did all of this [INPUT] come from purchases b"
14,ag_f04,byte,1,%8.0g,AG_F04,"During the 2012/2013 rainy season, did you purchase any [INPUT] without coupons/"
15,ag_f15,str3,0,%9s,,Who/Which firm/ institution was the FIRST SOURCE of the [INPUT] that you purchas
16,ag_f16a,float,1,%9.0g,,How much of the [INPUT] was purchased without coupons / vouchers or purchased on
17,ag_f16b,byte,1,%15.0g,AG_F06B,How much of the [INPUT] was purchased without coupons / vouchers or purchased on
18,ag_f17,byte,1,%21.0g,AG_F07,What was the main mode of transportation used to bring back the [INPUT] that you
19,ag_f18,int,1,%12.0g,,How much did you pay for transportation to acquire the [INPUT] that you purchase
20,ag_f19,long,1,%12.0g,,What was the value of the [INPUT] that you purchased without coupons / vouchers
21,ag_f20,byte,1,%32.0g,AG_F10,How did you finance this [INPUT] purchase from [FIRST SOURCE]?
22,ag_f21,int,1,%12.0g,,How much did you pay up-front for this [INPUT] purchase?
23,ag_f22,long,1,%12.0g,,How much did you repay/will you repay?
24,ag_f23,str3,0,%9s,,What was the source of credit for this [INPUT] purchase?
25,ag_f24,byte,1,%8.0g,AG_F14,Was there a SECOND SOURCE from whom you purchased any of the [INPUT] without cou
26,ag_f25,str3,0,%9s,,Who/Which firm/ institution was the SECOND SOURCE of the [INPUT] that you purcha
27,ag_f26a,int,1,%12.0g,,How much of the [INPUT] was purchased without coupons / vouchers or purchased on
28,ag_f26b,byte,1,%15.0g,AG_F16B,How much of the [INPUT] was purchased without coupons / vouchers or purchased on
29,ag_f27,byte,1,%21.0g,AG_F17,What was the main mode of transportation used to bring back the [INPUT] that you
30,ag_f28,int,1,%12.0g,,How much did you pay for transportation to acquire the [INPUT] that you purchase
31,ag_f29,long,1,%10.0g,,What was the value of the [INPUT] that you purchased without coupons / vouchers
32,ag_f30,byte,1,%31.0g,AG_F20,How did you finance this [INPUT] purchase from [SECOND SOURCE]?
33,ag_f31,byte,1,%10.0g,,How much did you pay up-front for this [INPUT] purchase?
34,ag_f32,byte,1,%12.0g,,How much did you repay/will you repay?
35,ag_f33,str1,0,%9s,,What was the source of credit for this [INPUT] purchase?
36,ag_f34,byte,1,%8.0g,AG_F24,Was there a THIRD SOURCE from whom you purchased any of the [INPUT] without coup
37,ag_f35,str3,0,%9s,,Who/Which firm/ institution was the THIRD SOURCE of the [INPUT] that you purchas
38,ag_f36a,byte,1,%12.0g,,How much of the [INPUT] was purchased without coupons / vouchers or purchased on
39,ag_f36b,byte,1,%15.0g,AG_F26B,How much of the [INPUT] was purchased without coupons / vouchers or purchased on
40,ag_f37,byte,1,%8.0g,AG_F27,Did you receive any of the [INPUT] for free during the 2012/2013 rainy season?
41,ag_f38a,int,1,%12.0g,,How much of the [INPUT] did you receive in total for free during the 2012/2013 r
42,ag_f38b,byte,1,%15.0g,AG_F28B,How much of the [INPUT] did you receive in total for free during the 2012/2013 r
43,ag_f39a,str3,0,%9s,,"During the 2012/2013 rainy season, from whom did you receive the [INPUT] for fre"
44,ag_f39b,str3,0,%9s,,"During the 2012/2013 rainy season, from whom did you receive the [INPUT] for fre"
45,ag_f40,int,1,%12.0g,,How much did you pay for transportation in total to acquire all of the [INPUT] t
46,ag_f41,byte,1,%8.0g,AG_F31,Was any of the [INPUT] that you used during the 2012/2013 rainy season left over
47,ag_f42a,byte,1,%12.0g,,How much of the [INPUT] that you used during the 2012/2013 rainy season was left
48,ag_f42b,byte,1,%15.0g,AG_F32B,How much of the [INPUT] that you used during the 2012/2013 rainy season was left
49,ag_f43,byte,1,%8.0g,AG_F33,Did you use any ORGANIC FERTILIZER out of own-production or own animals during t
50,ag_f44a,int,1,%12.0g,,How much of the ORGANIC FERTILIZER was used out of own-production or own animals
51,ag_f44b,byte,1,%15.0g,AG_F34B,How much of the ORGANIC FERTILIZER was used out of own-production or own animals
