position,name,type,isnumeric,format,vallab,varlab
1,occ,byte,1,%9.0g,,Case Section Roster / Line Occurrence Sequence for O/S Merge
2,y2_hhid,str8,0,%9s,,Unique Household Identification IHPS
3,qx_type,byte,1,%8.0g,HH_A02,"Sample Group (Panel A, Panel B)"
4,interview_status,byte,1,%24.0g,stat,Household Interview Status
5,ag_k00,str3,0,%9s,,Plot ID
6,ag_k01,byte,1,%8.0g,AG_O0A,ENUMERATOR: WAS THIS PLOT ON A RAINY SEASON GARDEN?
7,ag_k02,byte,1,%8.0g,,"Who in the household makes the decisions concerning crops to be planted, input u"
8,ag_k02_1,byte,1,%8.0g,AG_O01_1,Are there other household members that the primary decision maker consults regar
9,ag_k02_2a,byte,1,%8.0g,,Who are the other decision makers on the [PLOT]? (1st)
10,ag_k02_2b,byte,1,%8.0g,,Who are the other decision makers on the [PLOT]? (2nd)
11,ag_k03,byte,1,%8.0g,,ENUMERATOR: RECORD THE ID OF THE RESPONDENT.
12,ag_k04,byte,1,%24.0g,AG_O03,How did your household acquire this [PLOT]?
13,ag_k04_1,byte,1,%8.0g,AG_O03_1,Does your household currently have a title for this [PLOT]?
14,ag_k04_2a,byte,1,%8.0g,,Who in the household is listed on the title as the owner of this [PLOT]? (ID COD
15,ag_k04_2b,byte,1,%8.0g,,Who in the household is listed on the title as the owner of this [PLOT]? (ID COD
16,ag_k05a,byte,1,%8.0g,,Who in this household owns this [PLOT]? (ID CODE 1)
17,ag_k05b,byte,1,%8.0g,,Who in this household owns this [PLOT]? (ID CODE 2)
18,ag_k05_1,byte,1,%8.0g,AG_O04_1,Does the owner(s) have the right to sell this [PLOT] or use it as collateral?
19,ag_k05_2a,byte,1,%8.0g,,Who in the household can decide whether to sell this [PLOT] or use it as collate
20,ag_k05_2b,byte,1,%8.0g,,Who in the household can decide whether to sell this [PLOT] or use it as collate
21,ag_k05_3,byte,1,%8.0g,AG_O04_3,Have you ever been concerned that somebody might dispute your ownership of this
22,ag_k06,long,1,%12.0g,,"If you were to sell this [PLOT] today, how much could you sell it for?"
23,ag_k07,long,1,%12.0g,,"If you were to rent out this [PLOT] today for 12 months, how much could you rent"
24,ag_k11a,byte,1,%25.0g,AG_O07A,"How much output from this [PLOT] will you give as rent, if any, in the 2013 dry"
25,ag_k11b,byte,1,%9.0g,,"How much output from this [PLOT] will you give as rent, if any, in the 2013 dry"
26,ag_k11c,byte,1,%15.0g,AG_O07C,"How much output from this [PLOT] will you give as rent, if any, in the 2013 dry"
27,ag_k11d,byte,1,%14.0g,AG_O07D,"How much output from this [PLOT] will you give as rent, if any, in the 2013 dry"
28,ag_k12a,int,1,%12.0g,,How much did you already pay the owner for the use of [PLOT] in the 2013 dry (di
29,ag_k12b,byte,1,%12.0g,,How much did you already pay the owner for the use of [PLOT] in the 2013 dry (di
30,ag_k12c,int,1,%12.0g,,How much do you still have to pay the owner for the use of [PLOT] in the 2013 dr
31,ag_k12d,int,1,%12.0g,,How much do you still have to pay the owner for the use of [PLOT] in the 2013 dr
32,ag_k13,byte,1,%33.0g,AG_O09,What period of time did this payment cover?
33,ag_k14a,str3,0,%9s,,Who owns this [PLOT]? (1ST)
34,ag_k14b,str3,0,%9s,,Who owns this [PLOT]? (2ND)
35,ag_k14_1a,byte,1,%8.0g,,Who in the household has the use rights to [PLOT]? (ID CODE 1)
36,ag_k14_1b,byte,1,%8.0g,,Who in the household has the use rights to [PLOT]? (ID CODE 2)
37,ag_k15,byte,1,%17.0g,AG_O11,"During the 2013 dry (dimba) season, is this [PLOT]…"
38,ag_k19a,byte,1,%25.0g,AG_O12A,"How much output from this [PLOT] will you receive as rent, if any, in the 2013 d"
39,ag_k19b,byte,1,%9.0g,,"How much output from this [PLOT] will you receive as rent, if any, in the 2013 d"
40,ag_k19c,byte,1,%15.0g,AG_O12C,"How much output from this [PLOT] will you receive as rent, if any, in the 2013 d"
41,ag_k19d,byte,1,%14.0g,AG_O12D,"How much output from this [PLOT] will you receive as rent, if any, in the 2013 d"
42,ag_k20a,int,1,%12.0g,,How much did you already receive from renting out this [PLOT] in the 2013 dry (d
43,ag_k20b,byte,1,%12.0g,,How much did you already receive from renting out this [PLOT] in the 2013 dry (d
44,ag_k20c,byte,1,%12.0g,,How much are you still supposed to receive from renting out this [PLOT] in the 2
45,ag_k20d,byte,1,%12.0g,,How much are you still supposed to receive from renting out this [PLOT] in the 2
46,ag_k21a,byte,1,%25.0g,AG_O14A,What crops were planted on this [PLOT] during the 2013 dry (dimba) season? (1ST)
47,ag_k21b,byte,1,%25.0g,AG_O14B,What crops were planted on this [PLOT] during the 2013 dry (dimba) season? (2ND)
48,ag_k21c,byte,1,%25.0g,AG_O14C,What crops were planted on this [PLOT] during the 2013 dry (dimba) season? (3RD)
49,ag_k21d,byte,1,%25.0g,AG_O14D,What crops were planted on this [PLOT] during the 2013 dry (dimba) season? (4TH)
50,ag_k21e,byte,1,%25.0g,AG_O14E,What crops were planted on this [PLOT] during the 2013 dry (dimba) season? (5TH)
51,ag_k22,byte,1,%20.0g,AG_O15,What is the predominant soil type of this [PLOT]?
52,ag_k23,byte,1,%8.0g,AG_O16,What is the soil quality of [PLOT]?
53,ag_k24,byte,1,%10.0g,AG_O17,How would you rate the extent of erosion on this [PLOT]?
54,ag_k25a,byte,1,%15.0g,AG_O18A,What are the causes of these erosion problems? (1ST)
55,ag_k25b,byte,1,%15.0g,AG_O18B,What are the causes of these erosion problems? (2ND)
56,ag_k26a,byte,1,%21.0g,AG_O19A,What type of erosion control/water harvesting facilities were on this  [PLOT]? (
57,ag_k26b,byte,1,%21.0g,AG_O19B,What type of erosion control/water harvesting facilities were on this  [PLOT]? (
58,ag_k26_1a,byte,1,%25.0g,AG_O19_1A,When was the investment in [STRUCTURE] made? (1ST)
59,ag_k26_1b,byte,1,%25.0g,AG_O19_1B,When was the investment in [STRUCTURE] made? (2ND)
