position,name,type,isnumeric,format,vallab,varlab
1,HHID,int,1,%10.0g,,Assigned Unique Serial Number for IHS3 Baseline Household
2,case_id,str12,0,%12s,,IHS3 Baseline case_id as in IHS3 Public Data
3,qx_type,str7,0,%9s,,"Sample Group (Panel A, Panel B, Cross-Sectional)"
4,visit,byte,1,%9.0g,,Panel Visit
5,ea_id,str8,0,%9s,,Unique EA Identifier
6,ag_n0c,byte,1,%24.0g,S0C,SEED CODE
7,ag_n0c_os,str15,0,%15s,,Seed Code (Other Specify)
8,ag_n01a,float,1,%9.0g,,TOTAL AMOUNT PLANTED DURING THE [REFERENCE SEASON].(QUANT)
9,ag_n01b,byte,1,%8.0g,S01B,TOTAL AMOUNT PLANTED DURING THE [REFERENCE SEASON].(UNIT)
10,ag_n01b_os,str8,0,%9s,,TOTAL AMOUNT PLANTED DURING THE [REFERENCE SEASON].(UNIT)(O/S)
11,ag_n02,byte,1,%75.0g,S02,ENUMERATOR: ASK THE FARMER WHETHER THE FIGURES FROM QUESTION 1 CORRESPOND TO T
12,ag_n03,byte,1,%8.0g,S03,During[RS]did all of this [SEED] come from purchases by using coupons/vouchers?
13,ag_n04,byte,1,%8.0g,S04,Did you purchase any[SEED]w/out coupons/vouchers/purchase any[SEED]on credit?
14,ag_n15,str3,0,%9s,,1st source of[SEED]you purchased w/out coupons/vouchers/purchased credit?
15,ag_n16a,float,1,%9.0g,,Amount purchased w/out coupons/vouchers or purchased on credit(1st source)-QUANT
16,ag_n16b,byte,1,%15.0g,S06B,Amount purchased w/out coupons/vouchers or purchased on credit(1st source)-UNIT
17,ag_n16b_os,str11,0,%11s,,Amount purchased w/out coupons/vouchers or purchased on credit(1st source)-O/S
18,ag_n17,byte,1,%21.0g,S07A,Main mode used to transport[SEED]purchased on credit/w/out coupons/vouchers?1ST
19,ag_n17_os,str33,0,%33s,,Main mode used to transport[SEED]purchased on credit/w/out coupons/vouchers?O/S
20,ag_n18,int,1,%12.0g,,How much did you pay for transportation to acquire this [SEED]?(1ST)
21,ag_n19,int,1,%12.0g,,What was the value of[SEED]purchased on credit or w/out coupons/vouchers(1ST)?
22,ag_n20,byte,1,%8.0g,,How did you finance this[SEED]purchase from [FIRST SOURCE]?
23,ag_n21,byte,1,%12.0g,,How much did you pay up-front for this [SEED] purchase?
24,ag_n22,int,1,%12.0g,,How much did you repay/will you repay?
25,ag_n23,str3,0,%9s,,What was the source of credit for this [SEED] purchase?
26,ag_n24,byte,1,%8.0g,S14,2nd source from whom you purchased[SEED]w/out coupons/vouchers or on credit?
27,ag_n25,str1,0,%9s,,2nd Source of[SEED]purchased w/out coupons/vouchers or purchased on credit
28,ag_n26a,byte,1,%9.0g,,Amount purchased w/out coupons/vouchers or purchased on credit(2nd source)-QUANT
29,ag_n26b,byte,1,%15.0g,S16B,Amount purchased w/out coupons/vouchers or purchased on credit(2nd source)-UNIT
30,ag_n26b_os,str1,0,%9s,,Amount purchased w/out coupons/vouchers or purchased on credit(2nd source)-O/S
31,ag_n27,byte,1,%21.0g,S17A,Main mode used to transport[SEED]purchased on credit/w/out coupons/vouchers?1ST
32,ag_n27b_os,str1,0,%9s,,Main mode used to transport[SEED]purchased on credit/w/out coupons/vouchers?O/S
33,ag_n28,byte,1,%12.0g,,How much did you pay for transportation to acquire this [SEED]?(2ND)
34,ag_n29,byte,1,%12.0g,,What was the value of[SEED]purchased on credit or w/out coupons/vouchers(2ND)?
35,ag_n30,byte,1,%31.0g,S20,How did you finance this[SEED]purchase from [FIRST SOURCE]?
36,ag_n31,byte,1,%12.0g,,How much did you pay up-front for this [SEED] purchase?
37,ag_n32,byte,1,%12.0g,,How much did you repay/will you repay?
38,ag_n33,str1,0,%9s,,What was the source of credit for this [SEED] purchase?
39,ag_n34,byte,1,%8.0g,S24,3rd source from whom you purchased[SEED]w/out coupons/vouchers or on credit?
40,ag_n35,str1,0,%9s,,3rd Source of[SEED]purchased w/out coupons/vouchers or purchased on credit
41,ag_n36a,byte,1,%9.0g,,Amount purchased w/out coupons/vouchers or purchased on credit(3rd source)-QUANT
42,ag_n36b,byte,1,%15.0g,S26B,Amount purchased w/out coupons/vouchers or purchased on credit(3rd source)-UNIT
43,ag_n36b_os,str1,0,%9s,,Amount purchased w/out coupons/vouchers or purchased on credit(3rd source)-O/S
44,ag_n37,byte,1,%8.0g,S27,Did you receive any of the[SEED]for free during the[RS]?
45,ag_n38a,float,1,%9.0g,,How much of[SEED]did you receive in total for free during[RS](QUANT)?
46,ag_n38b,byte,1,%15.0g,S28B,How much of[SEED]did you receive in total for free during[RS](UNIT)?
47,ag_n38b_os,str11,0,%11s,,How much of[SEED]did you receive in total for free during[RS](O/S)?
48,ag_n39a,str3,0,%9s,,"During[RS],from whom did you receive most of the[SEED]for free(1st)?"
49,ag_n39b,str1,0,%9s,,"During[RS],from whom did you receive most of the[SEED]for free(2nd)?"
50,ag_n40,int,1,%12.0g,,Total payment for transportation to acquire all of[SEED]received for free?
51,ag_n41,byte,1,%8.0g,S31,Was any of the[SEED]used during the[RS]left over from a previous season?
52,ag_n42a,float,1,%9.0g,,How much of[SEED]used during[RS]was left over from a previous season(QUANT)?
53,ag_n42b,byte,1,%15.0g,S32B,How much of[SEED]used during[RS]was left over from a previous season(UNIT)?
54,ag_n42b_os,str18,0,%18s,,How much of[SEED]used during[RS]was left over from a previous season(O/S)?
55,ag_n43,byte,1,%41.0g,S33A,Why did you choose to use this [SEED]?
56,ag_n43_os,str30,0,%30s,,Why did you choose to use this [SEED]?(O/S)
