position,name,type,isnumeric,format,vallab,varlab
1,HHID,int,1,%10.0g,,Assigned Unique Serial Number for IHS3 Baseline Household
2,case_id,str12,0,%12s,,IHS3 Baseline case_id as in IHS3 Public Data
3,qx_type,str7,0,%9s,,"Sample Group (Panel A, Panel B, Cross-Sectional)"
4,visit,byte,1,%9.0g,,Panel Visit
5,ea_id,str8,0,%9s,,Unique EA Identifier
6,ag_q0b,byte,1,%22.0g,V0B,TREE/PERMANENT CROP CODE
7,ag_q0b_os,str11,0,%11s,,Tree/Permanent Crop Code (Other Specify)
8,ag_q01,byte,1,%8.0g,V01,Did you sell any of the harvested [TREE/PERM CROP]during the last 12 months?
9,ag_q02a,float,1,%9.0g,,How much of the harvested[TREE/PERM CROP]was sold in total?(QUANTITY)
10,ag_q02b,byte,1,%15.0g,V02B,How much of the harvested[TREE/PERM CROP]was sold in total?(UNIT)
11,ag_q02b_os,str11,0,%11s,,How much of the harvested [TREE/PERMANENT CROP] was sold in total... (Unit) (Oth
12,ag_q03,long,1,%12.0g,,What was the total value of [TREE/PERM CROP] sales?
13,ag_q11,str3,0,%9s,,Who/What was the[LARGEST BUYER/OUTLET]for your[TREE/PERM CROP]sales?
14,ag_q12a,float,1,%9.0g,,How much of the harvested[TREE/PERM CROP]was sold to[LARGEST BUYER/OUTLET]?(Q)
15,ag_q12b,byte,1,%15.0g,V05B,How much of the harvested[TREE/PERM CROP]was sold to[LARGEST BUYER/OUTLET]?(U)
16,ag_q12b_os,str11,0,%11s,,How much of the harvested[TREE/PERM CROP]was sold to[LARGEST BUYER/OUTLET]?O/S
17,ag_q13,long,1,%12.0g,,What was the total value of [TREE/PERM CROP]sales to [LARGEST BUYER/OUTLET]?
18,ag_q14a,byte,1,%8.0g,,Who in your HH kept decided what to do with these earnings? (ID CODE #1)
19,ag_q14b,byte,1,%8.0g,,Who in your HH kept decided what to do with these earnings? (ID CODE #2)
20,ag_q15a,byte,1,%9.0g,V08A,When was most of the [TREE/PERM CROP] sold? (MONTH)
21,ag_q15b,int,1,%8.0g,,When was most of the [TREE/PERM CROP] sold? (YEAR)
22,ag_q16,byte,1,%8.0g,,How many transactions took place while selling[TREE/PERM CROP]to[LARGEST BUYER]?
23,ag_q17,byte,1,%24.0g,V10A,Main mode of transport associated w/[TREE/PERM CROP]sales to [LARGEST BUYER]?
24,ag_q17_os,str1,0,%9s,,Main mode of transport associated w/[TREE/PERM CROP]sales to [LARGEST BUYER]?(O/
25,ag_q18,int,1,%12.0g,,Total cost of transport associated w/[TREE/PERM CROP]sales to [LARGEST BUYER]?
26,ag_q19,byte,1,%8.0g,V12,Was there another buyer/outlet to whom you sold[TREE/PERM CROP]during [RS]?
27,ag_q20,str3,0,%9s,,Who/What was the[2ND LARGEST BUYER/OUTLET]for your[TREE/PERM CROP]sales?
