position,name,type,isnumeric,format,vallab,varlab
1,ea_id,str8,0,%9s,,Unique EA Identifier
2,com_cb_start_day,byte,1,%8.0g,,COM CB  Start Date (Day)
3,com_cb_start_month,byte,1,%9.0g,COM_CB_START_MONTH,COM CB  Start Date (Month)
4,com_cb_start_hour,byte,1,%8.0g,,COM CB  Start Time (Hour)
5,com_cb_start_minute,byte,1,%8.0g,,COM CB  Start Time (Minute)
6,com_cb_end_hour,byte,1,%8.0g,,COM CB  End Time (Hour)
7,com_cb_end_minute,byte,1,%8.0g,,COM CB  End Time (Minute)
8,com_cc_start_day,byte,1,%8.0g,,COM CC  Start Date (Day)
9,com_cc_start_month,byte,1,%9.0g,COM_CC_START_MONTH,COM CC  Start Date (Month)
10,com_cc_start_hour,byte,1,%8.0g,,COM CC  Start Time (Hour)
11,com_cc_start_minute,byte,1,%8.0g,,COM CC  Start Time (Minute)
12,com_cc_end_hour,byte,1,%8.0g,,COM CC  End Time (Hour)
13,com_cc_end_minute,byte,1,%8.0g,,COM CC  End Time (Minute)
14,com_ce_start_day,byte,1,%8.0g,,COM CE  Start Date (Day)
15,com_ce_start_month,byte,1,%9.0g,COM_CE_START_MONTH,COM CE  Start Date (Month)
16,com_ce_start_hour,byte,1,%8.0g,,COM CE  Start Time (Hour)
17,com_ce_start_minute,byte,1,%8.0g,,COM CE  Start Time (Minute)
18,com_ce_end_hour,byte,1,%8.0g,,COM CE  End Time (Hour)
19,com_ce_end_minus,byte,1,%8.0g,,COM CE  End Time (Minute)
20,com_cf_start_day,byte,1,%8.0g,,COM CF  Start Date (Day)
21,com_cf_start_month,byte,1,%9.0g,COM_CF_START_MONTH,COM CF  Start Date (Month)
22,com_cf_start_hour,byte,1,%8.0g,,COM CF  Start Time (Hour)
23,com_cf_start_minute,byte,1,%8.0g,,COM CF  Start Time (Minute)
24,com_cf_end_hour,byte,1,%8.0g,,COM CF  End Time (Hour)
25,com_cf_end_minute,byte,1,%8.0g,,COM CF  End Time (Minute)
26,com_cg_start_day,byte,1,%8.0g,,COM CG  Start Date (Day)
27,com_cg_start_month,byte,1,%9.0g,COM_CG_START_MONTH,COM CG  Start Date (Month)
28,com_cg_start_hour,byte,1,%8.0g,,COM CG  Start Time (Hour)
29,com_cg_start_minute,byte,1,%8.0g,,COM CG  Start Time (Minute)
30,com_cg_end_hour,byte,1,%8.0g,,COM CG  End Time (Hour)
31,com_cg_end_minute,byte,1,%8.0g,,COM CG  End Time (Minute)
32,com_ch_start_day,byte,1,%8.0g,,COM CH  Start Date (Day)
33,com_ch_start_month,byte,1,%9.0g,COM_CH_START_MONTH,COM CH  Start Date (Month)
34,com_ch_start_hour,byte,1,%8.0g,,COM CH  Start Time (Hour)
35,com_ch_start_minute,byte,1,%8.0g,,COM CH  Start Time (Minute)
36,com_ch_end_hour,byte,1,%8.0g,,COM CH  End Time (Hour)
37,com_ch_end_minute,byte,1,%8.0g,,COM CH  End Time (Minute)
38,com_ci_start_day,byte,1,%8.0g,,COM CI  Start Date (Day)
39,com_ci_start_month,byte,1,%9.0g,COM_CI_START_MONTH,COM CI  Start Date (Month)
40,com_ci_start_hour,byte,1,%8.0g,,COM CI  Start Time (Hour)
41,com_ci_start_minute,byte,1,%8.0g,,COM CI  Start Time (Minute)
42,com_ci_end_hour,byte,1,%8.0g,,COM CI  End Time (Hour)
43,com_ci_end_minute,byte,1,%8.0g,,COM CI  End Time (Minute)
44,com_cj_start_day,byte,1,%8.0g,,COM CJ  Start Date (Day)
45,com_cj_start_month,byte,1,%9.0g,COM_CJ_START_MONTH,COM CJ  Start Date (Month)
46,com_cj_start_hour,byte,1,%8.0g,,COM CJ  Start Time (Hour)
47,com_cj_start_minute,byte,1,%8.0g,,COM CJ  Start Time (Minute)
48,com_cj_end_hour,byte,1,%8.0g,,COM CJ  End Time (Hour)
49,com_cj_end_minute,byte,1,%8.0g,,COM CJ  End Time (Minute)
