position,name,type,isnumeric,format,vallab,varlab
1,occ,byte,1,%9.0g,,Case Section Roster / Line Occurrance Sequence for O/S Merge
2,ea_id,str8,0,%9s,,Unique EA Identifier
3,com_ce01a,byte,1,%42.0g,COM_CE01A,Which activities are the most important sources of employment for individuals in
4,com_ce01b,byte,1,%42.0g,COM_CE01B,Which activities are the most important sources of employment for individuals in
5,com_ce01c,byte,1,%42.0g,COM_CE01C,Which activities are the most important sources of employment for individuals in
6,com_ce02,byte,1,%8.0g,COM_CE02,Do people in this community leave temporarily during certain times of the year t
7,com_ce03,byte,1,%11.0g,COM_CE03,What share of house-holds in the community have members leaving temporarily to l
8,com_ce04,byte,1,%14.0g,COM_CE04,Where do most of them go?
9,com_ce05a,byte,1,%42.0g,COM_CE05A,What type of work do they look for? (MOST)
10,com_ce05b,byte,1,%42.0g,COM_CE05B,What type of work do they look for? (2ND)
11,com_ce06,byte,1,%8.0g,COM_CE06,Do people come to this community during certain times of the year to look for wo
12,com_ce07,byte,1,%14.0g,COM_CE07,Where do most of them come from?
13,com_ce08a,byte,1,%42.0g,COM_CE08A,What type of work do they look for? (MOST)
14,com_ce08b,byte,1,%42.0g,COM_CE08B,What type of work do they look for? (2ND)
15,com_ce08_1,int,1,%12.0g,,What is the daily ganyu wage for an adult male labourer?
16,com_ce08_2,int,1,%12.0g,,What is the daily ganyu wage for an adult female labourer?
17,com_ce09,byte,1,%8.0g,COM_CE09,Is there a MASAF programme in this community which hires residents who are in ne
18,com_ce10,int,1,%12.0g,,What is the wage rate on the MASAF project for an adult male labourer?(MK)
19,com_ce11a,int,1,%8.0g,,What period of time does this wage refer to? (NUMBER)
20,com_ce11b,byte,1,%8.0g,COM_CE11B,What period of time does this wage refer to? (UNIT)
21,com_ce12,byte,1,%11.0g,COM_CE12,What share of adult males in this community work for the MASAF project?
22,com_ce13,int,1,%12.0g,,What is the wage rate on the MASAF project for an adult female labourer?(MK)
23,com_ce14a,byte,1,%8.0g,,What period of time does this wage refer to? (NUMBER)
24,com_ce14b,byte,1,%8.0g,COM_CE14B,What period of time does this wage refer to? (UNIT)
25,com_ce15,byte,1,%11.0g,COM_CE15,What share of adult females in this community work for the MASAF project?
