position,name,type,isnumeric,format,vallab,varlab
1,occ,byte,1,%9.0g,,Case Section Roster / Line Occurrence Sequence for O/S Merge
2,y2_hhid,str8,0,%9s,,Unique Household Identification IHPS
3,qx_type,byte,1,%8.0g,HH_A02,"Sample Group (Panel A, Panel B)"
4,interview_status,byte,1,%24.0g,stat,Household Interview Status
5,fs_d0c,byte,1,%15.0g,FS_D0C,Boat/Engine ID
6,fs_d0d,str15,0,%15s,,Boat/Engine
7,fs_d07,byte,1,%8.0g,FS_D07,Did your household use any [BOAT \ENGINE] during the last HIGH fishing season?
8,fs_d08,byte,1,%8.0g,,How many [BOAT/ ENGINE] were operated during the last HIGH fishing season?
9,fs_d09,byte,1,%8.0g,,How many of [BOAT/  ENGINE] are owned to your household?
10,fs_d10,long,1,%12.0g,,If you or any household member engaged in fishing had to purchase a [BOAT / ENGI
11,fs_d11,byte,1,%8.0g,,How many units of [BOAT/ENGINE] did you or any member of the household purchase
12,fs_d12,int,1,%12.0g,,How much did your household pay to rent [BOAT/ ENGINE] for use in the last HIGH
13,fs_d13,long,1,%12.0g,,"What were the costs of fuel, oil and maintenance (altogether) per week for [BOAT"
