position,name,type,isnumeric,format,vallab,varlab
1,occ,byte,1,%9.0g,,Case Section Roster / Line Occurrence Sequence for O/S Merge
2,y2_hhid,str8,0,%9s,,Unique Household Identification IHPS
3,qx_type,byte,1,%8.0g,HH_A02,"Sample Group (Panel A, Panel B)"
4,interview_status,byte,1,%24.0g,stat,Household Interview Status
5,fs_e0a,byte,1,%8.0g,,FISH CAUGHT ID
6,fs_e01,byte,1,%8.0g,FS_E01,ENUMERATOR: CHECK MODULE C. WERE ANY HOUSEHOLD MEMBERS ENGAGED IN FISHING (Q1 OR
7,fs_e02,byte,1,%15.0g,FS_E02,Please list up to five main species of fish that you or any member of your house
8,fs_e03,byte,1,%8.0g,,How many weeks have you or any member your household landed [FISH SPECIES] durin
9,fs_e04a,int,1,%9.0g,,How much [FISH SPECIES] did you catch on average per week during the last HIGH f
10,fs_e04b,byte,1,%15.0g,FS_E04B,How much [FISH SPECIES] did you catch on average per week during the last HIGH f
11,fs_e04c,byte,1,%15.0g,FS_E04C,How much [FISH SPECIES] did you catch on average per week during the last HIGH f
12,fs_e04d,byte,1,%9.0g,,How much [FISH SPECIES] did you catch on average per week during the last HIGH f
13,fs_e04e,byte,1,%15.0g,FS_E04E,How much [FISH SPECIES] did you catch on average per week during the last HIGH f
14,fs_e04f,byte,1,%15.0g,FS_E04F,How much [FISH SPECIES] did you catch on average per week during the last HIGH f
15,fs_e05a,int,1,%12.0g,,ENUMERATOR: MULTIPLY THE AMOUNT LANDED / WEEK BY THE TOTAL NUMBER OF WEEKS OF FI
16,fs_e05b,byte,1,%12.0g,,ENUMERATOR: MULTIPLY THE AMOUNT LANDED / WEEK BY THE TOTAL NUMBER OF WEEKS OF FI
17,fs_e06a,int,1,%9.0g,,How much [FISH SPECIES] did you catch in TOTAL during the last HIGH fishing seas
18,fs_e06b,byte,1,%15.0g,FS_E06B,How much [FISH SPECIES] did you catch in TOTAL during the last HIGH fishing seas
19,fs_e06c,byte,1,%15.0g,FS_E06C,How much [FISH SPECIES] did you catch in TOTAL during the last HIGH fishing seas
20,fs_e06d,byte,1,%9.0g,,How much [FISH SPECIES] did you catch in TOTAL during the last HIGH fishing seas
21,fs_e06e,byte,1,%15.0g,FS_E06E,How much [FISH SPECIES] did you catch in TOTAL during the last HIGH fishing seas
22,fs_e06f,byte,1,%15.0g,FS_E06F,How much [FISH SPECIES] did you catch in TOTAL during the last HIGH fishing seas
23,fs_e07,byte,1,%29.0g,FS_E07,ENUMERATOR: ARE THE FIGURES IN QUESTIONS 5 AND 6 CONSISTENT?
24,fs_e08a,int,1,%9.0g,,How much [FISH SPECIES] did you sell on average per week during the last HIGH fi
25,fs_e08b,byte,1,%15.0g,FS_E08B,How much [FISH SPECIES] did you sell on average per week during the last HIGH fi
26,fs_e08c,byte,1,%15.0g,FS_E08C,How much [FISH SPECIES] did you sell on average per week during the last HIGH fi
27,fs_e08d,long,1,%12.0g,,How much [FISH SPECIES] did you sell on average per week during the last HIGH fi
28,fs_e08e,byte,1,%9.0g,,How much [FISH SPECIES] did you sell on average per week during the last HIGH fi
29,fs_e08f,byte,1,%15.0g,FS_E08F,How much [FISH SPECIES] did you sell on average per week during the last HIGH fi
30,fs_e08g,byte,1,%15.0g,FS_E08G,How much [FISH SPECIES] did you sell on average per week during the last HIGH fi
31,fs_e08h,long,1,%12.0g,,How much [FISH SPECIES] did you sell on average per week during the last HIGH fi
32,fs_e09,byte,1,%8.0g,,For how many weeks did you sell [FISH SPECIES] during the last HIGH fishing seas
33,fs_e10,byte,1,%8.0g,FS_E10,ENUMERATOR: IS THE NUMBER OF WEEKS IN QUESTION 9 DIFFERENT FROM THE NUMBER OF WE
34,fs_e11a,byte,1,%9.0g,,How much [FISH SPECIES] caught by you during the last HIGH fishing season were k
35,fs_e11b,byte,1,%15.0g,FS_E11B,How much [FISH SPECIES] caught by you during the last HIGH fishing season were k
36,fs_e11c,byte,1,%15.0g,FS_E11C,How much [FISH SPECIES] caught by you during the last HIGH fishing season were k
37,fs_e11d,byte,1,%9.0g,,How much [FISH SPECIES] caught by you during the last HIGH fishing season were k
38,fs_e11e,byte,1,%15.0g,FS_E11E,How much [FISH SPECIES] caught by you during the last HIGH fishing season were k
39,fs_e11f,byte,1,%15.0g,FS_E11F,How much [FISH SPECIES] caught by you during the last HIGH fishing season were k
40,fs_e12,byte,1,%11.0g,FS_E12,"Overall, during the last HIGH fishing season, how much [FISH SPECIES] do you kee"
41,fs_e13,byte,1,%29.0g,FS_E13,"ENUMERATOR: FOR EACH SPECIES, THE AMOUNT LANDED / WEEK SHOULD BE APPROXIMATELY E"
