position,name,type,isnumeric,format,vallab,varlab
1,HHID,int,1,%10.0g,,Assigned Unique Serial Number for IHS3 Baseline Household
2,case_id,str12,0,%12s,,Unique HH Identifier
3,visit,byte,1,%9.0g,,Panel Visit
4,ea_id,str8,0,%9s,,Unique EA Identifier
5,fs_i01,byte,1,%8.0g,FS_I01,"HH members engaged in fishing, last LOW season, according to quesion 1 or 2?"
6,fs_i02,byte,1,%15.0g,FS_I02,Main species landed during the last LOW fishing season.
7,fs_i02_os,str15,0,%15s,,Main species landed during the last LOW fishing season. (Other Specify)
8,fs_i03,byte,1,%8.0g,,Weeks landed [FISH SPECIES] during the last LOW season?
9,fs_i04a,float,1,%9.0g,,How much caught per week during the last LOW fishing season? (Quantity #1)
10,fs_i04b,byte,1,%15.0g,FS_I04B,How much caught per week during the last LOW fishing season? (Packaging #1)
11,fs_i04b_os,str17,0,%17s,,How much caught per week during the last LOW fishing season? (Packaging #1)
12,fs_i04c,byte,1,%15.0g,FS_I04C,How much caught per week during the last LOW fishing season? (Processing #1)
13,fs_i04c_os,str10,0,%10s,,How much caught per week during the last LOW fishing season? (Processing #1)
14,fs_i04d,byte,1,%9.0g,,How much caught per week during the last LOW fishing season? (Quantity #2)
15,fs_i04e,byte,1,%15.0g,FS_I04E,How much caught per week during the last LOW fishing season? (Packaging #2)
16,fs_i04f,byte,1,%15.0g,FS_I04F,How much caught per week during the last LOW fishing season? (Processing #2)
17,fs_i05a,int,1,%12.0g,,Amount landed by the total number of weeks of fishing. (Processing #1)
18,fs_i05b,byte,1,%12.0g,,Amount landed by the total number of weeks of fishing. (Processing #2)
19,fs_i06a,int,1,%9.0g,,Total [FISH SPECIES] caught during the last LOW fishing season. (Quantity #1)
20,fs_i06b,byte,1,%15.0g,FS_I06B,Total [FISH SPECIES] caught during the last LOW fishing season. (Packaging #1)
21,fs_i06b_os,str19,0,%19s,,Total [FISH SPECIES] caught during the last LOW fishing season. (Packaging #1)
22,fs_i06c,byte,1,%15.0g,FS_I06C,Total [FISH SPECIES] caught during the last LOW fishing season. (Processing #1)
23,fs_i06c_os,str10,0,%10s,,Total [FISH SPECIES] caught during the last LOW fishing season. (Processing #1)
24,fs_i06d,byte,1,%9.0g,,Total [FISH SPECIES] caught during the last LOW fishing season. (Quantity #2)
25,fs_i06e,byte,1,%15.0g,FS_I06E,Total [FISH SPECIES] caught during the last LOW fishing season. (Packaging #2)
26,fs_i06f,byte,1,%15.0g,FS_I06F,Total [FISH SPECIES] caught during the last LOW fishing season. (Processing #2)
27,fs_i07,byte,1,%29.0g,FS_I07,ENUMERATOR: ARE THE FIGURES IN QUESTIONS 5 AND 6 CONSISTENT?
28,fs_i07_os,str48,0,%48s,,ENUMERATOR: ARE THE FIGURES IN QUESTIONS 5 AND 6 CONSISTENT? WHY NOT?
29,fs_i08a,int,1,%9.0g,,How much sold per week during the last LOW fishing season? (Quantity #1)
30,fs_i08b,byte,1,%15.0g,FS_I08B,How much sold per week during the last LOW fishing season? (Packaging #1)
31,fs_i08b_os,str18,0,%18s,,How much sold per week during the last LOW fishing season? (Packaging #1)
32,fs_i08c,byte,1,%15.0g,FS_I08C,How much sold per week during the last LOW fishing season? (Processing #1)
33,fs_i08c_os,str10,0,%10s,,How much sold per week during the last LOW fishing season? (Processing #1)
34,fs_i08d,int,1,%12.0g,,How much sold per week during the last LOW fishing season? (Price MK #1)
35,fs_i08e,byte,1,%9.0g,,How much sold per week during the last LOW fishing season? (Quantity #2)
36,fs_i08f,byte,1,%15.0g,FS_I08F,How much sold per week during the last LOW fishing season? (Packaging #2)
37,fs_i08f_os,str10,0,%10s,,How much sold per week during the last LOW fishing season? (Packaging #2)
38,fs_i08g,byte,1,%15.0g,FS_I08G,How much sold per week during the last LOW fishing season? (Processing #2)
39,fs_i08h,int,1,%12.0g,,How much sold per week during the last LOW fishing season? (Price MK #2)
40,fs_i09,byte,1,%8.0g,,How many weeks did you sell [FISH SPECIES] during last LOW fishing season?
41,fs_i10,byte,1,%8.0g,FS_I10,ENUMERATOR: NUMBER OF WEEKS IN 9 DIFFERENT FROM THE NUMBER OF WEEKS IN 3?
42,fs_i10_os,str26,0,%26s,,ENUMERATOR: NUMBER OF WEEKS IN 9 DIFFERENT FROM THE NUMBER OF WEEKS IN 3? WHY?
43,fs_i11a,float,1,%9.0g,,How much [FISH SPECIES] kept per week for household consumption? (Quantity #1)
44,fs_i11b,byte,1,%15.0g,FS_I11B,How much [FISH SPECIES] kept per week for household consumption? (Packaging #1)
45,fs_i11b_os,str19,0,%19s,,How much [FISH SPECIES] kept per week for household consumption? (Packaging #1)
46,fs_i11c,byte,1,%15.0g,FS_I11C,How much [FISH SPECIES] kept per week for household consumption? (Processing #1)
47,fs_i11c_os,str13,0,%13s,,How much [FISH SPECIES] kept per week for household consumption? (Processing #1)
48,fs_i11d,float,1,%9.0g,,How much [FISH SPECIES] kept per week for household consumption? (Quantity #2)
49,fs_i11e,byte,1,%15.0g,FS_I11E,How much [FISH SPECIES] kept per week for household consumption? (Packaging #2)
50,fs_i11e_os,str14,0,%14s,,How much [FISH SPECIES] kept per week for household consumption? (Packaging #2)
51,fs_i11f,byte,1,%15.0g,FS_I11F,How much [FISH SPECIES] kept per week for household consumption? (Processing #2)
52,fs_i11f_os,str14,0,%14s,,How much [FISH SPECIES] kept per week for household consumption? (Processing #2)
53,fs_i12,byte,1,%11.0g,FS_I12,Total [FISH SPECIES] catch kept for your own family consumption?
54,fs_i13,byte,1,%29.0g,FS_I13,ENUMERATOR: AMOUNT LANDED/WEEK = THE AMOUNT SOLD PER WEEK + SELF-CONSUMED PER WE
55,fs_i13_os,str47,0,%47s,,ENUMERATOR: AMOUNT LANDED/WEEK = THE AMOUNT SOLD PER WEEK + SELF-CONSUMED PER WE
