position,name,type,isnumeric,format,vallab,varlab
1,occ,byte,1,%9.0g,,Case Section Roster / Line Occurrence Sequence for O/S Merge
2,y2_hhid,str8,0,%9s,,Unique Household Identification IHPS
3,PID,str9,0,%9s,,Assigned Unique Serial Number for IHS3 Baseline and IHPS New Members
4,qx_type,byte,1,%8.0g,HH_A02,"Sample Group (Panel A, Panel B)"
5,interview_status,byte,1,%24.0g,stat,Household Interview Status
6,hh_c01,byte,1,%8.0g,,ID CODE
7,hh_c02,str1,0,%9s,,PUT AN 'X' FOR ALL INDIVIDUALS WHO ARE AGED BELOW 5 YEARS.
8,hh_c03,byte,1,%17.0g,HH_C03,IS THIS INFORMATION SELF-REPORTED OR IS IT BEING PROVIDED BY ANOTHER HOUSEHOLD M
9,hh_c04,byte,1,%8.0g,,WHO IS REPORTING THE INFOMRATION FOR THE INDIVIDUAL
10,hh_c05a,byte,1,%8.0g,HH_C05A,Are you able to read and write in Chichewa?
11,hh_c05b,byte,1,%8.0g,HH_C05B,Are you able to read and write in English?
12,hh_c06,byte,1,%8.0g,HH_C06,Have you ever attended school?
13,hh_c08,byte,1,%23.0g,HH_C08,What class are you in or what was the highest class level you ever attended?
14,hh_c09,byte,1,%22.0g,HH_C09,What is the highest educational qualification you have acquired?
15,hh_c11,byte,1,%8.0g,HH_C11,Did you attend school in the last completed academic year?
16,hh_c12,byte,1,%23.0g,HH_C12,What class were you in during the last completed academic year?
17,hh_c13,byte,1,%8.0g,HH_C13,"Are you currently attending school or, if school is not now in session, did you"
18,hh_c15,int,1,%8.0g,,In which calendar year did you last attend school?
19,hh_c16,byte,1,%25.0g,HH_C16,What type of school do you attend?
20,hh_c17,byte,1,%11.0g,HH_C17,Are you a day scholar or a boarder at the school?
21,hh_c18,byte,1,%15.0g,HH_C18,How do you get to school each day?
22,hh_c19a,float,1,%9.0g,,How long does it usually take you to get to school by this means of transport (a
23,hh_c19b,byte,1,%8.0g,HH_C19B,How long does it usually take you to get to school by this means of transport (u
24,hh_c20,byte,1,%8.0g,HH_C20,"At any time in the past 12 months, did you ever temporarily withdraw from school"
25,hh_c22a,long,1,%10.0g,,"A. Expenditures on Tuition, including any extra tuition fees"
26,hh_c22b,long,1,%12.0g,,B. Expenditures on after school programs & tutoring
27,hh_c22c,long,1,%12.0g,,C. Expenditures on School books and other materials
28,hh_c22d,long,1,%12.0g,,D. Expenditures on School uniform clothing
29,hh_c22e,long,1,%12.0g,,E. Expenditures on Boarding fees
30,hh_c22f,long,1,%12.0g,,F. Expenditures on Contribution for school building or maintainance
31,hh_c22g,long,1,%12.0g,,G. Expenditures on Transport
32,hh_c22h,long,1,%12.0g,,H. Expenditures on Parent association & other school related fees
33,hh_c22i,long,1,%12.0g,,I.  Expenditures on Other
34,hh_c22j,long,1,%10.0g,,J. TOTAL Expenditures
