position,name,type,isnumeric,format,vallab,varlab
1,HHID,int,1,%10.0g,,Assigned Unique Serial Number for IHS3 Baseline Household
2,case_id,str12,0,%12s,,IHS3 Baseline case_id as in IHS3 Public Data
3,qx_type,str7,0,%9s,,"Sample Group (Panel A, Panel B)"
4,visit,byte,1,%9.0g,,Panel Visit
5,ea_id,str8,0,%9s,,Unique EA Identifier
6,hh_g01,byte,1,%8.0g,HH_G01,Consumed item?
7,hh_g02,int,1,%48.0g,HH_G02,Item Code
8,hh_g02_os,str34,0,%34s,,Item (Other Specify)
9,hh_g03a,float,1,%9.0g,,How much in total did your household consume in the past week (Quantity)?
10,hh_g03b,str3,0,%9s,,How much in total did your household consume in the past week (Unit)?
11,hh_g03b_os,str34,0,%34s,,How much in total did your household consume in the past week (Unit)? (Other Spe
12,hh_g04a,float,1,%9.0g,,How much came from purchases (Quantity)?
13,hh_g04b,str3,0,%9s,,How much came from purchases (Unit)?
14,hh_g04b_os,str28,0,%28s,,How much came from purchases (Unit)? (Other Specify)
15,hh_g05,long,1,%12.0g,,How much did you spend?
16,hh_g06a,float,1,%9.0g,,How much came from own-production (Quantity)?
17,hh_g06b,str3,0,%9s,,How much came from own-production (Unit)?
18,hh_g06b_os,str35,0,%35s,,How much came from own-production (Unit)? (Other Specify)
19,hh_g07a,float,1,%9.0g,,How much came from gifts and other sources (Quantity)?
20,hh_g07b,str3,0,%9s,,How much came from gifts and other sources (Unit)?
21,hh_g07b_os,str19,0,%19s,,How much came from gifts and other sources (Unit)? (Other Specify)
