position,name,type,isnumeric,format,vallab,varlab
1,HHID,int,1,%10.0g,,Assigned Unique Serial Number for IHS3 Baseline Household
2,case_id,str12,0,%12s,,IHS3 Baseline case_id as in IHS3 Public Data
3,qx_type,str7,0,%9s,,"Sample Group (Panel A, Panel B)"
4,visit,byte,1,%9.0g,,Panel Visit
5,ea_id,str8,0,%9s,,Unique EA Identifier
6,hh_l01,byte,1,%8.0g,HH_L01,Does your household own a [ITEM]
7,hh_l02,int,1,%33.0g,HH_L02,Durable Good Code
8,hh_l03,int,1,%8.0g,,How many [ITEM]s do you own?
9,hh_l04,byte,1,%8.0g,,What is the age of this [ITEM]
10,hh_l05,long,1,%12.0g,,"If you wanted to sell one of this [ITEM] today, how much would you receive?"
11,hh_l06,byte,1,%8.0g,HH_L06,Did you purchase any [ITEM] in the last 12 months?
12,hh_l07,long,1,%12.0g,,How much in total did you pay for [ITEM] in the last 12 months?
