position,name,type,isnumeric,format,vallab,varlab
1,HHID,int,1,%10.0g,,Assigned Unique Serial Number for IHS3 Baseline Household
2,case_id,str12,0,%12s,,IHS3 Baseline case_id as in IHS3 Public Data
3,qx_type,str7,0,%9s,,"Sample Group (Panel A, Panel B)"
4,visit,byte,1,%9.0g,,Panel Visit
5,ea_id,str8,0,%9s,,Unique EA Identifier
6,hh_q0a,int,1,%32.0g,HH_Q0A,Source Code
7,hh_q0b,str32,0,%32s,,Source
8,hh_q01,byte,1,%8.0g,HH_Q01,"During the last 12 months, did you or any members of your household give any [IT"
9,hh_q02a,long,1,%12.0g,,How much of the total [ITEM] given away was destined to rural locations?
10,hh_q02b,long,1,%12.0g,,How much of the total [ITEM] given away was destined to urban locations?
11,hh_q02c,long,1,%12.0g,,How much of the total [ITEM] given away was destined to international locations?
12,hh_q03a,byte,1,%8.0g,,1st in the household decided on the allocation of [ITEM] given away to individua
13,hh_q03b,byte,1,%8.0g,,2nd in the household decided on the allocation of [ITEM] given away to individua
