y2_hhid,ag_c00,dist_hh,slope,elevation,twi
0001-001,R01,.1,3,1270,13
0001-001,R02,.1,4,1270,12
0001-001,R03,0,4,1270,12
0002-001,R01,.1,3,1220,13
0003-001,R01,0,5,1260,12
0004-001,R01,0,3,1220,13
0004-001,R02,0,3,1220,13
0005-001,R01,0,3,1280,12
0005-001,R02,.1,4,1270,13
0006-001,R01,.2,6,1230,12
0006-003,R01,0,7,1240,12
0007-001,R01,0,5,1270,12
0007-001,R02,0,5,1270,12
0007-001,R03,0,5,1270,13
0007-001,R04,0,5,1270,12
0008-001,R01,.2,2,1190,16
0008-001,R02,.1,5,1200,13
0008-001,R03,.2,1,1190,18
0008-003,R01,68.90000000000001,2,490,15
0009-001,R01,0,4,1280,13
0009-001,R02,0,4,1280,13
0010-001,R01,0,3,1220,13
0011-001,R01,0,4,1270,13
0012-001,R01,2.9,1,1230,13
0012-001,R02,2.7,5,1220,13
0012-001,R03,2.7,5,1210,13
0012-003,R01,.6,5,1330,12
0012-010,R01,7.4,2,1290,15
0012-010,R02,0,2,1250,16
0013-001,R01,23.4,4,1270,14
0013-001,R02,23.5,4,1260,12
0014-001,R01,.4,3,1210,12
0015-001,R01,.1,6,1270,13
0015-001,R02,0,5,1270,13
0016-001,R01,.2,5,1210,12
0016-001,R02,.2,4,1210,12
0017-001,R01,.2,2,1280,13
0017-001,R02,.2,3,1280,13
0018-001,R01,.1,5,1210,13
0019-001,R01,0,3,1290,14
0019-001,R02,.7,6,1270,13
0020-001,R01,0,3,1220,13
0020-001,R02,0,3,1220,13
0021-001,R01,0,3,1280,13
0021-001,R02,0,3,1280,13
0021-001,R03,1.1,6,1280,12
0023-001,R01,0,1,1280,13
0023-001,R02,0,1,1280,13
0023-001,R03,0,2,1270,13
0024-001,R01,0,1,1260,16
0025-001,R01,0,4,1280,12
0026-001,R01,.5,3,1200,13
0026-001,R02,.5,3,1200,13
0026-001,R03,.5,3,1200,13
0027-001,R01,0,1,1280,14
0027-001,R02,0,1,1280,14
0028-001,R01,.1,4,1200,14
0028-001,R02,.1,5,1210,13
0029-001,R01,0,2,1270,14
0030-001,R01,.1,1,1220,13
0030-001,R02,.1,3,1220,13
0031-001,R01,0,4,1270,14
0031-001,R02,0,4,1270,14
0032-001,R01,.9,6,1220,13
0032-001,R02,.9,7,1220,12
0033-001,R01,0,4,1340,15
0033-001,R02,0,5,1340,15
0033-001,R03,0,4,1340,14
0034-001,R01,1.1,3,1260,14
0035-001,R01,.1,4,1280,13
0035-001,R02,.1,4,1280,12
0036-001,R01,.1,4,1390,13
0037-001,R01,.1,4,1310,14
0037-001,R02,.1,4,1310,14
0037-001,R03,.1,4,1310,14
0038-001,R01,.7,3,1380,13
0038-001,R02,.8,4,1380,13
0040-001,R01,.1,8,1440,13
0040-001,R02,.1,9,1440,13
0041-001,R01,.3,2,1260,14
0041-001,R02,.4,1,1260,14
0041-001,R03,.4,2,1260,14
0041-001,R04,.4,1,1260,20
0041-001,R05,.3,3,1260,18
0042-001,R01,0,3,1420,12
0042-001,R02,0,3,1420,12
0043-001,R01,.1,3,1330,15
0043-001,R02,0,3,1330,15
0043-001,R03,0,3,1330,15
0044-001,R01,.3,4,1410,12
0044-001,R02,.3,5,1410,12
0045-001,R01,.1,3,1290,14
0045-001,R02,.1,3,1290,14
0046-001,R01,.7,6,1390,14
0046-001,R02,.7,5,1390,14
0046-001,R03,.6,5,1390,14
0047-001,R01,0,1,1320,14
0047-001,R02,0,1,1320,14
0048-001,R01,.1,3,1390,13
0048-001,R02,.1,3,1390,13
0048-001,R03,.1,3,1390,13
0049-001,R01,0,2,1330,13
0049-001,R02,.1,2,1320,16
0049-001,R03,0,2,1320,15
0050-001,R01,0,5,1400,15
0050-001,R02,.1,4,1400,13
0050-001,R03,1.8,5,1410,13
0051-001,R01,0,2,1280,13
0051-001,R02,0,2,1280,13
0051-001,R03,0,2,1280,13
0052-001,R01,.9,6,1390,14
0052-001,R02,.9,5,1390,14
0052-001,R03,.9,5,1390,14
0053-002,R01,.1,3,1300,15
0053-002,R02,.1,1,1310,13
0054-001,R01,.1,2,1380,13
0054-001,R02,.1,2,1380,13
0054-001,R03,0,3,1390,14
0055-001,R01,.1,0,1290,13
0055-001,R02,0,1,1290,13
0055-001,R03,0,1,1290,14
0056-001,R01,0,4,1390,14
0056-001,R02,1,4,1410,16
0056-001,R03,0,4,1400,13
0057-001,R01,0,2,1280,13
0057-001,R02,.1,2,1280,13
0057-001,R03,.1,2,1280,13
0057-001,R04,.1,2,1280,13
0057-001,R05,0,2,1280,13
0058-001,R01,0,5,1390,14
0058-001,R02,0,5,1390,14
0058-001,R03,0,6,1390,14
0059-001,R01,0,1,1310,14
0060-001,R01,0,2,1360,16
0061-001,R01,.2,3,1260,14
0061-001,R02,0,2,1270,15
0061-001,R03,.2,3,1260,13
0061-001,R04,0,2,1270,14
0062-002,R01,.1,9,1430,15
0063-001,R01,0,1,1310,13
0063-001,R02,0,1,1310,13
0064-001,R01,0,3,1390,13
0064-001,R02,.1,4,1390,13
0064-001,R03,.1,4,1390,13
0065-001,R01,.4,10,1250,14
0066-001,R01,.1,6,1530,12
0067-001,R01,0,20,1210,11
0067-001,R02,0,18,1220,12
0067-001,R03,0,19,1210,12
0068-001,R01,0,12,1570,12
0070-001,R01,.2,5,1530,12
0070-001,R02,.2,5,1530,12
0071-001,R01,.1,17,1150,13
0071-001,R02,.1,24,1170,14
0071-001,R03,.1,20,1150,15
0072-001,R01,0,4,1530,12
0074-001,R01,.1,16,1590,14
0074-001,R02,.1,15,1590,16
0074-001,R03,0,14,1590,16
0076-001,R01,0,5,1570,13
0076-001,R02,.1,6,1560,12
0077-001,R01,0,19,1150,11
0077-001,R02,0,26,1140,11
0078-001,R01,.1,8,1520,15
0079-001,R01,.5,15,1270,11
0079-001,R02,.5,16,1270,11
0080-001,R01,.2,7,1550,12
0080-001,R02,.1,6,1550,12
0081-001,R01,.2,16,1300,15
0082-001,R01,1.8,10,1610,13
0082-001,R02,1.6,7,1610,15
0083-001,R01,,,,
0084-001,R01,0,5,1580,13
0084-001,R02,0,4,1580,12
0086-001,R01,.3,5,1490,14
0086-001,R02,.3,4,1490,16
0087-001,R01,.5,17,1240,11
0087-001,R02,.1,11,1250,11
0087-001,R03,.2,18,1240,14
0088-001,R01,31.8,5,1280,13
0089-001,R01,0,12,1260,12
0089-001,R02,0,14,1260,13
0090-001,R01,.4,7,1530,13
0090-001,R02,.4,6,1530,14
0091-001,R01,.3,13,1150,11
0091-001,R02,.3,15,1160,12
0092-001,R01,0,6,1590,13
0092-001,R02,0,6,1590,13
0093-001,R01,0,17,1200,12
0093-001,R02,0,17,1200,12
0094-001,R01,.1,15,1580,12
0095-001,R01,2.3,10,1260,12
0096-001,R01,.2,8,1520,15
0096-001,R02,.3,9,1520,14
0097-001,R01,2.4,3,1350,13
0097-001,R02,0,7,1340,13
0098-001,R01,0,1,490,15
0098-001,R02,0,1,490,16
0099-001,R01,.4,3,1330,17
0100-001,R01,0,1,500,16
0100-001,R02,0,1,500,16
0100-003,R01,0,1,490,15
0100-003,R02,0,1,490,15
0101-001,R01,.1,6,1330,14
0101-001,R02,0,6,1320,13
0102-001,R01,.1,1,500,16
0102-001,R02,.2,1,500,14
0103-001,R01,0,9,1350,13
0103-003,R01,0,6,1280,13
0103-003,R02,0,6,1280,13
0104-001,R01,0,2,490,17
0104-001,R02,0,2,490,17
0105-001,R01,0,6,1340,12
0105-001,R02,.1,6,1340,12
0106-001,R01,1.4,2,500,14
0106-001,R02,.7,1,490,19
0107-001,R01,0,9,1330,13
0108-001,R01,1,2,490,15
0108-001,R02,1,2,490,16
0108-001,R03,1,2,490,16
0108-001,R04,1,1,490,16
0109-001,R01,.1,24,1350,11
0110-001,R01,0,1,490,22
0110-001,R02,0,1,490,18
0110-006,R01,.4,17,1270,11
0110-006,R02,.3,15,1280,12
0110-007,R01,0,1,490,15
0111-001,R01,.1,8,1310,14
0111-001,R02,.1,8,1310,13
0112-001,R01,0,1,490,14
0112-001,R02,.1,1,490,14
0112-001,R03,.1,2,490,14
0113-001,R01,.3,7,1320,12
0115-001,R01,0,23,1370,12
0115-001,R02,0,23,1370,12
0116-001,R01,0,1,490,15
0116-001,R02,.1,1,490,15
0117-002,R01,0,6,1320,12
0117-002,R02,0,6,1320,12
0117-002,R03,0,7,1310,12
0117-002,R04,.1,7,1310,12
0117-002,R05,.1,7,1310,12
0118-001,R01,.7,2,490,14
0118-001,R02,.5,1,490,16
0118-001,R03,.7,1,490,17
0119-001,R01,0,3,1340,12
0119-001,R02,.1,2,1350,14
0119-002,R01,.2,7,1130,12
0119-002,R02,.6,10,1150,12
0120-001,R01,0,2,490,16
0121-001,R01,.1,14,1380,12
0121-001,R02,.1,12,1380,12
0123-001,R01,1.4,7,1340,13
0123-001,R02,1.3,5,1340,12
0124-001,R01,.6,1,490,17
0124-001,R02,.1,1,490,15
0125-001,R01,.1,7,1340,13
0125-001,R02,.2,6,1340,12
0126-001,R01,.9,2,500,16
0126-001,R02,.3,1,490,22
0127-001,R01,.1,14,1330,12
0127-001,R02,.2,8,1320,14
0128-001,R01,0,1,490,16
0128-003,R01,0,1,490,15
0128-003,R02,0,1,490,15
0129-001,R01,0,2,510,16
0129-002,R01,0,1,490,15
0129-002,R02,.1,1,490,16
0130-001,R01,.3,4,1130,13
0130-001,R02,0,3,1140,13
0131-001,R01,3.8,1,490,16
0131-001,R02,.1,1,490,14
0131-001,R03,.1,2,490,14
0132-001,R01,0,15,1060,12
0133-002,R01,.1,5,520,11
0133-002,R02,1.1,3,500,14
0133-002,R03,1.1,3,500,15
0133-002,R04,1,3,500,14
0134-001,R01,22.3,8,1020,11
0134-001,R02,22.3,8,1020,11
0135-001,R01,2.4,1,490,18
0135-001,R02,0,2,490,14
0136-001,R01,0,9,1090,13
0136-001,R02,0,8,1090,15
0137-001,R01,.1,2,490,13
0137-001,R02,0,2,490,14
0137-001,R03,.1,2,490,13
0138-001,R01,0,11,1160,13
0138-001,R02,0,11,1160,13
0139-001,R01,0,1,490,15
0139-001,R02,.4,2,490,14
0139-001,R03,1,1,490,17
0139-001,R04,1.1,0,490,15
0140-001,R01,0,8,1070,13
0140-001,R02,.1,9,1070,13
0141-001,R01,31.5,2,490,16
0142-001,R01,0,16,1110,12
0142-001,R02,.3,11,1090,11
0142-003,R01,.1,12,1090,11
0142-003,R02,.1,11,1090,11
0143-002,R01,.1,2,500,13
0143-002,R02,1.4,1,490,30
0144-001,R01,2.6,7,1150,12
0144-001,R02,2.6,7,1160,13
0145-001,R01,.5,1,490,14
0145-001,R02,.4,1,490,16
0145-001,R03,.5,1,490,15
0146-001,R01,0,8,1030,12
0146-001,R02,.1,6,1030,13
0147-001,R01,1.2,1,490,36
0147-001,R02,1.3,1,490,31
0148-001,R01,.1,9,1070,12
0148-001,R02,0,8,1070,12
0149-001,R01,.1,3,490,16
0149-001,R02,0,2,490,15
0149-001,R03,.1,2,500,16
0152-001,R01,.2,7,1090,15
0153-001,R01,1.4,2,490,15
0153-001,R02,.4,1,490,15
0153-001,R03,1.1,1,490,18
0154-001,R01,0,5,1150,12
0154-001,R02,.1,3,1150,13
0154-001,R03,0,5,1150,13
0155-001,R01,.4,1,490,27
0155-001,R02,0,2,490,26
0155-001,R03,.1,1,490,17
0156-001,R01,.1,6,1120,14
0156-001,R02,.2,7,1110,15
0157-001,R01,0,3,490,13
0157-001,R02,.2,1,490,15
0158-001,R01,0,1,1080,14
0158-001,R02,1.3,1,1080,16
0158-001,R03,.3,1,1080,14
0158-001,R04,.3,1,1080,14
0158-001,R05,.3,1,1080,14
0159-001,R01,0,1,490,16
0159-001,R02,0,1,490,16
0159-001,R03,0,1,490,16
0160-001,R01,0,7,1130,12
0161-001,R01,0,3,590,13
0161-001,R02,0,1,590,13
0162-001,R01,0,1,490,14
0163-001,R01,0,10,530,13
0163-001,R02,.2,3,540,12
0163-001,R03,.2,4,540,12
0164-001,R01,0,7,510,12
0164-001,R02,.6,1,500,15
0164-001,R03,.6,1,500,15
0165-001,R01,0,3,580,13
0166-001,R01,1,1,490,15
0166-001,R02,.7,5,510,15
0167-001,R01,0,7,540,11
0167-001,R02,0,8,540,12
0167-001,R03,1.2,2,570,13
0168-001,R01,0,2,490,15
0168-001,R02,0,2,500,14
0168-002,R01,0,1,500,19
0168-006,R01,.6,1,500,13
0168-006,R02,.6,1,500,13
0169-001,R01,.4,6,530,13
0170-001,R01,.8,1,490,13
0170-001,R02,1.4,3,510,16
0171-001,R01,.1,5,550,13
0171-001,R02,0,5,560,13
0171-001,R03,0,5,560,14
0171-003,R01,,,,
0172-001,R01,.1,4,510,13
0174-002,R01,0,1,490,14
0174-002,R02,0,1,490,14
0174-002,R03,0,1,490,14
0176-001,R01,0,3,520,14
0177-001,R01,1.6,2,570,14
0177-001,R02,1,5,510,17
0177-007,R01,,,,
0177-007,R02,0,6,1400,12
0177-007,R03,.2,9,1390,12
0177-007,R04,.1,3,1400,13
0178-001,R01,.1,3,510,14
0178-001,R02,.2,4,500,17
0178-001,R03,.1,2,510,14
0178-002,R01,3.1,1,490,14
0178-002,R02,3.1,1,490,13
0178-003,R01,2.1,4,1280,12
0179-001,R01,0,2,570,14
0180-001,R01,0,2,500,12
0181-001,R01,0,1,570,14
0182-001,R01,0,1,490,18
0184-001,R01,0,2,490,14
0184-001,R02,0,1,490,14
0185-001,R01,0,2,570,15
0186-001,R01,1.2,2,490,14
0186-001,R02,.9,3,500,14
0186-001,R03,.5,4,500,17
0188-001,R01,0,1,490,19
0188-001,R02,0,1,480,18
0188-001,R03,0,1,490,18
0189-001,R01,0,5,580,14
0189-002,R01,0,9,530,14
0189-002,R02,0,9,520,14
0190-001,R01,0,3,510,16
0190-001,R02,0,4,510,16
0191-001,R01,0,1,570,13
0192-001,R01,.1,2,520,13
0192-001,R02,0,2,520,13
0192-003,R01,.1,3,510,13
0192-003,R02,0,4,510,13
0193-002,R01,2,1,490,14
0193-002,R02,2.5,1,480,15
0193-002,R03,2,1,490,15
0194-001,R01,1,3,570,17
0194-001,R02,.9,2,570,18
0195-001,R01,.1,1,490,16
0196-001,R01,0,4,590,13
0196-001,R02,.8,2,570,16
0197-001,R01,.3,1,490,18
0198-001,R01,.4,2,490,16
0198-001,R02,.4,2,490,16
0202-001,R01,.1,3,580,12
0202-001,R02,.6,2,570,16
0203-001,R01,1.4,2,480,16
0203-001,R02,1.4,2,480,17
0203-003,R01,.5,1,1160,13
0203-003,R02,.5,2,1160,14
0203-003,R03,.5,2,1160,14
0205-001,R01,3,1,490,15
0205-001,R02,3,1,490,16
0207-001,R01,0,2,490,18
0208-001,R01,0,4,580,12
0208-001,R02,.6,3,570,14
0209-001,R01,0,2,490,14
0210-001,R01,0,3,550,13
0210-001,R02,.1,3,550,13
0212-001,R01,.9,2,570,14
0212-001,R02,.9,2,570,14
0212-001,R03,.9,3,570,14
0214-001,R01,.1,3,580,14
0214-001,R02,.7,1,570,15
0216-001,R01,.1,3,580,13
0216-001,R02,0,3,580,13
0217-001,R01,0,1,490,14
0217-001,R02,1.5,1,490,14
0218-001,R01,.5,2,570,13
0219-001,R01,.8,1,480,18
0220-001,R01,.1,2,560,13
0220-001,R02,2.1,1,570,15
0221-001,R01,0,1,490,14
0221-001,R02,1.2,1,490,15
0221-001,R03,1.2,1,490,14
0221-005,R01,.5,3,490,14
0222-001,R01,0,4,560,14
0224-001,R01,.1,2,570,14
0224-003,R01,.1,1,500,14
0224-009,R01,.2,3,500,13
0224-009,R02,.6,5,510,13
0224-010,R01,2.4,1,490,18
0226-002,R01,0,2,500,14
0226-002,R02,0,2,500,15
0228-001,R01,0,2,490,14
0229-001,R01,7.4,26,740,12
