case_id,hhid,ag_e27a,ag_e27b,ag_e27c,ag_e27d,ag_e27e,ag_e27f,ag_e27g,ag_e27h,ag_e28,ag_e29a,ag_e29b,ag_e29c,ag_e29d,ag_e29e,ag_e29f,ag_e29g,ag_e29h,ag_e29i,ag_e29j,ag_e29k,ag_e29l
101011000030,c58e3284fee84a598b22086985e8212a,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
101011000043,df2f79020a7a4b1c889edca2005183b8,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no
101011000053,755889c7f7294da39fb08cde3e0e70ee,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no
101011000063,6957cc92b3ee44539eb128680bd132a2,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no
101011000073,a379ff91a7584a0481a7a9b587de9098,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no
101011000087,ba134ca37f1e4262a6a65fe7bd21d6e8,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
101011000117,7ff5cfee1e63465a946525e5a57fb0e8,no,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no
101011000130,05ac171b7d6c4910aecace2f6bddb3d1,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no
101011000140,9b1e9da03b694c489d70c839801f1f60,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
101011000150,755f518b21c44547a67a83a31c0172c2,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no
101011000180,4746f0aa0b804d1387212f49a772bb4f,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
101011000190,f7eb4aa6af2f40f9b1b7d81abcacdce0,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no
101011003026,882b198fc9a04f429bb18bd01e9e6515,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
101011003077,94c058d21de14526aa9af6c8af68f199,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes
101011010003,ef37079e35714e28acce62ac74da4e5e,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
101011010011,4b960c91581241ce99030c91a1eb0b16,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no
101011010019,6cbfe46ffb234d5e907432b5acbff30a,no,no,yes,yes,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no
101011010027,1c312fef4d684a7c85f3ae1be5a7220a,no,no,yes,yes,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,yes,no,no
101011010036,a60210b86f654bccb7ae6371d7c00d18,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
101011010044,76b4f23afd144083b3d600ec4a339744,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
101011010052,416ebdcaf6064e5084cc70055feeeb0f,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
101011010060,3f75a144ff9047bdbc4afd90aad82de6,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
101011010069,ec6afdce13914a2b81f78c9ce0a4f89a,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
101011010077,490bcc64d31f46d587a7703cfbc07a78,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
101011010085,0c64e3469dfc49cd809df49978c365ad,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
