case_id,hhid,crop_code,ag_h0b_oth,ag_h01a,ag_h01b,ag_h01b_oth,ag_h02,ag_h03,ag_h04,ag_h06a,ag_h06b,ag_h07a,ag_h07b,ag_h07b_oth,ag_h08,ag_h08_oth,ag_h09,ag_h10,ag_h11,ag_h12,ag_h13,ag_h14a,ag_h14b,ag_h37,ag_h38a,ag_h38b,ag_h38b_oth,ag_h39a,ag_h39b,ag_h40,ag_h41,ag_h42a,ag_h42b,ag_h42b_oth,ag_h43
101011000030,c58e3284fee84a598b22086985e8212a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011000043,df2f79020a7a4b1c889edca2005183b8,MAIZE: HYBRID,,3,kilogram,,"YES, THE FIGURES MATCHED",no,yes,5,,3,kilogram,,On Foot,,0,2000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,
101011000043,df2f79020a7a4b1c889edca2005183b8,GROUNDNUT: CHALIMBANA,,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,5,,5,kilogram,,On Foot,,0,4000,"Paid in full, with own-savings",,,,,yes,5,kilogram,,4,,0,no,,,,
101011000043,df2f79020a7a4b1c889edca2005183b8,beans,,12,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,12,kilogram,,On Foot,,0,6000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,
101011000053,755889c7f7294da39fb08cde3e0e70ee,MAIZE: HYBRID,,18,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,20,kilogram,,Own Bicycle or Oxcart,,0,22000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,
101011000063,6957cc92b3ee44539eb128680bd132a2,MAIZE: HYBRID,,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,5,kilogram,,Bicycle Taxi,,600,4500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,
101011000063,6957cc92b3ee44539eb128680bd132a2,TOBACCO: BURLEY,,15,gram,,"YES, THE FIGURES MATCHED",no,yes,3,,15,gram,,On Foot,,0,250,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,
101011000063,6957cc92b3ee44539eb128680bd132a2,nkhwani,,20,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,20,gram,,Preference for traditional variety
101011000073,a379ff91a7584a0481a7a9b587de9098,MAIZE: HYBRID RECYCLED,,14,kilogram,,"YES, THE FIGURES MATCHED",yes,,,,,,,,,,,,,,,,no,,,,,,,no,,,,
101011000073,a379ff91a7584a0481a7a9b587de9098,TOBACCO: BURLEY,,250,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,250,gram,,Advice from fellow farmer
101011000073,a379ff91a7584a0481a7a9b587de9098,beans,,1,kilogram,,"YES, THE FIGURES MATCHED",yes,,,,,,,,,,,,,,,,no,,,,,,,no,,,,
101011000087,ba134ca37f1e4262a6a65fe7bd21d6e8,MAIZE: HYBRID,,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
101011000117,7ff5cfee1e63465a946525e5a57fb0e8,MAIZE: HYBRID RECYCLED,,25,kilogram,,"YES, THE FIGURES MATCHED",yes,,,,,,,,,,,,,,,,no,,,,,,,no,,,,
101011000117,7ff5cfee1e63465a946525e5a57fb0e8,GROUNDNUT: CHALIMBANA,,5,kilogram,,"YES, THE FIGURES MATCHED",yes,,,,,,,,,,,,,,,,no,,,,,,,no,,,,
101011000117,7ff5cfee1e63465a946525e5a57fb0e8,beans,,10,kilogram,,"YES, THE FIGURES MATCHED",yes,,,,,,,,,,,,,,,,no,,,,,,,no,,,,
101011000130,05ac171b7d6c4910aecace2f6bddb3d1,MAIZE: HYBRID,,15,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,15,kilogram,,Truck / Bus/ Minibus,,1600,8000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,
101011000130,05ac171b7d6c4910aecace2f6bddb3d1,beans,,1,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,1,OTHER (SPECIFY),PAIL (UNSPECIFIED SIZE),Truck / Bus/ Minibus,,1600,2500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,
101011000140,9b1e9da03b694c489d70c839801f1f60,MAIZE: HYBRID,,6,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,6,kilogram,,On Foot,,0,4000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,
101011000140,9b1e9da03b694c489d70c839801f1f60,sunflower,,3,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,3,kilogram,,On Foot,,0,700,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,
101011000150,755f518b21c44547a67a83a31c0172c2,MAIZE: HYBRID RECYCLED,,12,kilogram,,"YES, THE FIGURES MATCHED",yes,,,,,,,,,,,,,,,,no,,,,,,,no,,,,
101011000150,755f518b21c44547a67a83a31c0172c2,TOBACCO: BURLEY,,50,gram,,"YES, THE FIGURES MATCHED",no,yes,3,,50,gram,,Bicycle Taxi,,250,2700,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,
101011000150,755f518b21c44547a67a83a31c0172c2,beans,,2,kilogram,,"YES, THE FIGURES MATCHED",no,yes,3,,2,kilogram,,Bicycle Taxi,,250,1500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,
101011000180,4746f0aa0b804d1387212f49a772bb4f,MAIZE: LOCAL,,3,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,3,OTHER (SPECIFY),CUP,1,,0,no,,,,
101011000180,4746f0aa0b804d1387212f49a772bb4f,GROUNDNUT: CHALIMBANA,,15,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,15,OTHER (SPECIFY),CUP,On Foot,,0,3000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,
101011000190,f7eb4aa6af2f40f9b1b7d81abcacdce0,MAIZE: HYBRID,,5,kilogram,,"YES, THE FIGURES MATCHED",yes,,,,,,,,,,,,,,,,no,,,,,,,no,,,,
101011000190,f7eb4aa6af2f40f9b1b7d81abcacdce0,GROUNDNUT: CHALIMBANA,,10,kilogram,,"YES, THE FIGURES MATCHED",no,yes,4,,10,kilogram,,On Foot,,0,2000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,
