case_id,hhid,gardenid,plotid,ag_j04_1,ag_j04_2a,ag_j04_2b,ag_j05a,ag_j05b,ag_j05b_oth,ag_j05c,ag_j06e,ag_j06e_oth,ag_j07,ag_j07_1,ag_j08
101011020112,2f251fa85857436b8bc97011ef49b193,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.16,,,11,3,Clear/Sunny
101011020122,b4d30795984f4926b4ae8d785caea106,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.1,acre,,.08,,,11,2,Clear/Sunny
101011020146,5ab09f2e137f497e9d3f4918db6e2457,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.29,,,11,3,Clear/Sunny
101011020157,81b7adc57d8f433bb500d588db7013fd,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,.31,,,12,3,Clear/Sunny
101011020189,c3b650214aa84f82ac7a40d2be1ad16b,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.2,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011020200,bd062ea22aa446f79088768b5aeb42c9,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.25,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011020232,55bd88a435e247a38499356dc01ef67f,RG01,D01,A RAINY SEASON GARDEN,RG01,,,,,,,,,,
101011020232,55bd88a435e247a38499356dc01ef67f,RG03,D01,A RAINY SEASON GARDEN,RG03,,,,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101011040171,1a58c153d8d142ddbd8e7bede0fa6abe,DG01,D01,A DIMBA SEASON GARDEN,,DG01,1,acre,,.28,,,10,3,Partly Cloudy / Partly Sunny
101011060384,d27a9760dcb34417a1c065987d3d5c93,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.2,acre,,.2,,,12,3,Partly Cloudy / Partly Sunny
101021090035,9bfac3ebe5b945dab24a3a6cf3f531c7,DG01,D01,A DIMBA SEASON GARDEN,,DG01,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101021090149,b33961495abf4ad0afc69efeea23ba61,DG01,D01,A DIMBA SEASON GARDEN,,DG01,1,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
101021090149,b33961495abf4ad0afc69efeea23ba61,DG01,D02,A DIMBA SEASON GARDEN,,DG01,.5,acre,,,LONG DISTANCE WITHIN THIS DISTRICT,,,,
