case_id,hhid,crop_code,ag_n01a,ag_n01b,ag_n01b_oth,ag_n02,ag_n03,ag_n04,ag_n06a,ag_n06b,ag_n07a,ag_n07b,ag_n07b_oth,ag_n08,ag_n08_oth,ag_n09,ag_n10,ag_n11,ag_n12,ag_n13,ag_n14a,ag_n14b,ag_n37,ag_n38a,ag_n38b,ag_n38b_oth,ag_n39a,ag_n39b,ag_n40,ag_n41,ag_n42a,ag_n42b,ag_n42b_oth,ag_n43,ag_n43_oth
101011020112,2f251fa85857436b8bc97011ef49b193,tomato,100,gram,,"YES, THE FIGURES MATCHED",no,yes,3,,100,gram,,On Foot,,0,800,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
101011020122,b4d30795984f4926b4ae8d785caea106,tanaposi,25,gram,,"YES, THE FIGURES MATCHED",no,yes,3,,25,gram,,Own Bicycle or Oxcart,,0,1000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
101011020146,5ab09f2e137f497e9d3f4918db6e2457,MAIZE HYBRID RECYCLED,4,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,4,kilogram,,Preference for traditional variety,
101011020146,5ab09f2e137f497e9d3f4918db6e2457,nkhwani,500,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,kilogram,,Preference for traditional variety,
101011020157,81b7adc57d8f433bb500d588db7013fd,tomato,200,gram,,"YES, THE FIGURES MATCHED",no,yes,4,,200,gram,,Own Bicycle or Oxcart,,0,750,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
101011020189,c3b650214aa84f82ac7a40d2be1ad16b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011020200,bd062ea22aa446f79088768b5aeb42c9,beans,1,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,kilogram,,Preference for traditional variety,
101011020232,55bd88a435e247a38499356dc01ef67f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011040171,1a58c153d8d142ddbd8e7bede0fa6abe,maize,2,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,2,kilogram,,Improved variety is too expensive,
101011060384,d27a9760dcb34417a1c065987d3d5c93,tanaposi,500,kilogram,,"YES, THE FIGURES MATCHED",yes,,,,,,,,,,,,,,,,no,,,,,,,yes,500,kilogram,,Preference for traditional variety,
