case_id,hhid,crop_code,ag_o01,ag_o02a,ag_o02b,ag_o02c,ag_o03,ag_o05a,ag_o05b,ag_o06a,ag_o06b,ag_o07a,ag_o07b,ag_o08,ag_o09,ag_o09_oth,ag_o10,ag_o31a,ag_o31b,ag_o31b_oth,ag_o31c,ag_o32a,ag_o32b,ag_o32b_oth,ag_o32c,ag_o33a,ag_o33b,ag_o33b_oth,ag_o33c,ag_o34a,ag_o34b,ag_o34b_oth,ag_o34c,ag_o35a,ag_o35b,ag_o35b_oth,ag_o35c,ag_o36a,ag_o36b,ag_o36b_oth,ag_o36c,ag_o36d,ag_o37a,ag_o37b,ag_o37_oth,ag_o38,ag_o39,ag_o39_oth,ag_o40a,ag_o40b,ag_o40b_oth,ag_o40c,ag_o41a,ag_o41b,ag_o41_oth,ag_o42a,ag_o42b,ag_o42_oth
101011020112,2f251fa85857436b8bc97011ef49b193,tomato,yes,38,PAIL (LARGE),NOT APPLICABLE,114000,3,,1,,september,2015,6,Buyer picked up the crop,,0,1,OTHER (SPECIFY),BASIN,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,OTHER (SPECIFY),BASIN (UNSPECIFIED SIZE),NOT APPLICABLE,,Other (Specify),,DAMAGES,no,,,,,,,,,,Wait for the arrival of buyer,,
101011020122,b4d30795984f4926b4ae8d785caea106,tanaposi,yes,4,PAIL (LARGE),NOT APPLICABLE,20000,4,,2,,november,2015,1,Own Bicycle or Oxcart,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,,Rotting,,,no,,,,,,,,,,To sell at a higher price,Food for household,
101011020146,5ab09f2e137f497e9d3f4918db6e2457,MAIZE HYBRID RECYCLED,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,4,,,,no,,,,,,,,,,Food for household,,
101011020146,5ab09f2e137f497e9d3f4918db6e2457,nkhwani,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,no,,,,,,,,,,Does not usually store,,
101011020157,81b7adc57d8f433bb500d588db7013fd,tomato,yes,33,OTHER (SPECIFY),NOT APPLICABLE,33000,5,,1,,december,2015,13,Buyer picked up the crop,,0,1,OTHER (SPECIFY),BASIN (SMALL),NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,OTHER (SPECIFY),BASIN (UNSPECIFIED SIZE),NOT APPLICABLE,,Rotting,Other (Specify),IMPROPER STORAGE,no,,,,,,,,,,Wait for the arrival of buyer,,
101011020189,c3b650214aa84f82ac7a40d2be1ad16b,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011020200,bd062ea22aa446f79088768b5aeb42c9,beans,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,S: SHELLED,,Theft,,,no,,,,,,,,,,Food for household,Seed for planting,
101011020232,55bd88a435e247a38499356dc01ef67f,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101011040171,1a58c153d8d142ddbd8e7bede0fa6abe,maize,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,5,kilogram,,S: SHELLED,,Theft,,,no,,,,,,,,,,Food for household,,
101011060384,d27a9760dcb34417a1c065987d3d5c93,tanaposi,yes,2,PAIL (LARGE),NOT APPLICABLE,2000,3,,1,2,july,2016,3,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,,Insects,,,no,,,,,,,,,,Food for household,To sell at a higher price,
101011060384,d27a9760dcb34417a1c065987d3d5c93,OTHER (SPECIFY),yes,2,PAIL (LARGE),S: SHELLED,2500,3,,1,,august,2016,4,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,bunch,,NOT APPLICABLE,,Insects,,,no,,,,,,,,,,Food for household,To sell at a higher price,
101021090035,9bfac3ebe5b945dab24a3a6cf3f531c7,IRISH [MALAWI] POTATO,yes,3,PAIL (LARGE),NOT APPLICABLE,13000,4,,1,2,december,2016,3,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,2,PAIL (SMALL),,NOT APPLICABLE,1,OTHER (SPECIFY),HEAP (LARGE),NOT APPLICABLE,,Rotting,,,no,,,,,,,,,,Seed for planting,Wait for the arrival of buyer,
101021090149,b33961495abf4ad0afc69efeea23ba61,IRISH [MALAWI] POTATO,yes,3,50 KG BAG,NOT APPLICABLE,135000,4,,1,2,december,2016,1,Truck / Bus/ Minibus,,1800,0,,,,0,,,,0,,,,0,,,,1,50 KG BAG,,NOT APPLICABLE,0,,,,1,,,,no,,,,,,,,,,To sell at a higher price,Food for household,
101021090149,b33961495abf4ad0afc69efeea23ba61,cabbage,yes,50,OTHER (SPECIFY),NOT APPLICABLE,480000,4,,1,2,december,2016,4,Truck / Bus/ Minibus,,10000,1,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,no,,,,,,,,,,To sell at a higher price,,
101021090149,b33961495abf4ad0afc69efeea23ba61,onion,yes,1,50 KG BAG,NOT APPLICABLE,11000,4,,1,2,february,2016,1,Own Bicycle or Oxcart,,0,1,PAIL (SMALL),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,no,,,,,,,,,,To sell at a higher price,,
101021090206,d24e160d18054d3fbe9fd5cd3febf1fb,maize,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,5,kilogram,,S: SHELLED,1,PAIL (SMALL),,U: UNSHELLED,,Rotting,,,no,,,,,,,,,,Food for household,Seed for planting,
101021090225,d2eff8458cbc4973bd19540049a785b6,maize,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,.5,PAIL (SMALL),,U: UNSHELLED,,Rotting,,,no,,,,,,,,,,Food for household,Seed for planting,
101021100010,0f2a6bc1f8f3476da532df54edf32e32,MAIZE HYBRID RECYCLED,yes,2,PAIL (LARGE),S: SHELLED,5600,3,,1,2,january,2016,1,Own Bicycle or Oxcart,,0,0,,,,0,,,,0,,,,0,,,,0,,,,5,kilogram,,S: SHELLED,,Rodents/Pests,,,no,,,,,,,,,,Food for household,,
101021100020,63ed8484afcc4d81a94787f181daaa9c,maize,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,5,kilogram,,S: SHELLED,,Rotting,,,no,,,,,,,,,,Food for household,,
101021100020,63ed8484afcc4d81a94787f181daaa9c,beans,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,8,,,,no,,,,,,,,,,Food for household,,
101021100061,97cf255d846147d4a761af2f93534d47,SWEET POTATO,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,,Rotting,,,no,,,,,,,,,,Food for household,Seed for planting,
101021100071,3b2d84cd39e9485e8cc9f5d8dda31312,maize,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,3,kilogram,,S: SHELLED,,Rotting,,,no,,,,,,,,,,Food for household,,
101021100071,3b2d84cd39e9485e8cc9f5d8dda31312,beans,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,2,kilogram,,S: SHELLED,,Rotting,,,no,,,,,,,,,,Food for household,Seed for planting,
101021100082,6877f51463284bab9776e27ac99ffe4e,SWEET POTATO,yes,3,50 KG BAG,NOT APPLICABLE,5000,2,,1,2,december,2015,6,On Foot,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,,Rotting,,,no,,,,,,,,,,Food for household,Other (Specify),TO SELL AT THE MARKET
101021100092,a4c212d9e2a241c980d0b61747cd6cc4,tomato,yes,2,PAIL (LARGE),NOT APPLICABLE,5000,4,,1,2,december,2015,3,On Foot,,0,2,kilogram,,U: UNSHELLED,0,,,,0,,,,0,,,,0,,,,2,kilogram,,U: UNSHELLED,,Rotting,,,no,,,,,,,,,,Food for household,To sell at a higher price,
101021100112,1066643538b2448bb6f3576d99b93963,maize,no,,,,,,,,,,,,,,,20,kilogram,,U: UNSHELLED,0,,,,0,,,,0,,,,0,,,,7,kilogram,,U: UNSHELLED,,Rotting,,,no,,,,,,,,,,Food for household,Seed for planting,
101021100173,b172ac557f21486cbaf35a846610de85,IRISH [MALAWI] POTATO,yes,2,50 KG BAG,S: SHELLED,22000,6,,1,2,october,2015,5,On Foot,,0,5,kilogram,,NOT APPLICABLE,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,0,,,,5,,,,no,,,,,,,,,,To sell at a higher price,Seed for planting,
101021100193,59738c6b0b0b4698bdcb3b4d47249f87,MAIZE HYBRID RECYCLED,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,S: SHELLED,,Rodents/Pests,,,no,,,,,,,,,,Food for household,Seed for planting,
101021110025,836edbfc80c94c69b37ece683ba793ee,cabbage,yes,14,OTHER (SPECIFY),NOT APPLICABLE,200000,4,,1,2,july,2016,8,Own Bicycle or Oxcart,,0,1,PAIL (SMALL),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,no,,,,,,,,,,To sell at a higher price,Food for household,
101021110031,1932530af3c64641ad687e22df626239,tomato,yes,5,OTHER (SPECIFY),NOT APPLICABLE,10000,4,,1,2,august,2016,3,On Foot,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,NOT APPLICABLE,,Rotting,,,no,,,,,,,,,,Food for household,To sell at a higher price,
101021110080,212b7fc57c6244409360297e64fe0a95,maize,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,.2,kilogram,,U: UNSHELLED,,Rotting,,,no,,,,,,,,,,Food for household,Seed for planting,
101021110086,06329ecc71e5430fadb9d1b4b752806d,tomato,yes,28,PAIL (LARGE),NOT APPLICABLE,84000,3,,1,2,august,2016,8,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (LARGE),,NOT APPLICABLE,,Rotting,,,no,,,,,,,,,,Wait for the arrival of buyer,,
101021110100,4eada1d1b00844aa94fc413e44f4b6f4,tomato,yes,24,OTHER (SPECIFY),NOT APPLICABLE,60000,3,,1,,september,2016,15,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,0,,,,2,PAIL (SMALL),,NOT APPLICABLE,,Rotting,,,no,,,,,,,,,,Wait for the arrival of buyer,,
101031130010,43da15b392404c87b88b661009658646,MAIZE HYBRID RECYCLED,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,5,,,,no,,,,,,,,,,Food for household,,
101031130099,720d9bece54b440d9d8f75454d2eb823,maize,no,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,S: SHELLED,,Rotting,Insects,,yes,Bags in house,,1,PAIL (LARGE),,U: UNSHELLED,Did Nothing,,,Food for household,Seed for planting,
101031140007,765a3f45dc214e938ee78815efb7fcd9,tanaposi,yes,1,PAIL (SMALL),NOT APPLICABLE,2500,6,,2,3,september,2016,10,On Foot,,2500,0,,,,0,,,,0,,,,0,,,,0,,,,2,bunch,,NOT APPLICABLE,,Theft,,,no,,,,,,,,,,Food for household,,
