case_id,hhid,ag_r25,ag_r26,ag_r27,ag_r28,ag_r29
101011000043,df2f79020a7a4b1c889edca2005183b8,0,0,0,0,0
101011000053,755889c7f7294da39fb08cde3e0e70ee,0,0,2200,0,0
101011000063,6957cc92b3ee44539eb128680bd132a2,0,0,0,0,0
101011000073,a379ff91a7584a0481a7a9b587de9098,0,0,600,0,0
101011000087,ba134ca37f1e4262a6a65fe7bd21d6e8,0,0,0,0,0
101011000117,7ff5cfee1e63465a946525e5a57fb0e8,0,0,0,0,3500
101011000130,05ac171b7d6c4910aecace2f6bddb3d1,0,0,0,0,15000
101011000140,9b1e9da03b694c489d70c839801f1f60,0,0,700,0,3200
101011000150,755f518b21c44547a67a83a31c0172c2,0,0,4000,0,0
101011000180,4746f0aa0b804d1387212f49a772bb4f,0,0,0,0,2000
101011000190,f7eb4aa6af2f40f9b1b7d81abcacdce0,0,0,0,0,0
101011010019,6cbfe46ffb234d5e907432b5acbff30a,0,0,0,0,0
101011010027,1c312fef4d684a7c85f3ae1be5a7220a,0,0,0,0,0
101011010044,76b4f23afd144083b3d600ec4a339744,0,3000,0,0,0
101011010052,416ebdcaf6064e5084cc70055feeeb0f,0,0,0,0,0
101011010060,3f75a144ff9047bdbc4afd90aad82de6,0,0,0,0,0
101011010077,490bcc64d31f46d587a7703cfbc07a78,0,0,0,0,0
101011010085,0c64e3469dfc49cd809df49978c365ad,0,0,0,0,0
101011010093,665bc90643f046e4a9574fb8f69096a9,0,0,0,0,0
101011010102,d43d0e3e75774a6c99239cf5679efd17,0,0,0,0,0
101011010110,ca1dc73c3b224454874d2535455cd0dc,0,0,0,0,0
101011010118,4276b62241204cb0b265cf2240b7f573,0,0,0,0,0
101011010126,b2856f2dc800493dacc8fea33a1ca304,0,0,0,0,0
101011020011,3353f3b4e8bd4aa2bb22a180bcb6cf23,0,0,0,0,0
101011020021,8f5ce0fbc5db43ffa0048a4f32e55a1b,0,0,0,0,0
101011020032,7efe8aed09d34ed281a3589e70a288f1,0,0,0,0,0
101011020056,3a5f7d1f82ea4564b9fae896b905a3e3,0,0,0,0,0
101011020067,401dabded77840c9add12c88d52ae841,0,0,0,0,0
101011020077,276bc07604c94755a89011471cea0640,0,0,0,0,0
101011020112,2f251fa85857436b8bc97011ef49b193,0,1500,2200,0,0
101011020122,b4d30795984f4926b4ae8d785caea106,0,5000,1600,0,0
101011020146,5ab09f2e137f497e9d3f4918db6e2457,0,3000,4400,0,0
