case_id,hhid,ag_s0a,ag_s01,ag_s02,ag_s03a,ag_s03b,ag_s03b_oth,ag_s04,ag_s05a,ag_s05b,ag_s05b_oth,ag_s06,ag_s07a,ag_s07b,ag_s08,ag_s09a,ag_s09b,ag_s09b_oth,ag_s10a,ag_s10b,ag_s10b_oth,ag_s11a,ag_s11b,ag_s11b_oth,ag_s12,ag_s13
101011000043,df2f79020a7a4b1c889edca2005183b8,COW MILK,2,,,,,,,,,,,,,,,,,,,,,,,
101011000043,df2f79020a7a4b1c889edca2005183b8,CHICKEN EGGS,1,5,24,piece,,yes,30,piece,,1500,1,2,6,20,piece,,0,,,0,,,no,
101011000043,df2f79020a7a4b1c889edca2005183b8,GUINEA FOWL EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011000043,df2f79020a7a4b1c889edca2005183b8,meat,2,,,,,,,,,,,,,,,,,,,,,,,
101011000043,df2f79020a7a4b1c889edca2005183b8,SKINS AND HIDES,2,,,,,,,,,,,,,,,,,,,,,,,
101011000043,df2f79020a7a4b1c889edca2005183b8,manure,2,,,,,,,,,,,,,,,,,,,,,,,
101011000043,df2f79020a7a4b1c889edca2005183b8,OTHER (SPECIFY),2,,,,,,,,,,,,,,,,,,,,,,,
101011000053,755889c7f7294da39fb08cde3e0e70ee,COW MILK,2,,,,,,,,,,,,,,,,,,,,,,,
101011000053,755889c7f7294da39fb08cde3e0e70ee,CHICKEN EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011000053,755889c7f7294da39fb08cde3e0e70ee,GUINEA FOWL EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011000053,755889c7f7294da39fb08cde3e0e70ee,meat,1,1,1,kilogram,,no,,,,,,,,1,kilogram,,0,,,0,,,no,
101011000053,755889c7f7294da39fb08cde3e0e70ee,SKINS AND HIDES,2,,,,,,,,,,,,,,,,,,,,,,,
101011000053,755889c7f7294da39fb08cde3e0e70ee,manure,2,,,,,,,,,,,,,,,,,,,,,,,
101011000053,755889c7f7294da39fb08cde3e0e70ee,OTHER (SPECIFY),2,,,,,,,,,,,,,,,,,,,,,,,
101011000063,6957cc92b3ee44539eb128680bd132a2,COW MILK,2,,,,,,,,,,,,,,,,,,,,,,,
101011000063,6957cc92b3ee44539eb128680bd132a2,CHICKEN EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011000063,6957cc92b3ee44539eb128680bd132a2,GUINEA FOWL EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011000063,6957cc92b3ee44539eb128680bd132a2,meat,2,,,,,,,,,,,,,,,,,,,,,,,
101011000063,6957cc92b3ee44539eb128680bd132a2,SKINS AND HIDES,2,,,,,,,,,,,,,,,,,,,,,,,
101011000063,6957cc92b3ee44539eb128680bd132a2,manure,2,,,,,,,,,,,,,,,,,,,,,,,
101011000063,6957cc92b3ee44539eb128680bd132a2,OTHER (SPECIFY),2,,,,,,,,,,,,,,,,,,,,,,,
101011000073,a379ff91a7584a0481a7a9b587de9098,COW MILK,2,,,,,,,,,,,,,,,,,,,,,,,
101011000073,a379ff91a7584a0481a7a9b587de9098,CHICKEN EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011000073,a379ff91a7584a0481a7a9b587de9098,GUINEA FOWL EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011000073,a379ff91a7584a0481a7a9b587de9098,meat,2,,,,,,,,,,,,,,,,,,,,,,,
101011000073,a379ff91a7584a0481a7a9b587de9098,SKINS AND HIDES,2,,,,,,,,,,,,,,,,,,,,,,,
101011000073,a379ff91a7584a0481a7a9b587de9098,manure,1,6,1,bucket,,no,,,,,,,,0,,,2,bucket,,0,,,no,
101011000073,a379ff91a7584a0481a7a9b587de9098,OTHER (SPECIFY),2,,,,,,,,,,,,,,,,,,,,,,,
101011000087,ba134ca37f1e4262a6a65fe7bd21d6e8,COW MILK,2,,,,,,,,,,,,,,,,,,,,,,,
101011000087,ba134ca37f1e4262a6a65fe7bd21d6e8,CHICKEN EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011000087,ba134ca37f1e4262a6a65fe7bd21d6e8,GUINEA FOWL EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011000087,ba134ca37f1e4262a6a65fe7bd21d6e8,meat,2,,,,,,,,,,,,,,,,,,,,,,,
101011000087,ba134ca37f1e4262a6a65fe7bd21d6e8,SKINS AND HIDES,2,,,,,,,,,,,,,,,,,,,,,,,
101011000087,ba134ca37f1e4262a6a65fe7bd21d6e8,manure,2,,,,,,,,,,,,,,,,,,,,,,,
101011000087,ba134ca37f1e4262a6a65fe7bd21d6e8,OTHER (SPECIFY),2,,,,,,,,,,,,,,,,,,,,,,,
101011000117,7ff5cfee1e63465a946525e5a57fb0e8,COW MILK,1,3,20,litre,,no,,,,,,,,12,litre,,4,litre,,0,,,no,
101011000117,7ff5cfee1e63465a946525e5a57fb0e8,CHICKEN EGGS,1,6,13,piece,,no,,,,,,,,36,piece,,0,,,0,,,no,
101011000117,7ff5cfee1e63465a946525e5a57fb0e8,GUINEA FOWL EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011000117,7ff5cfee1e63465a946525e5a57fb0e8,meat,1,4,4,OTHER (SPECIFY),WHOLE,no,,,,,,,,4,OTHER (SPECIFY),WHOLE,0,,,0,,,no,
101011000117,7ff5cfee1e63465a946525e5a57fb0e8,SKINS AND HIDES,2,,,,,,,,,,,,,,,,,,,,,,,
101011000117,7ff5cfee1e63465a946525e5a57fb0e8,manure,1,6,100,kilogram,,no,,,,,,,,100,kilogram,,0,,,0,,,no,
101011000117,7ff5cfee1e63465a946525e5a57fb0e8,OTHER (SPECIFY),2,,,,,,,,,,,,,,,,,,,,,,,
101011000130,05ac171b7d6c4910aecace2f6bddb3d1,COW MILK,2,,,,,,,,,,,,,,,,,,,,,,,
101011000130,05ac171b7d6c4910aecace2f6bddb3d1,CHICKEN EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011000130,05ac171b7d6c4910aecace2f6bddb3d1,GUINEA FOWL EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011000130,05ac171b7d6c4910aecace2f6bddb3d1,meat,2,,,,,,,,,,,,,,,,,,,,,,,
101011000130,05ac171b7d6c4910aecace2f6bddb3d1,SKINS AND HIDES,2,,,,,,,,,,,,,,,,,,,,,,,
101011000130,05ac171b7d6c4910aecace2f6bddb3d1,manure,2,,,,,,,,,,,,,,,,,,,,,,,
101011000130,05ac171b7d6c4910aecace2f6bddb3d1,OTHER (SPECIFY),2,,,,,,,,,,,,,,,,,,,,,,,
101011000140,9b1e9da03b694c489d70c839801f1f60,COW MILK,2,,,,,,,,,,,,,,,,,,,,,,,
101011000140,9b1e9da03b694c489d70c839801f1f60,CHICKEN EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011000140,9b1e9da03b694c489d70c839801f1f60,GUINEA FOWL EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011000140,9b1e9da03b694c489d70c839801f1f60,meat,1,11,11,kilogram,,no,,,,,,,,5,kilogram,,0,,,0,,,no,
101011000140,9b1e9da03b694c489d70c839801f1f60,SKINS AND HIDES,2,,,,,,,,,,,,,,,,,,,,,,,
101011000140,9b1e9da03b694c489d70c839801f1f60,manure,2,,,,,,,,,,,,,,,,,,,,,,,
101011000140,9b1e9da03b694c489d70c839801f1f60,OTHER (SPECIFY),2,,,,,,,,,,,,,,,,,,,,,,,
101011000150,755f518b21c44547a67a83a31c0172c2,COW MILK,2,,,,,,,,,,,,,,,,,,,,,,,
101011000150,755f518b21c44547a67a83a31c0172c2,CHICKEN EGGS,1,3,12,piece,,no,,,,,,,,16,piece,,0,,,0,,,no,
101011000150,755f518b21c44547a67a83a31c0172c2,GUINEA FOWL EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011000150,755f518b21c44547a67a83a31c0172c2,meat,1,1,3,kilogram,,no,,,,,,,,3,kilogram,,0,,,0,,,no,
101011000150,755f518b21c44547a67a83a31c0172c2,SKINS AND HIDES,2,,,,,,,,,,,,,,,,,,,,,,,
101011000150,755f518b21c44547a67a83a31c0172c2,manure,2,,,,,,,,,,,,,,,,,,,,,,,
101011000150,755f518b21c44547a67a83a31c0172c2,OTHER (SPECIFY),2,,,,,,,,,,,,,,,,,,,,,,,
101011000180,4746f0aa0b804d1387212f49a772bb4f,COW MILK,2,,,,,,,,,,,,,,,,,,,,,,,
101011000180,4746f0aa0b804d1387212f49a772bb4f,CHICKEN EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011000180,4746f0aa0b804d1387212f49a772bb4f,GUINEA FOWL EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011000180,4746f0aa0b804d1387212f49a772bb4f,meat,1,3,7,piece,,no,,,,,,,,7,piece,,0,,,0,,,no,
101011000180,4746f0aa0b804d1387212f49a772bb4f,SKINS AND HIDES,2,,,,,,,,,,,,,,,,,,,,,,,
101011000180,4746f0aa0b804d1387212f49a772bb4f,manure,2,,,,,,,,,,,,,,,,,,,,,,,
101011000180,4746f0aa0b804d1387212f49a772bb4f,OTHER (SPECIFY),2,,,,,,,,,,,,,,,,,,,,,,,
101011000190,f7eb4aa6af2f40f9b1b7d81abcacdce0,COW MILK,2,,,,,,,,,,,,,,,,,,,,,,,
101011000190,f7eb4aa6af2f40f9b1b7d81abcacdce0,CHICKEN EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011000190,f7eb4aa6af2f40f9b1b7d81abcacdce0,GUINEA FOWL EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011000190,f7eb4aa6af2f40f9b1b7d81abcacdce0,meat,2,,,,,,,,,,,,,,,,,,,,,,,
101011000190,f7eb4aa6af2f40f9b1b7d81abcacdce0,SKINS AND HIDES,2,,,,,,,,,,,,,,,,,,,,,,,
101011000190,f7eb4aa6af2f40f9b1b7d81abcacdce0,manure,2,,,,,,,,,,,,,,,,,,,,,,,
101011000190,f7eb4aa6af2f40f9b1b7d81abcacdce0,OTHER (SPECIFY),2,,,,,,,,,,,,,,,,,,,,,,,
101011010019,6cbfe46ffb234d5e907432b5acbff30a,COW MILK,2,,,,,,,,,,,,,,,,,,,,,,,
101011010019,6cbfe46ffb234d5e907432b5acbff30a,CHICKEN EGGS,1,5,20,piece,,no,,,,,,,,30,piece,,0,,,0,,,no,
101011010019,6cbfe46ffb234d5e907432b5acbff30a,GUINEA FOWL EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011010019,6cbfe46ffb234d5e907432b5acbff30a,meat,1,4,1,kilogram,,no,,,,,,,,4,kilogram,,0,,,0,,,no,
101011010019,6cbfe46ffb234d5e907432b5acbff30a,SKINS AND HIDES,2,,,,,,,,,,,,,,,,,,,,,,,
101011010019,6cbfe46ffb234d5e907432b5acbff30a,manure,2,,,,,,,,,,,,,,,,,,,,,,,
101011010019,6cbfe46ffb234d5e907432b5acbff30a,OTHER (SPECIFY),2,,,,,,,,,,,,,,,,,,,,,,,
101011010027,1c312fef4d684a7c85f3ae1be5a7220a,COW MILK,2,,,,,,,,,,,,,,,,,,,,,,,
101011010027,1c312fef4d684a7c85f3ae1be5a7220a,CHICKEN EGGS,1,3,20,piece,,no,,,,,,,,18,piece,,0,,,0,,,no,
101011010027,1c312fef4d684a7c85f3ae1be5a7220a,GUINEA FOWL EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011010027,1c312fef4d684a7c85f3ae1be5a7220a,meat,1,3,2,kilogram,,no,,,,,,,,4,kilogram,,0,,,0,,,no,
101011010027,1c312fef4d684a7c85f3ae1be5a7220a,SKINS AND HIDES,2,,,,,,,,,,,,,,,,,,,,,,,
101011010027,1c312fef4d684a7c85f3ae1be5a7220a,manure,2,,,,,,,,,,,,,,,,,,,,,,,
101011010027,1c312fef4d684a7c85f3ae1be5a7220a,OTHER (SPECIFY),2,,,,,,,,,,,,,,,,,,,,,,,
101011010044,76b4f23afd144083b3d600ec4a339744,COW MILK,2,,,,,,,,,,,,,,,,,,,,,,,
101011010044,76b4f23afd144083b3d600ec4a339744,CHICKEN EGGS,1,4,15,piece,,no,,,,,,,,12,piece,,0,,,0,,,no,
101011010044,76b4f23afd144083b3d600ec4a339744,GUINEA FOWL EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011010044,76b4f23afd144083b3d600ec4a339744,meat,2,,,,,,,,,,,,,,,,,,,,,,,
101011010044,76b4f23afd144083b3d600ec4a339744,SKINS AND HIDES,2,,,,,,,,,,,,,,,,,,,,,,,
101011010044,76b4f23afd144083b3d600ec4a339744,manure,2,,,,,,,,,,,,,,,,,,,,,,,
101011010044,76b4f23afd144083b3d600ec4a339744,OTHER (SPECIFY),2,,,,,,,,,,,,,,,,,,,,,,,
101011010052,416ebdcaf6064e5084cc70055feeeb0f,COW MILK,2,,,,,,,,,,,,,,,,,,,,,,,
101011010052,416ebdcaf6064e5084cc70055feeeb0f,CHICKEN EGGS,1,5,15,piece,,no,,,,,,,,15,piece,,0,,,0,,,no,
101011010052,416ebdcaf6064e5084cc70055feeeb0f,GUINEA FOWL EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011010052,416ebdcaf6064e5084cc70055feeeb0f,meat,2,,,,,,,,,,,,,,,,,,,,,,,
101011010052,416ebdcaf6064e5084cc70055feeeb0f,SKINS AND HIDES,2,,,,,,,,,,,,,,,,,,,,,,,
101011010052,416ebdcaf6064e5084cc70055feeeb0f,manure,2,,,,,,,,,,,,,,,,,,,,,,,
101011010052,416ebdcaf6064e5084cc70055feeeb0f,OTHER (SPECIFY),2,,,,,,,,,,,,,,,,,,,,,,,
101011010060,3f75a144ff9047bdbc4afd90aad82de6,COW MILK,2,,,,,,,,,,,,,,,,,,,,,,,
101011010060,3f75a144ff9047bdbc4afd90aad82de6,CHICKEN EGGS,1,3,12,piece,,yes,6,piece,,480,1,,2,0,,,0,,,0,,,no,
101011010060,3f75a144ff9047bdbc4afd90aad82de6,GUINEA FOWL EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011010060,3f75a144ff9047bdbc4afd90aad82de6,meat,2,,,,,,,,,,,,,,,,,,,,,,,
101011010060,3f75a144ff9047bdbc4afd90aad82de6,SKINS AND HIDES,2,,,,,,,,,,,,,,,,,,,,,,,
101011010060,3f75a144ff9047bdbc4afd90aad82de6,manure,2,,,,,,,,,,,,,,,,,,,,,,,
101011010060,3f75a144ff9047bdbc4afd90aad82de6,OTHER (SPECIFY),2,,,,,,,,,,,,,,,,,,,,,,,
101011010077,490bcc64d31f46d587a7703cfbc07a78,COW MILK,2,,,,,,,,,,,,,,,,,,,,,,,
101011010077,490bcc64d31f46d587a7703cfbc07a78,CHICKEN EGGS,1,1,24,piece,,no,,,,,,,,12,piece,,0,,,0,,,no,
101011010077,490bcc64d31f46d587a7703cfbc07a78,GUINEA FOWL EGGS,2,,,,,,,,,,,,,,,,,,,,,,,
101011010077,490bcc64d31f46d587a7703cfbc07a78,meat,1,1,5,piece,,no,,,,,,,,1,piece,,0,,,0,,,no,
101011010077,490bcc64d31f46d587a7703cfbc07a78,SKINS AND HIDES,2,,,,,,,,,,,,,,,,,,,,,,,
