ea_id,com_ca01,com_ca02,com_ca06,InterviewDate
10101100,Chitipa,1,10,2016-04-23
10101101,Chitipa,1,10,2017-02-07
10101102,Chitipa,1,10,2016-10-13
10101103,Chitipa,1,10,2017-04-23
10101104,Chitipa,1,10,2016-05-23
10101105,Chitipa,1,2,2017-02-25
10101106,Chitipa,1,10,2016-12-21
10101107,Chitipa,1,10,2017-04-28
10101108,Chitipa,1,10,2016-06-28
10102109,Chitipa,2,2,2017-03-14
10102110,Chitipa,2,10,2016-10-15
10102111,Chitipa,2,10,2017-04-04
10102112,Chitipa,2,10,2016-04-30
10103114,Chitipa,3,93,2016-10-04
10104116,Chitipa,4,10,2016-05-28
10104117,Chitipa,4,2,2017-02-21
10104118,Chitipa,4,10,2016-12-23
10105119,Chitipa,5,10,2017-04-25
10105120,Chitipa,5,10,2016-06-16
10105121,Chitipa,5,2,2017-03-11
10120122,Chitipa,20,10,2017-02-04
10120123,Chitipa,20,10,2017-04-03
10201124,Karonga,1,2,2017-02-01
10201125,Karonga,1,10,2016-11-12
10201126,Karonga,1,10,2017-04-08
10201127,Karonga,1,10,2016-06-01
10201128,Karonga,1,2,2017-02-16
10201129,Karonga,1,10,2016-12-19
10202131,Karonga,2,10,2016-07-04
10203132,Karonga,3,2,2017-02-28
10203133,Karonga,3,10,2016-09-07
10203134,Karonga,3,10,2017-03-31
10203135,Karonga,3,10,2016-05-05
10203136,Karonga,3,10,2017-01-31
10203137,Karonga,3,10,2016-12-17
10204138,Karonga,4,10,2017-04-11
10204139,Karonga,4,10,2016-06-09
10204140,Karonga,4,2,2017-02-14
10204141,Karonga,4,10,2016-12-30
10205142,Karonga,5,10,2017-04-20
10205143,Karonga,5,10,2016-07-09
10205144,Karonga,5,2,2017-03-20
10220145,Karonga,20,93,2016-09-09
10220146,Karonga,20,10,2017-03-22
10220147,Karonga,20,10,2016-05-13
10301148,Nkhata Bay,1,20,2016-05-10
10301149,Nkhata Bay,1,900,2017-01-21
10301150,Nkhata Bay,1,20,2016-10-19
10301151,Nkhata Bay,1,20,2017-04-18
10302152,Nkhata Bay,2,20,2016-06-09
10302153,Nkhata Bay,2,20,2017-03-01
10303154,Nkhata Bay,3,20,2017-01-07
10304155,Nkhata Bay,4,900,2017-04-15
10304156,Nkhata Bay,4,20,2016-07-11
10305157,Nkhata Bay,5,20,2017-03-21
10305158,Nkhata Bay,5,20,2016-09-22
10306159,Nkhata Bay,6,20,2017-03-31
10306160,Nkhata Bay,6,20,2016-05-13
10307161,Nkhata Bay,7,900,2017-01-24
10308162,Nkhata Bay,8,20,2016-10-24
