ea_id,com_cd01,com_cd02a,com_cd02b,com_cd03,com_cd04,com_cd05,com_cd06,com_cd07a,com_cd07b,com_cd08a,com_cd08b,com_cd09,com_cd10a,com_cd10b,com_cd11,com_cd12,com_cd13a,com_cd13b,com_cd13c,com_cd14,com_cd15,com_cd16,com_cd16b,com_cd17,com_cd18a,com_cd18b,com_cd19,com_cd20a,com_cd20b,com_cd21,com_cd22a,com_cd22b,com_cd23,com_cd24a,com_cd24b,com_cd25,com_cd26,com_cd27a,com_cd27b,com_cd28,com_cd29,com_cd30,com_cd31,com_cd32,com_cd33,com_cd34,com_cd35,com_cd36a,com_cd36b,com_cd37,com_cd38,com_cd39,com_cd40a,com_cd40b,com_cd41,com_cd42,com_cd43,com_cd44,com_cd45,com_cd46,com_cd47,com_cd48,com_cd49a,com_cd49b,com_cd50,com_cd50b,com_cd51a,com_cd51b,com_cd52,com_cd53,com_cd54,com_cd55,com_cd56,com_cd57,com_cd58,com_cd59,com_cd60a,com_cd61,com_cd62,com_cd63,com_cd64,com_cd65a,com_cd65b,com_cd65c,com_cd65d,com_cd65e,com_cd65_oth,com_cd66,com_cd67a,com_cd67b,com_cd68,com_cd69a,com_cd69b,com_cd70,com_cd71,com_cd65f
10101100,DIRT ROAD (MAINTAINED),50,km,no,8,8,no,20,km,7,day,no,50,km,2000,no,400,km,mzuzu,6500,yes,,,no,23,km,no,23,km,no,50,km,no,50,km,21,0,0,km,4,604,yes,,no,,,no,5,km,0,0,no,5,km,5,170,no,0,0,0,0,no,50,km,yes,km,,,Always available,Government facility,yes,yes,yes,male,yes,yes,50,Government facility,no,,yes,No,No,No,Yes,Yes,,no,50,km,no,50,km,no,no,No
10101101,GRADED GRAVELED,21,km,yes,12,12,yes,,,2,hour,no,21,km,1500,no,339,km,mzuzu,7500,yes,,,no,5,km,no,5,km,no,21,km,yes,,,5,0,0,km,10,290,yes,,no,,,no,21,km,23,300,yes,0,km,11,275,no,0,0,0,0,yes,,,no,km,7,km,,,,yes,yes,male,yes,yes,21,Government facility,no,,no,,,,,,,no,21,km,no,21,km,no,no,
10101102,GRADED GRAVELED,15,km,yes,12,12,yes,,,2,hour,no,15,km,500,no,339,km,mzuzu,6000,yes,,,no,15,km,no,15,km,no,15,km,no,15,km,5,0,0,km,9,420,yes,,no,,,no,0,km,15,260,yes,2,mile,13,280,no,0,0,0,0,yes,,,no,km,9,km,,,,yes,yes,male,no,yes,9,Government facility,no,,no,,,,,,,no,9,km,no,9,km,no,no,
10101103,DIRT ROAD (MAINTAINED),12,km,no,11,11,no,3,km,1,day,no,15,km,2000,no,80,km,mzuzu,6000,no,3,km,no,3,km,no,12,km,no,12,km,no,3,km,4,0,1,IN COMMUNITY,4,180,yes,,no,,,no,7,km,7,300,yes,6,km,6,250,yes,0,0,0,0,no,3,km,no,km,12,km,,,,no,,,,,3,Government facility,no,,no,,,,,,,no,20,km,no,20,km,no,no,
10101104,GRADED GRAVELED,3,km,yes,12,12,yes,,,1,hour,no,3,km,200,no,320,km,mzuzu,6000,yes,,,no,3,km,no,3,km,no,3,km,no,3,km,7,0,0,km,11,520,yes,,no,,,no,1,km,25,300,yes,0,km,14,450,no,0,0,0,0,no,2,km,no,km,3,km,,,,yes,yes,male,no,yes,3,Government facility,no,,no,,,,,,,no,3,km,no,3,km,no,no,
10101105,DIRT ROAD (MAINTAINED),10,km,no,10,10,no,10,km,1,hour,no,20,km,1500,no,80,km,mzuzu,5500,no,10,km,no,2,km,no,10,km,no,10,km,no,2,km,4,0,1,IN COMMUNITY,4,400,yes,,no,,,no,10,km,8,250,yes,8,km,7,200,no,0,0,0,0,yes,,,no,km,10,km,,,,no,,,,,10,Government facility,no,,no,,,,,,,no,20,km,no,20,km,no,no,
10101106,DIRT ROAD (MAINTAINED),15,km,yes,12,12,yes,,,5,hour,no,15,km,500,no,352,km,mzuzu,6500,yes,,,yes,,,no,15,km,no,15,km,yes,,,6,0,0,km,12,310,yes,,no,,,no,17,km,27,300,yes,10,km,10,240,no,0,0,0,0,yes,,,no,km,15,km,,,,yes,yes,male,yes,yes,15,Government facility,no,,no,,,,,,,no,15,km,no,15,km,no,no,
10101107,GRADED GRAVELED,2,km,yes,12,12,no,2,km,1,hour,no,10,km,700,no,75,km,mzuzu,500,no,2,km,no,2,km,no,2,km,no,3,km,no,2,km,4,0,1,km,5,260,no,1,no,,,no,2,km,5,180,no,2,km,3,230,no,4,0,0,0,yes,,,yes,km,,,Always available,Government facility,no,yes,yes,male,yes,yes,2,Government facility,no,,no,,,,,,,no,10,km,no,10,km,no,no,
10101108,GRADED GRAVELED,7,km,yes,12,12,yes,,,1,day,no,25,km,800,no,336,km,mzuzu,4800,yes,,,yes,,,no,25,km,no,25,km,no,7,km,5,0,0,km,9,400,yes,,no,,,no,25,km,25,340,yes,0,km,11,280,no,0,0,0,0,yes,,,no,km,10,km,,,,yes,yes,male,no,yes,17,Religious facility,no,,no,,,,,,,no,25,km,no,25,km,no,no,
10102109,GRADED GRAVELED,25,km,yes,8,12,yes,,,1,day,no,30,km,3500,no,60,km,mzuzu,3500,no,12,km,yes,,,no,12,km,no,12,km,no,12,km,8,0,1,km,4,200,yes,,no,,,no,12,km,6,220,yes,5,km,4,0,no,0,0,0,0,yes,,,yes,km,,,Always available,Government facility,yes,yes,yes,male,yes,yes,12,Government facility,no,,no,,,,,,,no,20,km,no,20,km,no,no,
