ea_id,com_cf01,com_cf02,com_cf03,com_cf03_1,com_cf03_2,com_cf07,com_cf08a,com_cf08b,com_cf09,com_cf10,com_cf11,com_cf12,com_cf13,com_cf17a,com_cf17b,com_cf17c,com_cf18a,com_cf18b,com_cf19a,com_cf19b,com_cf20a,com_cf20b,com_cf22,com_cf23,com_cf24,com_cf25,com_cf26,com_cf27
10101100,yes,2ND HALF DEC,1ST HALF JUN,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,20,km,no,,0,0,no,no,no,no,3,acre,1,acre,6,acre,12,8,0,0,200,123
10101101,yes,2ND HALF DEC,2ND HALF APR,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,21,km,no,,0,0,no,no,no,no,1.5,acre,.25,acre,5,acre,0,0,0,0,0,0
10101102,yes,1ST HALF JAN,2ND HALF APR,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,9,km,no,,0,0,no,no,no,no,1,acre,3,acre,.25,acre,0,0,0,0,0,0
10101103,yes,2ND HALF DEC,2ND HALF MAY,none,"ANIMALSGRAZEFREELY, NO FENCING",no,12,km,no,,0,0,no,no,no,no,.5,acre,.1,acre,3,acre,5,15,0,160,0,40
10101104,yes,2ND HALF DEC,1ST HALF MAY,none,"ANIMALSGRAZEFREELY, NO FENCING",no,3,km,no,,0,0,no,no,no,no,2,acre,1,acre,5,acre,0,0,0,0,23,50
10101105,yes,2ND HALF DEC,1ST HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,10,km,no,,0,0,no,no,no,no,1,acre,.25,acre,7,acre,10,25,0,0,0,55
10101106,yes,2ND HALF DEC,2ND HALF APR,none,"ANIMALSGRAZEFREELY, NO FENCING",no,15,km,no,,0,0,no,no,no,no,2,acre,1,acre,5,acre,0,0,0,,10,0
10101107,yes,2ND HALF DEC,1ST HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,2,km,no,,0,0,no,no,no,no,1,acre,.5,acre,10,acre,7,50,0,0,0,30
10101108,yes,2ND HALF DEC,2ND HALF APR,<=1/2,"ANIMALSGRAZEFREELY, NO FENCING",no,7,km,no,,0,0,no,no,no,no,1,acre,500,SQ METER,5,acre,0,0,0,0,0,0
10102109,yes,2ND HALF DEC,2ND HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,12,km,no,,0,0,no,no,no,no,.5,acre,.2,acre,2,acre,0,0,0,50,0,12
10102110,yes,2ND HALF DEC,1ST HALF APR,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,18,km,no,,0,0,no,no,no,no,2.5,acre,1,acre,8,acre,22,10,0,54,0,30
10102111,yes,2ND HALF DEC,1ST HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,15,km,no,,0,0,no,no,no,no,.5,acre,.1,acre,3,acre,0,30,0,90,0,30
10102112,yes,1ST HALF DEC,1ST HALF JUN,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,10,km,no,,1,1,no,no,no,no,2,acre,1,acre,8,acre,23,0,150,0,58,70
10103114,yes,1ST HALF DEC,2ND HALF APR,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,1,km,no,,0,0,no,no,no,no,2,acre,.25,acre,4,hectare,0,0,0,0,0,20
10104116,yes,2ND HALF DEC,1ST HALF MAY,none,"ANIMALSGRAZEFREELY, NO FENCING",no,15,km,no,,0,0,no,no,no,no,2,acre,1,acre,12,acre,0,0,0,0,0,50
10104117,yes,1ST HALF DEC,1ST HALF JUN,none,"ANIMALSGRAZEFREELY, NO FENCING",no,4,km,no,,0,0,no,no,no,no,1,acre,.25,acre,6,acre,10,20,0,0,0,40
10104118,yes,2ND HALF DEC,2ND HALF APR,<=1/4,"ANIMALSGRAZEFREELY, NO FENCING",no,120,km,no,,0,0,no,no,no,no,1.5,acre,.5,acre,6,acre,0,0,0,0,36,0
