ea_id,com_cg35a,com_cg35b,com_cg35c,com_cg35c_oth,com_cg36,com_cg37
10101100,,Events that made people worse off,,,,
10101100,A,Drought,drought,,2016,ALMOST ALL
10101100,C,,,,,
10101100,C,,,,,
10101100,D,,,,,
10101100,A,arrival of Electricity,,,,
10101100,B,,,,,
10101100,,Events that made people better off,,,,
10101100,B,Free Cash for food purchase by WFP,,,,
10101100,D,,,,,
10101101,C,,,,,
10101101,D,,,,,
10101101,B,,,,,
10101101,,Events that made people worse off,,,,
10101101,,Events that made people better off,,,,
10101101,D,,,,,
10101101,A,drought,drought,,2015,1/4
10101101,A,increased subsidy recepients,,,,
10101101,C,,,,,
10101101,B,,,,,
10101102,B,,,,,
10101102,D,,,,,
10101102,C,,,,,
10101102,C,,,,,
10101102,,Events that made people better off,,,,
10101102,A,WFP Food Relief,,,,
10101102,A,Drought,drought,,2015,ALMOST ALL
10101102,D,,,,,
10101102,,Events that made people worse off,,,,
10101102,B,,,,,
10101103,A,HIGH COST OF FERTILIZER,SHARP CHANGE IN PRICES,,2016,ALMOST ALL
10101103,D,,,,,
10101103,B,POOR ROADS,OTHER BAD (SPECIFY),,2013,ALMOST ALL
10101103,C,,,,,
10101103,D,,,,,
10101103,B,,,,,
10101103,,Events that made people worse off,,,,
10101103,A,SCHOOL MAINTANANCE,,,,
10101103,C,,,,,
10101103,,Events that made people better off,,,,
10101104,C,,,,,
10101104,B,,,,,
10101104,B,,,,,
10101104,A,introduction of Technical college by Catholic church,,,,
10101104,C,,,,,
10101104,,Events that made people worse off,,,,
10101104,D,,,,,
10101104,A,drought,drought,,2015,3/4
10101104,,Events that made people better off,,,,
10101104,D,,,,,
10101105,B,,,,,
10101105,A,IMPROVEMENT OF SCHOOL,,,,
10101105,C,,,,,
10101105,D,,,,,
10101105,C,,,,,
10101105,,Events that made people worse off,,,,
10101105,B,HIGH COST OF FERTILIZER,SHARP CHANGE IN PRICES,,2016,ALMOST ALL
10101105,D,,,,,
10101105,,Events that made people better off,,,,
10101105,A,POOR ROADS,OTHER BAD (SPECIFY),,2013,ALMOST ALL
10101106,D,,,,,
10101106,C,,,,,
10101106,C,,,,,
10101106,,Events that made people better off,,,,
10101106,D,,,,,
10101106,B,,,,,
10101106,,Events that made people worse off,,,,
10101106,B,,,,,
10101106,A,Relief food,,,,
10101106,A,drought,drought,,2015,ALMOST ALL
10101107,A,MEDICAL FACILITIES,,,,
10101107,C,,,,,
10101107,,Events that made people better off,,,,
10101107,D,,,,,
10101107,B,HIGH COST OF FERTILIZER,SHARP CHANGE IN PRICES,,2016,ALMOST ALL
10101107,,Events that made people worse off,,,,
10101107,C,,,,,
10101107,D,,,,,
10101107,A,IRREGULAR RAINS,drought,,2016,ALMOST ALL
10101107,B,,,,,
10101108,,Events that made people worse off,,,,
10101108,C,,,,,
10101108,A,drought,drought,,2016,ALMOST ALL
10101108,D,,,,,
10101108,B,,,,,
10101108,A,introduction of Masaf Project,,,,
10101108,C,,,,,
10101108,,Events that made people better off,,,,
10101108,D,,,,,
10101108,B,,,,,
10102109,B,,,,,
10102109,B,,,,,
10102109,C,,,,,
10102109,,Events that made people better off,,,,
10102109,D,,,,,
10102109,,Events that made people worse off,,,,
10102109,D,,,,,
10102109,C,,,,,
10102109,A,MEDICAL FACILITIES,,,,
10102109,A,CROP FAILURES,drought,,2016,ALMOST ALL
10102110,A,World Vision Food Relief,,,,
10102110,,Events that made people better off,,,,
10102110,A,drought,drought,,2015,3/4
10102110,B,maintanance of  the road,,,,
10102110,,Events that made people worse off,,,,
10102110,C,,,,,
10102110,C,,,,,
10102110,B,,,,,
10102110,D,,,,,
10102110,D,,,,,
10102111,B,,,,,
10102111,D,,,,,
10102111,D,,,,,
10102111,C,,,,,
10102111,A,"""SCHOOL IMPROVEMENT """,,,,
10102111,,Events that made people better off,,,,
10102111,C,,,,,
10102111,,Events that made people worse off,,,,
10102111,A,HIGH FERTILIZER COST,SHARP CHANGE IN PRICES,,2016,ALMOST ALL
10102111,B,CONSTRUCTION OF SHALLOW WELLS/BOREHOLES,,,,
10102112,A,employment by water and road construction companies,,,,
10102112,B,malaria,HUMAN EPIDEMIC DISEASE,,2016,1/2
10102112,,Events that made people worse off,,,,
10102112,,Events that made people better off,,,,
10102112,D,,,,,
10102112,B,Village Banks,,,,
10102112,C,livestock diseases,LIVESTOCK DISEASE,,2015,1/2
10102112,C,,,,,
10102112,A,drought,drought,,2014,ALMOST ALL
10102112,D,,,,,
10103114,D,,,,,
10103114,A,Drought,drought,,2014,3/4
10103114,C,,,,,
10103114,A,Food relief,,,,
10103114,D,,,,,
10103114,B,,,,,
10103114,,Events that made people worse off,,,,
10103114,C,,,,,
10103114,,Events that made people better off,,,,
10103114,B,,,,,
10104116,A,Relief Money,,,,
10104116,D,,,,,
10104116,D,,,,,
10104116,C,,,,,
10104116,B,,,,,
10104116,A,drought,drought,,2014,1/4
10104116,,Events that made people better off,,,,
10104116,,Events that made people worse off,,,,
10104116,B,,,,,
10104116,C,,,,,
10104117,D,,,,,
10104117,A,HIGH COST OF FERTILIZER,SHARP CHANGE IN PRICES,,2016,ALMOST ALL
10104117,B,,,,,
10104117,,Events that made people better off,,,,
10104117,D,,,,,
10104117,C,,,,,
10104117,,Events that made people worse off,,,,
10104117,B,POOR ROADS,OTHER BAD (SPECIFY),,2013,ALMOST ALL
10104117,C,,,,,
10104117,A,CONSTRUCTION OF BOREHOLES,,,,
10104118,,Events that made people better off,,,,
10104118,C,,,,,
10104118,A,construction of primary school,,,,
10104118,A,Poor rains for years,drought,,2015,ALMOST ALL
10104118,D,,,,,
10104118,D,,,,,
10104118,B,,,,,
10104118,C,,,,,
10104118,,Events that made people worse off,,,,
10104118,B,,,,,
10105119,A,IRREGULAR RAINS,drought,,2015,ALMOST ALL
10105119,A,"""MEDICAL FACILITIES """,,,,
10105119,,Events that made people worse off,,,,
10105119,C,,,,,
10105119,B,POOR ROADS,OTHER BAD (SPECIFY),,2013,ALMOST ALL
10105119,B,,,,,
10105119,,Events that made people better off,,,,
10105119,D,,,,,
10105119,C,,,,,
10105119,D,,,,,
10105120,C,,,,,
10105120,A,Land Grab Issue that resulted in violence within the village,LOSS OF KEY SOCIAL SERVICE(S),,2015,1/2
10105120,,Events that made people worse off,,,,
10105120,C,,,,,
10105120,B,World Food Program Relief Maize distribution,,,,
10105120,A,Total Land Care goats and groundnuts Projects,,,,
10105120,,Events that made people better off,,,,
10105120,D,,,,,
10105120,D,,,,,
10105120,B,,,,,
10105121,C,,,,,
10105121,D,,,,,
10105121,D,,,,,
10105121,,Events that made people better off,,,,
10105121,C,,,,,
10105121,B,IRREGULAR RAINS,drought,,2016,ALMOST ALL
10105121,A,HIGH COST OF FERTILIZER,SHARP CHANGE IN PRICES,,2015,ALMOST ALL
10105121,A,IMPROVEMENT OF SCHOOL,,,,
10105121,B,,,,,
10105121,,Events that made people worse off,,,,
10120122,A,Relief food,,,,
10120122,,Events that made people worse off,,,,
10120122,B,,,,,
10120122,A,Drought,drought,,2014,1/4
10120122,B,,,,,
10120122,C,,,,,
10120122,C,,,,,
10120122,D,,,,,
10120122,,Events that made people better off,,,,
10120122,D,,,,,
10120123,,Events that made people better off,,,,
10120123,A,NEW EMPLOYMENT OPPORTUNITIES,,,,
10120123,C,,,,,
10120123,,Events that made people worse off,,,,
10120123,B,,,,,
10120123,D,,,,,
10120123,D,,,,,
10120123,A,HIGH COST OF FERTILIZER,SHARP CHANGE IN PRICES,,2015,ALMOST NONE
10120123,C,,,,,
10120123,B,,,,,
10201124,C,,,,,
10201124,C,,,,,
10201124,D,,,,,
10201124,A,HIGH COST OF FERTILIZER,SHARP CHANGE IN PRICES,,2016,ALMOST ALL
10201124,A,MAINTENANCE OF BOREHOLES,,,,
10201124,B,,,,,
10201124,B,FLOODS,flood,,2015,3/4
10201124,,Events that made people better off,,,,
10201124,D,,,,,
10201124,,Events that made people worse off,,,,
10201125,C,,,,,
10201125,A,Relief money,,,,
10201125,,Events that made people better off,,,,
10201125,B,,,,,
10201125,D,,,,,
10201125,,Events that made people worse off,,,,
10201125,C,,,,,
10201125,D,,,,,
10201125,B,,,,,
10201125,A,Floods,flood,,2015,1/4
10201126,B,,,,,
10201126,A,ROAD MAINTANANCE,,,,
10201126,,Events that made people worse off,,,,
10201126,D,,,,,
10201126,C,,,,,
10201126,C,,,,,
10201126,,Events that made people better off,,,,
10201126,D,,,,,
10201126,B,,,,,
10201126,A,FLOODS,flood,,2015,ALMOST ALL
10201127,C,,,,,
10201127,A,Drought that affected many households,drought,,2015,3/4
10201127,D,,,,,
10201127,C,,,,,
10201127,B,,,,,
10201127,,Events that made people worse off,,,,
10201127,A,Relief maize provided by World Vision,,,,
10201127,D,,,,,
10201127,,Events that made people better off,,,,
10201127,B,,,,,
10201128,D,,,,,
10201128,C,,,,,
10201128,B,,,,,
10201128,C,,,,,
10201128,,Events that made people better off,,,,
10201128,B,,,,,
10201128,,Events that made people worse off,,,,
10201128,D,,,,,
10201128,A,CONSTRUCTION OF BOREHOLES,,,,
10201128,A,HIGH COST OF FERTILIZER,SHARP CHANGE IN PRICES,,2016,ALMOST ALL
10201129,B,,,,,
10201129,B,cholera outbreak,HUMAN EPIDEMIC DISEASE,,2015,1/4
10201129,A,food relief,,,,
10201129,C,,,,,
10201129,D,,,,,
10201129,A,drought,drought,,2015,ALMOST ALL
10201129,D,,,,,
10201129,,Events that made people worse off,,,,
10201129,C,,,,,
10201129,,Events that made people better off,,,,
10202131,,Events that made people better off,,,,
10202131,B,,,,,
10202131,A,Nasfam Rice Project,,,,
10202131,D,,,,,
10202131,,Events that made people worse off,,,,
10202131,A,Flooding,flood,,2016,ALMOST ALL
10202131,B,World Vision Relief Project,,,,
10202131,C,,,,,
10202131,D,,,,,
10202131,C,,,,,
10203132,C,,,,,
10203132,B,,,,,
10203132,,Events that made people better off,,,,
10203132,C,,,,,
10203132,A,HIGH COST OF FERTILIZER,SHARP CHANGE IN PRICES,,2016,ALMOST ALL
10203132,B,,,,,
10203132,D,,,,,
10203132,A,"""MAINTENANCE OF SCHOOL """,,,,
10203132,,Events that made people worse off,,,,
10203132,D,,,,,
10203133,A,drought,drought,,2015,ALMOST ALL
10203133,C,,,,,
10203133,B,cholera outbreak,HUMAN EPIDEMIC DISEASE,,2015,1/2
10203133,,Events that made people better off,,,,
10203133,A,Masaf Project,,,,
10203133,B,Relief aid,,,,
10203133,,Events that made people worse off,,,,
10203133,D,,,,,
10203133,D,,,,,
10203133,C,,,,,
10203134,C,,,,,
10203134,,Events that made people worse off,,,,
10203134,A,DROUGHT,drought,,2015,ALMOST ALL
10203134,D,,,,,
10203134,B,,,,,
10203134,B,,,,,
10203134,C,,,,,
10203134,,Events that made people better off,,,,
10203134,A,ROAD MAINTANANCE,,,,
10203134,D,,,,,
10203135,A,"""Flooding """,flood,,2016,ALMOST ALL
10203135,C,,,,,
10203135,B,,,,,
10203135,C,,,,,
10203135,B,Cholera outbreak,HUMAN EPIDEMIC DISEASE,,2016,1/4
10203135,,Events that made people better off,,,,
10203135,D,,,,,
10203135,D,,,,,
10203135,,Events that made people worse off,,,,
10203135,A,Financial Support by WFP,,,,
10203136,B,,,,,
10203136,C,,,,,
