ea_id,com_ch0b,com_ch01,com_ch02,com_ch04,com_ch05,com_ch05_oth,com_ch06,com_ch07a,com_ch07b,com_ch07c,com_ch07d,com_ch07e,com_ch07f,com_ch07h,com_ch07i,com_ch07_oth,com_ch09,com_ch09_1a,com_ch09_1b,com_ch09_1c,com_ch09_1_oth,com_ch10,com_ch11,com_ch12,com_ch12_oth,com_ch13a,com_ch13b,com_ch13c,com_ch13_oth,com_ch14,com_ch14_oth,com_ch15
10101100,Road: Construction,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,no,Yes,No,No,No,No,No,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10101100,Piped Water/Boreholes/Wells: Construction,yes,yes,yes,OTHER (SPECIFY),CHURCH COMMITTEE,no,No,No,No,No,No,No,Yes,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10101101,Primary School: Maintenance/Improvement,yes,yes,yes,SCHOOL COMMITTEE,,yes,Yes,Yes,Yes,No,No,Yes,Yes,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10101102,Bridge: Maintenance,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,Yes,Yes,Yes,No,Yes,Yes,Yes,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10101103,Primary School: Maintenance/Improvement,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,No,No,No,No,Yes,0,,Addressed/Being Addressed,ngo,,,,1000000,0,,,No,Yes,No,,GROUP VILLAGE HEADMAN,,
10101104,Bridge: Construction,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,No,No,No,Yes,No,0,,To be Addressed; Response Positive,Other (Specify),,,CONSTITUENCY DEV'T FUND,5000000,0,,,No,No,No,,VILLAGE RESIDENTS,,
10101104,Road: Maintenance,yes,no,no,,,,Yes,No,No,No,Yes,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10101105,Primary School: Maintenance/Improvement,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,Yes,No,No,No,No,No,Yes,0,,To be Addressed; Response Positive,ngo,,,,700000,0,,,No,Yes,No,,VILLAGE ELDERS,,
10101106,Health Center/Clinic/Dispensary: Construction,yes,yes,yes,HEALTH COMMITTEE,,yes,Yes,No,Yes,No,No,Yes,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
10101106,Road: Maintenance,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,Yes,Yes,Yes,Yes,No,0,,Promised but Not Addressed,,,,,,,,,No,No,No,,,,
10101107,Health Center/Clinic/Dispensary: Maintenance/Improvement,yes,yes,yes,VILLAGE DEVELOPMENTCOMMITTEE,,yes,No,No,No,No,No,No,Yes,0,,Addressed/Being Addressed,ngo,,,,150000,0,,,No,Yes,No,,VILLAGE ELDERS,,
10101108,Primary School: Maintenance/Improvement,yes,yes,no,,,,No,No,Yes,No,No,No,No,0,,Not Addressed; Response Pending,,,,,,,,,No,No,No,,,,
