ea_id,com_ci0b,com_ci0b_oth,com_ci01,com_ci02,com_ci03,com_ci04,com_ci05,com_ci06,com_ci07a,com_ci07a_oth,com_ci07b,com_ci07b_oth,com_ci07c,com_ci07c_oth,com_ci08a,com_ci08a_oth,com_ci08b,com_ci08b_oth,com_ci08c,com_ci08c_oth,com_ci09a,com_ci09a_oth,com_ci09b,com_ci09b_oth,com_ci09c,com_ci09c_oth,com_ci010,com_ci011,com_ci012,com_ci12_oth,com_ci013,com_ci014
10101100,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101100,Pasture,,Yes,no,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Not Effective,no,,,no,
10101100,Forest,,Yes,yes,yes,yes,yes,no,,,,,,,No restrictions,,,,,,Confiscation of tools/products,,Use the threat of physical punishment,,,,Somewhat Effective,no,,,no,
10101100,Water Body: Specify,RIVER,Yes,no,yes,no,no,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,no,,,no,
10101100,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101101,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101101,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101101,Forest,,Yes,yes,yes,no,yes,yes,Use the threat of Fine,,,,,,No restrictions,,,,,,Use threat of fine,,Confiscation of tools/products,,,,Fully Effective,no,,,no,
10101101,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101101,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101102,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101102,Water Body: Specify,RIVER,Yes,yes,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Fully Effective,no,,,no,
10101102,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101102,Unallocated Arable Land,,Yes,yes,yes,no,yes,yes,Use the threat of Physical punishment,,Use the threat of Fine,,,,No restrictions,,,,,,Use the threat of physical punishment,,Social sanctions,,Confiscation of tools/products,,Fully Effective,no,,,no,
10101102,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101103,Unallocated Arable Land,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101103,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101103,Forest,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101103,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101103,Water Body: Specify,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101104,Pasture,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101104,Other (Specify),,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10101104,Unallocated Arable Land,,Yes,no,yes,no,yes,no,,,,,,,No restrictions,,,,,,Do nothing,,,,,,Somewhat Effective,no,,,no,
10101104,Forest,,Yes,yes,yes,no,yes,yes,Use the threat of Fine,,,,,,Time restrictions,,,,,,Use threat of fine,,Confiscation of tools/products,,,,Somewhat Effective,no,,,no,
