ea_id,com_cj0b,com_cj01,com_cj01_oth,com_cj02,com_cj03,com_cj03_oth,com_cj04,com_cj05,com_cj06
10101100,305,No,,,,,,,
10101100,306,Yes,,4,Weekly,,20,20,5
10101100,308,Yes,,6,Quarterly,,32,15,6
10101100,317,No,,,,,,,
10101100,307,Yes,,7,Monthly,,16,5,16
10101100,310,No,,,,,,,
10101100,312,Yes,,1,Monthly,,10,4,1
10101100,3302,No,,,,,,,
10101100,318,No,,,,,,,
10101100,314,No,,,,,,,
10101100,3171,Yes,,1,Monthly,,10,4,0
10101100,311,Yes,,9,Weekly,,10,5,2
10101100,301,Yes,,1,Monthly,,16,5,5
10101100,313,Yes,,1,Monthly,,9,3,0
10101100,302,No,,,,,,,
10101100,303,Yes,,8,Weekly,,15,6,2
10101100,3172,No,,,,,,,
10101100,316,Yes,,1,Monthly,,10,4,2
10101100,309,Yes,,7,Weekly,,50,20,2
10101100,304,No,,,,,,,
10101100,315,No,,,,,,,
10101101,312,Yes,,1,Monthly,,7,2,1
10101101,311,Yes,,1,Monthly,,8,4,0
10101101,306,Yes,,5,Weekly,,24,24,5
10101101,307,Yes,,6,Weekly,,40,22,34
10101101,3172,Yes,,1,Weekly,,7,2,0
10101101,305,No,,,,,,,
10101101,3302,No,,,,,,,
10101101,303,Yes,,2,Other(Specify),TWICE A WEEK,33,17,6
10101101,315,No,,,,,,,
10101101,314,Yes,,4,Weekly,,25,0,20
10101101,308,Yes,,4,Quarterly,,65,35,15
10101101,316,Yes,,1,Weekly,,9,1,0
10101101,3171,Yes,,1,Weekly,,6,2,0
10101101,304,No,,,,,,,
10101101,310,No,,,,,,,
10101101,318,No,,,,,,,
10101101,313,Yes,,1,Monthly,,9,6,0
10101101,317,No,,,,,,,
10101101,309,Yes,,4,Weekly,,72,40,21
10101101,301,Yes,,1,Monthly,,14,8,2
10101101,302,No,,,,,,,
10101102,317,No,,,,,,,
10101102,301,Yes,,1,Monthly,,10,5,1
10101102,312,Yes,,1,Monthly,,10,5,0
10101102,305,No,,,,,,,
10101102,306,Yes,,7,Weekly,,36,36,11
10101102,3302,No,,,,,,,
10101102,313,Yes,,1,Monthly,,11,6,0
10101102,307,Yes,,8,Weekly,,42,27,38
10101102,316,Yes,,1,Weekly,,10,2,0
10101102,310,No,,,,,,,
10101102,314,Yes,,3,Weekly,,29,0,22
10101102,318,No,,,,,,,
10101102,315,No,,,,,,,
10101102,308,Yes,,5,Semi-Annually,,71,40,25
10101102,309,Yes,,5,Weekly,,70,40,28
10101102,311,Yes,,1,Monthly,,9,4,0
10101102,302,No,,,,,,,
10101102,304,No,,,,,,,
10101102,3172,Yes,,1,Weekly,,10,3,0
10101102,3171,Yes,,1,Monthly,,7,3,0
10101102,303,Yes,,4,Other(Specify),DURING FARMING SEASON,43,28,9
10101103,301,Yes,,1,Quarterly,,16,5,3
10101103,305,No,,,,,,,
10101103,3172,No,,,,,,,
10101103,311,No,,,,,,,
10101103,312,Yes,,1,Monthly,,5,1,1
10101103,315,No,,,,,,,
10101103,3302,No,,,,,,,
10101103,317,No,,,,,,,
10101103,307,No,,,,,,,
10101103,302,No,,,,,,,
10101103,318,No,,,,,,,
10101103,308,No,,,,,,,
10101103,314,No,,,,,,,
10101103,3171,No,,,,,,,
10101103,309,Yes,,3,Weekly,,20,10,4
10101103,313,Yes,,1,Quarterly,,10,3,2
10101103,310,No,,,,,,,
10101103,303,No,,,,,,,
10101103,306,No,,,,,,,
10101103,304,No,,,,,,,
10101103,316,No,,,,,,,
10101104,313,Yes,,1,Weekly,,10,4,1
10101104,310,No,,,,,,,
10101104,301,Yes,,1,Monthly,,9,4,2
10101104,3302,No,,,,,,,
10101104,304,No,,,,,,,
10101104,303,Yes,,4,Monthly,,23,15,4
10101104,305,No,,,,,,,
10101104,311,Yes,,1,Monthly,,8,2,0
10101104,312,Yes,,1,Monthly,,5,2,0
10101104,314,Yes,,4,Weekly,,25,0,21
10101104,317,No,,,,,,,
10101104,308,Yes,,3,Quarterly,,40,24,10
10101104,302,Yes,,2,Monthly,,22,9,4
10101104,316,Yes,,1,Monthly,,7,2,0
10101104,3172,No,,,,,,,
10101104,315,No,,,,,,,
10101104,307,Yes,,4,Weekly,,15,5,15
10101104,309,Yes,,12,Weekly,,23,12,6
10101104,318,No,,,,,,,
10101104,3171,No,,,,,,,
10101104,306,Yes,,3,Monthly,,17,17,5
10101105,3302,No,,,,,,,
10101105,315,No,,,,,,,
10101105,305,No,,,,,,,
10101105,312,Yes,,1,Monthly,,7,3,2
10101105,318,No,,,,,,,
10101105,301,Yes,,1,Quarterly,,12,4,1
10101105,308,No,,,,,,,
10101105,316,No,,,,,,,
10101105,317,No,,,,,,,
10101105,306,No,,,,,,,
10101105,3171,No,,,,,,,
10101105,3172,No,,,,,,,
10101105,314,No,,,,,,,
10101105,307,No,,,,,,,
10101105,303,No,,,,,,,
10101105,304,No,,,,,,,
10101105,309,Yes,,4,Weekly,,20,12,3
10101105,310,No,,,,,,,
10101105,313,Yes,,1,Quarterly,,12,5,3
10101105,302,No,,,,,,,
10101105,311,No,,,,,,,
10101106,309,Yes,,5,Weekly,,120,75,36
10101106,3171,No,,,,,,,
10101106,3172,Yes,,1,Weekly,,6,2,0
10101106,310,No,,,,,,,
10101106,313,Yes,,1,Monthly,,9,4,1
10101106,305,No,,,,,,,
10101106,315,No,,,,,,,
10101106,302,No,,,,,,,
10101106,317,No,,,,,,,
10101106,301,Yes,,1,Monthly,,12,4,0
10101106,307,Yes,,6,Weekly,,30,19,27
10101106,306,Yes,,3,Weekly,,18,18,6
10101106,311,Yes,,1,Monthly,,7,3,0
10101106,314,Yes,,3,Weekly,,28,0,23
10101106,316,Yes,,1,Weekly,,8,0,2
10101106,308,Yes,,4,Other(Specify),WHEN THERE IS NEED,90,53,21
10101106,318,No,,,,,,,
10101106,303,Yes,,3,Monthly,,25,16,2
10101106,304,No,,,,,,,
10101106,312,Yes,,1,Monthly,,6,3,0
10101106,3302,No,,,,,,,
10101107,313,Yes,,1,Quarterly,,15,8,3
10101107,3171,No,,,,,,,
10101107,318,No,,,,,,,
10101107,317,No,,,,,,,
10101107,305,No,,,,,,,
10101107,303,No,,,,,,,
10101107,315,No,,,,,,,
10101107,3302,No,,,,,,,
10101107,304,No,,,,,,,
