ea_id,module_cb_startdate,module_cb_startHr,module_cb_startMin,module_cb_endHr,module_cb_endMin,module_cc_startdate,module_cc_startHr,module_cc_startMin,module_cc_endHr,module_cc_endMin,module_ce_startdate,module_ce_startHr,module_ce_startMin,module_ce_endHr,module_ce_endMin,module_cf_startdate,module_cf_startHr,module_cf_startMin,module_cf_endHr,module_cf_endMin,module_cg_startdate,module_cg_startHr,module_cg_startMin,module_cg_endHr,module_cg_endMin,module_ch_startdate,module_ch_startHr,module_ch_startMin,module_ch_endHr,module_ch_endMin,module_ci_startdate,module_ci_startHr,module_ci_startMin,module_ci_endHr,module_ci_endMin,module_cj_startdate,module_cj_startHr,module_cj_startMin,module_cj_endHr,module_cj_endMin
10101100,2016-04-23,9,48,10,1,2016-04-23,10,3,10,32,2016-04-23,10,53,11,0,2016-04-23,11,0,11,17,2016-04-23,11,17,11,25,2016-04-23,11,26,11,40,2016-04-23,11,36,11,45,2016-04-23,11,45,11,57
10101101,2017-02-07,10,16,10,27,2017-02-07,10,27,10,33,2017-02-07,10,52,10,56,2017-02-07,10,57,11,8,2017-02-07,11,9,11,14,2017-02-07,11,14,11,17,2017-02-07,11,17,11,21,2017-02-07,11,22,11,34
10101102,2016-10-13,15,39,15,46,2016-10-13,15,47,14,52,2016-10-14,15,5,15,9,2016-10-14,15,9,15,14,2016-10-14,15,14,15,19,2016-10-14,15,19,15,27,2016-10-14,15,28,15,33,2016-10-14,15,33,15,59
10101103,2017-04-23,16,15,16,26,2017-04-23,16,26,16,30,2017-04-23,16,42,16,45,2017-04-23,16,46,16,50,2017-04-23,16,51,16,54,2017-04-23,16,54,16,59,2017-04-23,16,59,17,0,2017-04-23,17,0,17,5
10101104,2016-05-23,10,53,11,11,2016-05-22,11,11,11,20,2016-05-22,11,40,11,52,2016-05-22,11,52,12,10,2016-05-22,12,11,12,16,2016-05-22,12,16,12,39,2016-05-22,12,39,12,48,2016-05-22,12,48,13,5
10101105,2017-02-25,16,17,16,24,2017-02-25,16,24,16,29,2017-02-25,16,38,16,40,2017-02-25,16,40,16,43,2017-02-25,16,43,16,46,2017-02-25,16,46,16,49,2017-02-25,16,49,16,49,2017-02-25,16,50,16,54
10101106,2016-12-21,12,29,12,36,2016-12-21,12,36,12,43,2016-12-21,12,56,13,9,2016-12-21,13,9,13,15,2016-12-21,13,17,13,25,2016-12-21,13,26,13,39,2016-12-21,13,39,13,50,2016-12-21,13,50,14,23
10101107,2017-04-28,15,29,15,37,2017-04-28,15,37,15,44,2017-04-28,15,52,15,53,2017-04-28,15,54,15,56,2017-04-28,15,56,15,59,2017-04-28,15,59,16,3,2017-04-28,16,4,16,4,2017-04-28,16,4,16,7
10101108,2016-06-28,9,12,9,37,2016-06-28,9,37,9,58,2016-06-28,10,12,10,34,2016-06-28,10,34,10,47,2016-06-28,10,48,10,55,2016-06-28,10,55,11,14,2016-06-28,11,14,11,28,2016-06-28,11,28,11,46
10102109,2017-03-14,16,10,16,19,2017-03-14,16,19,16,24,2017-03-14,16,35,16,36,2017-03-14,16,37,16,40,2017-03-14,16,40,16,43,2017-03-14,16,43,16,47,2017-03-14,16,48,16,48,2017-03-14,16,48,16,53
10102110,2016-10-15,9,2,9,12,2016-10-15,9,12,9,16,2016-10-15,9,34,9,39,2016-10-15,9,40,9,49,2016-10-15,9,50,10,1,2016-10-15,10,1,10,22,2016-10-15,10,22,10,27,2016-10-15,10,28,10,46
10102111,2017-04-04,16,17,16,24,2017-04-04,16,25,16,29,2017-04-04,16,41,16,43,2017-04-04,16,43,16,48,2017-04-04,16,48,16,52,2017-04-04,16,53,17,0,2017-04-04,17,0,17,1,2017-04-04,17,1,17,6
10102112,2016-04-30,8,20,8,24,2016-04-30,8,33,8,41,2016-04-30,8,57,9,10,2016-04-30,9,11,9,25,2016-04-30,9,29,9,46,2016-04-30,9,46,10,14,2016-04-30,10,47,10,32,2016-04-30,10,33,11,3
10103114,2016-10-04,8,4,8,10,2016-10-04,8,11,8,20,2016-10-04,8,32,8,38,2016-10-04,8,40,8,54,2016-10-04,8,55,9,4,2016-10-04,9,6,9,24,2016-10-04,9,25,9,49,2016-10-04,9,50,10,9
10104116,2016-05-28,10,52,10,59,2016-05-28,10,59,11,22,2016-05-28,11,41,11,53,2016-05-28,11,53,12,14,2016-05-28,12,14,12,23,2016-05-28,12,23,12,42,2016-05-28,12,42,12,47,2016-05-28,12,47,12,58
10104117,2017-02-21,16,18,16,26,2017-02-21,16,26,16,29,2017-02-21,16,38,16,39,2017-02-21,16,39,16,42,2017-02-21,16,43,16,47,2017-02-21,16,47,16,50,2017-02-21,16,51,16,54,2017-02-21,16,54,16,56
10104118,2016-12-23,9,11,9,29,2016-12-23,9,29,9,37,2016-12-23,14,8,14,12,2016-12-23,14,13,14,27,2016-12-23,14,27,14,35,2016-12-23,14,36,14,50,2016-12-23,14,50,15,2,2016-12-23,15,3,15,28
10105119,2017-04-25,15,53,15,58,2017-04-25,15,58,16,3,2017-04-25,16,12,16,13,2017-04-25,16,13,16,16,2017-04-25,16,17,16,19,2017-04-25,16,19,16,24,2017-04-25,16,25,16,25,2017-04-25,16,25,16,32
10105120,2016-06-16,12,34,12,49,2016-06-16,12,50,13,4,2016-06-16,13,12,13,22,2016-06-16,13,23,13,44,2016-06-16,13,44,13,55,2016-06-16,13,55,14,21,2016-06-16,14,22,14,35,2016-06-16,14,35,14,51
10105121,2017-03-11,16,51,17,3,2017-03-11,17,3,17,8,2017-03-11,17,19,17,20,2017-03-11,17,20,17,24,2017-03-11,17,25,17,30,2017-03-11,17,30,17,33,2017-03-11,17,33,17,34,2017-03-11,17,34,17,42
10120122,2017-02-04,8,57,9,8,2017-02-04,9,8,9,18,2017-02-04,9,42,9,49,2017-02-04,9,50,10,5,2017-02-04,10,5,10,12,2017-02-04,10,12,10,15,2017-02-04,10,15,10,17,2017-02-04,10,17,10,34
10120123,2017-04-03,16,9,16,18,2017-04-03,16,18,16,22,2017-04-03,16,32,16,33,2017-04-03,16,34,16,38,2017-04-03,16,38,16,40,2017-04-03,16,41,16,45,2017-04-03,16,45,16,45,2017-04-03,16,45,16,50
10201124,2017-02-01,16,22,16,34,2017-02-01,16,34,16,37,2017-02-01,16,52,16,55,2017-02-01,16,55,17,0,2017-02-01,17,0,17,3,2017-02-01,17,4,17,14,2017-02-01,17,14,17,14,2017-02-01,17,14,17,17
