case_id,hhid,fs_b01a,fs_b01b,fs_b01c,fs_b01d,fs_b01e,fs_b01f,fs_b01g,fs_b01h,fs_b01i,fs_b01j,fs_b01k,fs_b01l,fs_b02
102011270100,08b1e1c98b2b4c85a863b56e4e3ab2d7,H,H,H,L,L,L,N,N,N,N,H,H,yes
102031320075,4f76bfccfc26498e9661200ea2fc687c,L,L,L,N,N,H,H,H,N,N,N,N,yes
102031320106,0cfbbe3f557a464a90fdc38805614160,L,L,L,N,N,H,H,N,N,N,N,N,yes
102031320153,942ac3427b06463e9f8d6805d599ffc8,L,L,N,N,N,H,H,H,N,N,N,N,yes
102031320185,1da524d8ee2a41dcb2d9830593563c53,N,L,L,N,N,H,H,H,N,N,N,N,yes
102031320216,1818111553b34ead89842be2dff8ccff,N,N,L,L,L,L,L,H,H,H,H,N,yes
102031320232,98ab014b0be045b6a69cb6f9ae8b1ed1,H,H,H,N,N,N,L,L,L,L,H,H,yes
102031330272,f8b880f4fc3a479587230cfaed141480,L,L,H,N,N,N,H,H,N,N,N,H,yes
102031350022,beb1efb5f918446194ffe54bafc17367,N,H,H,H,N,N,N,L,L,N,N,N,yes
102031350054,e9c575aa858b4af8bfa4ed2a76fea52b,N,N,N,N,L,L,H,H,H,H,N,N,yes
102031360139,7ca7543c0c7948ddad57a7b65c7f5806,H,H,H,H,H,H,N,L,L,L,H,H,yes
102031360249,b8b148db553145a9a68e399f5e89e422,N,N,N,N,N,H,H,N,N,L,L,L,yes
102031360271,70ab9300d1d7492790de8ca0837e4af1,H,H,H,H,N,N,L,L,L,L,L,H,yes
102041390043,4904a664213a4720bff9919bcd654b1f,H,N,L,L,N,N,N,N,N,N,N,H,yes
102041390094,faeda9d101104654ba0ba10f7bda070f,H,H,N,L,L,L,L,L,N,N,N,N,yes
102041400017,0e66af7d72d34ecba01e7125b699982c,N,H,H,H,H,N,N,N,L,L,N,N,yes
102041400073,3533c366067d4e8eb8224aaf3185e921,N,N,H,H,H,N,N,N,N,N,L,L,yes
102041400129,e99c4f24ae1a4b4c88b15e84a509faed,H,H,H,H,H,H,N,N,L,L,L,L,yes
102041400259,7885799dcdd542c99359b6b2eaaa51ac,H,H,H,H,L,L,L,N,N,N,N,H,yes
102051430012,6f8a942d7293484088b4f7a1712e2488,H,H,H,H,L,L,L,L,N,N,N,H,yes
102051430036,f90d55d471e643f5b060ae457d032d00,H,H,N,N,L,L,N,N,N,N,N,H,yes
102051430051,95af18dce6774558b4c8189c8ece2dc8,H,H,H,N,N,L,L,N,N,N,N,H,yes
102051430063,f1b3be26069c489d8d14c57518101408,H,H,H,H,L,L,L,L,N,N,N,H,yes
102051430101,6c1d67be72734fa6bc1262795e6dfeda,H,H,H,L,L,L,L,N,N,N,N,H,yes
102051430113,947cb04fcc36485784709ffea38208bd,H,H,N,N,L,L,L,N,N,N,N,H,yes
102051430164,b38d57ceadc649fb9d65cab43fd11ef0,H,H,N,N,N,L,L,N,N,N,N,N,yes
102051430225,6acff8e3c9bf49fe8e234bbfa1418ced,H,H,N,N,N,L,L,N,N,N,N,H,yes
102051430237,01ed4b0ebb174ce2b6ad24a2171b81f8,H,H,H,H,N,L,L,N,N,N,N,N,yes
102051430249,7354428d3dc54a6dbd1345984caa5391,H,H,H,N,N,N,L,L,L,L,L,H,yes
102051430261,6552bf2e438f4d41b03bff392be5ae6e,N,H,H,H,L,L,L,N,N,N,N,N,yes
102051440026,c4110f608f2a4f339cd3bf50cc4e3e82,L,L,L,L,N,N,N,H,H,H,N,N,yes
103011500077,9a6ef6edf7554404b515bc38af73fe89,L,L,L,L,L,L,L,L,H,H,H,N,no
103011510023,398626a3b4e24a01bb6e17a63f4d7b78,N,N,N,N,L,L,L,N,N,H,H,H,no
103041550097,567c55b2fade45ca9224c7e045c6faf2,H,H,H,H,H,N,N,L,L,L,N,N,yes
103041550161,37d827493097455584995cea49b0c3a0,N,H,N,L,L,N,N,N,N,N,N,N,yes
103041550225,bd303448e341418babe957994438e3a4,L,N,N,H,N,N,N,H,N,N,N,H,no
103041550332,334ca9c812914080afc3887e19b94ca9,L,N,H,H,H,H,H,H,H,H,L,L,yes
103041560011,5facd51c70be45edba22c3dc65633cbf,H,H,H,H,H,H,L,L,L,L,L,L,no
103051570327,76a15f5cbf344a57b0b4ab3a0746fc8e,H,H,H,N,N,N,N,N,L,L,L,N,yes
103051580104,524e5e1613a64298a6f8337b731da874,N,N,H,H,L,L,N,N,N,N,N,N,no
103051580253,15d3528a60f549929bcbe78eb3deafc7,N,N,L,N,N,N,N,H,H,N,N,N,no
103061590073,61bb91404e264119a579d63aed5ba43d,N,N,L,L,L,L,H,H,H,H,N,N,yes
103061590125,ab50d5001869497fb6ae85e1f928e869,L,L,L,N,H,H,H,H,N,N,N,N,yes
103061590150,a729399a66b14db8b8a00c1e2d9148f6,N,L,L,L,N,N,N,H,H,H,N,N,yes
103061600033,40c946603a674215878b8d31828dd6c0,N,N,N,H,H,H,H,L,L,L,N,N,yes
103061600056,1859860260824f6689c4bf15a6b2eb6e,L,L,L,H,H,H,H,H,H,N,N,N,yes
103061600078,c26141cbc5174e96904b395bcc54366c,N,N,L,H,H,H,H,H,N,L,L,L,yes
103061600180,c4f3a71f569c44a1b19069c09762f14e,L,L,N,N,N,N,N,H,H,H,N,L,yes
103061600202,6feae0b98ff447729ed539e1ec2ba95c,H,H,H,L,N,N,N,L,L,H,H,H,yes
103071610015,7a6ae563306b4cbdab5e1c00de69dc7a,H,N,N,N,N,N,N,N,N,L,L,H,yes
103071610027,1dfe07332f63475f9557d4e4018207bc,N,N,N,N,H,H,H,N,L,L,L,N,yes
103071610040,4465372f30494d5fbcc4764cd5cab555,H,H,N,N,N,N,H,L,N,L,N,H,yes
103071610053,d0e24b08e3274e0e98030b040887bf4e,H,H,L,L,L,L,L,N,N,N,N,H,yes
103081620014,d8b1edfeb6264f65b96d57c6121fc0a1,H,H,H,L,L,L,N,N,N,N,N,N,yes
103081620028,219b04bf89e54900b3b05477279ba185,L,L,L,L,N,N,N,N,H,H,H,N,yes
103081620042,5f4bc82d7ed94bebb62dfe3db9e6afae,N,N,N,L,L,L,N,H,H,H,H,N,yes
103081620085,109b0cdebbaf4170b6e59557684c2ce2,N,H,H,H,N,L,N,L,N,H,N,N,no
103081620098,b67cb8fcd273432aaadb42f1b549711a,H,H,N,H,N,N,N,L,L,N,N,N,yes
103081620127,e8a47dd94eb8405f884217260c58ab30,N,N,N,L,L,H,N,N,H,N,N,N,no
103081620184,f2569170459943dc8867c31b7e1e7974,H,N,N,N,N,N,N,N,N,L,H,H,yes
103081620198,2ce39e2d4a68423eb6eba403c0f41ff7,N,N,N,N,L,L,L,N,H,H,H,N,yes
103081620212,bcc7ea73dd704eb3a3354f964cb1523a,L,L,N,N,N,N,N,H,H,H,N,L,no
103081620268,031e4883262d4934bcac67e031770853,L,L,L,L,L,L,L,L,H,H,H,N,yes
103081620295,27dc24a691b6480cbd6753766d00754a,H,L,L,L,L,L,L,L,L,H,H,N,yes
103091630065,f66081fcd5754c73bb04ed9348cf4e55,N,N,N,H,H,H,L,L,L,L,N,N,yes
103091640104,b9c94e08eab045e2aa3573e8682e065d,N,L,L,L,H,H,H,N,N,N,N,N,no
103091640136,769d9986929f45169fc472563bac5523,H,H,H,L,L,L,L,L,N,N,H,N,no
103091640150,9f4acc45075e445390de3771cac29b10,H,H,H,H,L,L,L,L,L,L,N,N,yes
103091640211,bc3bce638161477592d3ea6fca0c817e,N,N,N,N,H,H,H,N,N,L,L,L,yes
103091640225,440104333e2e46afb69b58735a15ce1d,H,N,H,N,N,L,N,N,H,N,N,N,yes
103091640254,3df550fb47554460bd794cd44f989aa2,N,N,N,H,H,L,L,N,N,N,N,N,yes
103121660085,b8ae7be8d7ac456c8c4363c3172a0cbd,L,L,N,N,N,N,N,N,N,H,H,N,no
103121670149,d8a58ec5e522491eb3fbd29b26c8a815,N,H,N,H,N,L,N,N,N,N,N,N,no
103121680279,6722c5108f494fa7b2129ba5366656d9,L,L,L,L,L,L,L,N,N,H,H,H,yes
103121680364,23be6551653a4a0284ec5ef0a5f0b383,N,N,N,L,L,L,L,H,H,H,H,H,yes
103121690211,a7a96247cbd74fb3887dcb4745d1a436,N,N,L,L,H,H,N,N,N,N,N,N,yes
103201700023,200abe65cf81492996fb536cdba870de,H,N,N,L,N,N,N,N,H,H,N,N,yes
103201700045,922e3d8ad8584509943cdf1e7369d496,H,L,L,L,L,L,L,L,N,N,H,H,yes
103201700057,5df913186e364fe2aae62230c04193c9,N,N,N,N,N,H,H,H,H,L,L,L,yes
103201700068,84be51f327394a3a8e5a06374264eba1,L,L,L,L,N,N,N,H,H,H,H,H,yes
103201700079,9977f1d5d6f7420da34b676ad1f9bf0f,N,N,N,N,N,H,H,H,N,N,L,L,yes
103201700102,48d11b47d14a4d2a855f5fec1c8e8cd8,L,N,N,N,N,N,N,H,H,H,N,L,yes
103201700159,d4b20eee007e44c0a28d773f16c41258,L,L,L,N,L,N,N,H,H,H,N,N,yes
103201700170,06cd9a308c6d4a309d1f2ee191d511e8,N,N,N,N,N,L,L,N,H,H,N,N,yes
103201700193,6bf41810b584418c9e9f51c0b46c6282,L,L,N,N,N,N,H,H,H,H,L,L,yes
103201700204,a5ae70e5fa064337815355c972f70c3f,H,L,L,L,N,N,N,N,H,H,H,H,yes
104021810008,1e0aebd7b0334d81963cceb98abc2b64,N,N,N,N,L,L,L,H,H,H,N,N,yes
104021810017,69fe1296e62643ae831589db3e368cee,N,N,N,L,L,N,N,H,H,N,N,N,yes
104021810025,345271d5f42d4bb68cbefd4bc5fe165a,L,L,L,N,N,N,N,H,H,H,N,N,yes
104021810034,51d6adec32b04948af8fdfc2d7cd5ce9,L,L,N,N,N,H,H,H,N,N,N,L,yes
104021810042,3ac5a8e86df9427f905e18c85060093b,N,N,N,L,L,L,L,N,H,H,H,N,yes
104021810075,33d72c15c22e4193a22f89d6087978f6,N,N,N,N,N,L,L,L,N,N,N,H,yes
104021810084,6d8dfc681c3247a2bd049133392cf5f5,H,H,H,N,N,H,H,L,L,L,L,H,yes
104021810109,572dbe8173894e32b723538056173285,N,N,N,L,L,L,L,L,H,H,H,N,yes
104021810117,df0b43e26caa4c2fbd8422b108fbbede,H,H,N,N,N,L,L,L,L,N,N,H,yes
104021810158,e388d90053af4754844fdaf89d74a477,H,H,H,N,N,N,N,L,L,L,H,H,yes
104021810175,2a587a238d7248f6bb0505a7657a9ca2,N,N,N,L,L,L,N,N,H,H,N,N,yes
105011970059,025aa6c330234024a159947a74a27cb7,H,H,H,L,L,L,H,H,H,L,N,N,yes
105022000029,a2bf6c35fdcd42c69a5c5d4e4ce498ec,L,L,H,H,L,L,N,H,H,H,H,N,no
