case_id,hhid,pid,fs_c00,fs_c00f,fs_c01a,fs_c01b,fs_c01c,fs_c00f1,fs_c02a,fs_c02b,fs_c02c,fs_c00f2,fs_c03a,fs_c03b,fs_c03c,fs_c00f3,fs_c04a,fs_c04b,fs_c04c
102011270100,08b1e1c98b2b4c85a863b56e4e3ab2d7,1,yes,yes,12,4,10,no,,,,yes,12,1,1,no,,,
102011270100,08b1e1c98b2b4c85a863b56e4e3ab2d7,2,no,,,,,,,,,,,,,,,,
102011270100,08b1e1c98b2b4c85a863b56e4e3ab2d7,3,no,,,,,,,,,,,,,,,,
102031320075,4f76bfccfc26498e9661200ea2fc687c,1,no,,,,,,,,,,,,,,,,
102031320075,4f76bfccfc26498e9661200ea2fc687c,2,yes,no,,,,no,,,,no,,,,yes,3,7,7
102031320075,4f76bfccfc26498e9661200ea2fc687c,3,no,,,,,,,,,,,,,,,,
102031320075,4f76bfccfc26498e9661200ea2fc687c,4,no,,,,,,,,,,,,,,,,
102031320075,4f76bfccfc26498e9661200ea2fc687c,5,no,,,,,,,,,,,,,,,,
102031320075,4f76bfccfc26498e9661200ea2fc687c,6,no,,,,,,,,,,,,,,,,
102031320075,4f76bfccfc26498e9661200ea2fc687c,7,no,,,,,,,,,,,,,,,,
102031320075,4f76bfccfc26498e9661200ea2fc687c,8,no,,,,,,,,,,,,,,,,
102031320075,4f76bfccfc26498e9661200ea2fc687c,9,no,,,,,,,,,,,,,,,,
102031320106,0cfbbe3f557a464a90fdc38805614160,1,no,,,,,,,,,,,,,,,,
102031320106,0cfbbe3f557a464a90fdc38805614160,2,yes,no,,,,no,,,,no,,,,yes,4,5,7
102031320106,0cfbbe3f557a464a90fdc38805614160,3,no,,,,,,,,,,,,,,,,
102031320106,0cfbbe3f557a464a90fdc38805614160,4,no,,,,,,,,,,,,,,,,
102031320106,0cfbbe3f557a464a90fdc38805614160,5,no,,,,,,,,,,,,,,,,
102031320106,0cfbbe3f557a464a90fdc38805614160,6,no,,,,,,,,,,,,,,,,
102031320106,0cfbbe3f557a464a90fdc38805614160,7,no,,,,,,,,,,,,,,,,
102031320106,0cfbbe3f557a464a90fdc38805614160,8,no,,,,,,,,,,,,,,,,
102031320153,942ac3427b06463e9f8d6805d599ffc8,1,no,,,,,,,,,,,,,,,,
