case_id,hhid,Fishing_GearID,fs_d01a,fs_d01b,fs_d02,fs_d03,fs_d04,fs_d05_filter,fs_d05,fs_d06_filter,fs_d06
102011270100,08b1e1c98b2b4c85a863b56e4e3ab2d7,Usipa (mosquito) net,yes,,1,0,50000,no,,no,
102011270100,08b1e1c98b2b4c85a863b56e4e3ab2d7,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,1500,yes,1,no,
102031320153,942ac3427b06463e9f8d6805d599ffc8,Usipa (mosquito) net,yes,,1,0,200000,yes,15,no,
102031320185,1da524d8ee2a41dcb2d9830593563c53,Usipa (mosquito) net,yes,,1,0,275000,no,,no,
102031320216,1818111553b34ead89842be2dff8ccff,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,12000,yes,12000,no,
102031320232,98ab014b0be045b6a69cb6f9ae8b1ed1,Usipa (mosquito) net,yes,,1,1,50000,no,,no,
102031330272,f8b880f4fc3a479587230cfaed141480,Usipa (mosquito) net,yes,,1,0,500,yes,24,no,
102031350022,beb1efb5f918446194ffe54bafc17367,Mbedza (long /hand line),yes,,1,1,2000,yes,1,no,
102031350054,e9c575aa858b4af8bfa4ed2a76fea52b,Usipa (mosquito) net,yes,,1,1,50000,no,,no,
102031360139,7ca7543c0c7948ddad57a7b65c7f5806,Chavi (castnet),yes,,1,0,450000,no,,no,
102031360249,b8b148db553145a9a68e399f5e89e422,Usipa (mosquito) net,yes,,1,1,265000,no,,no,
102031360271,70ab9300d1d7492790de8ca0837e4af1,Mbuka/ntaya/ukonde (gillnet),yes,,2,2,13500,no,,no,
102041390043,4904a664213a4720bff9919bcd654b1f,Chavi (castnet),yes,,1,1,200,yes,6,no,
102041400017,0e66af7d72d34ecba01e7125b699982c,Chavi (castnet),yes,,1,1,30000,no,,no,
102041400073,3533c366067d4e8eb8224aaf3185e921,Chavi (castnet),yes,,1,0,30000,no,,yes,10000
102041400259,7885799dcdd542c99359b6b2eaaa51ac,Usipa (mosquito) net,yes,,10,10,8500,no,,no,
102051430012,6f8a942d7293484088b4f7a1712e2488,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,186000,no,,no,
102051430051,95af18dce6774558b4c8189c8ece2dc8,"Other, specify",yes,MASCO HUNGU ( Mosquito ) Net,1,1,9500,no,,no,
102051430063,f1b3be26069c489d8d14c57518101408,Chavi (castnet),yes,,1,2,2500,yes,1,no,
102051430237,01ed4b0ebb174ce2b6ad24a2171b81f8,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,40000,yes,60,no,
102051430249,7354428d3dc54a6dbd1345984caa5391,Usipa (mosquito) net,yes,,2,2,700,no,,no,
102051430261,6552bf2e438f4d41b03bff392be5ae6e,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,60000,yes,45000,no,
102051440026,c4110f608f2a4f339cd3bf50cc4e3e82,Chavi (castnet),yes,,1,0,30000,no,,yes,25000
103041550097,567c55b2fade45ca9224c7e045c6faf2,Kambuzi (beach) seine,yes,,1,1,50000,no,,no,
103041550161,37d827493097455584995cea49b0c3a0,Mbuka/ntaya/ukonde (gillnet),,,1,0,40000,no,,no,
103051570327,76a15f5cbf344a57b0b4ab3a0746fc8e,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,10000,no,,no,
103051580104,524e5e1613a64298a6f8337b731da874,Mbedza (long /hand line),yes,,55,75,1200,no,,no,
103061590073,61bb91404e264119a579d63aed5ba43d,Mbedza (long /hand line),yes,,50,50,2000,no,,no,
103061590125,ab50d5001869497fb6ae85e1f928e869,Usipa (mosquito) net,yes,,1,1,200000,no,,no,
103071610015,7a6ae563306b4cbdab5e1c00de69dc7a,Mbuka/ntaya/ukonde (gillnet),,,1,1,200000,yes,1,no,
103071610040,4465372f30494d5fbcc4764cd5cab555,Mbedza (long /hand line),yes,,3,3,580,no,,no,
103071610053,d0e24b08e3274e0e98030b040887bf4e,Mbuka/ntaya/ukonde (gillnet),,,1,1,0,no,,no,
103081620085,109b0cdebbaf4170b6e59557684c2ce2,Mbedza (long /hand line),yes,,580,580,1200,no,,no,
103091640211,bc3bce638161477592d3ea6fca0c817e,Usipa (mosquito) net,yes,,1,1,20000,no,,no,
103091640225,440104333e2e46afb69b58735a15ce1d,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,80000,no,,no,
103121670149,d8a58ec5e522491eb3fbd29b26c8a815,Mbedza (long /hand line),yes,,2,2,100,no,,no,
103201700045,922e3d8ad8584509943cdf1e7369d496,Mbuka/ntaya/ukonde (gillnet),yes,,3,3,30000,yes,1,no,
103201700057,5df913186e364fe2aae62230c04193c9,Mbedza (long /hand line),yes,,1,1,12000,no,,no,
103201700204,a5ae70e5fa064337815355c972f70c3f,Mbedza (long /hand line),yes,,900,900,2500,yes,300,no,
104021810025,345271d5f42d4bb68cbefd4bc5fe165a,Usipa (mosquito) net,yes,,1,1,32000,no,,no,
104021810034,51d6adec32b04948af8fdfc2d7cd5ce9,Usipa (mosquito) net,yes,,1,1,500,no,,no,
104021810109,572dbe8173894e32b723538056173285,Usipa (mosquito) net,yes,,1,0,4000,no,,yes,6000
104021810117,df0b43e26caa4c2fbd8422b108fbbede,Usipa (mosquito) net,yes,,38,4,1200,no,,no,
104021810158,e388d90053af4754844fdaf89d74a477,"Other, specify",yes,CHILEPA,1,1,45000,no,,no,
104031830106,2d4dfd83df2240289ed6e9225a90ba76,Mbedza (long /hand line),yes,,2,2,100,yes,2,no,
105011970059,025aa6c330234024a159947a74a27cb7,Usipa (mosquito) net,yes,,2,2,500,yes,1,no,
105011970059,025aa6c330234024a159947a74a27cb7,Mbedza (long /hand line),yes,,2,2,50,no,,no,
105011970059,025aa6c330234024a159947a74a27cb7,Mono (fish traps),yes,,5,5,5000,no,,no,
106012200014,349e1d76d94747adb42511ccac7c03b4,Usipa (mosquito) net,yes,,3,3,20000,no,,no,
106012200014,349e1d76d94747adb42511ccac7c03b4,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,30000,no,,no,
106012200051,f03e120c8efa4a708c1f617c5ac7771f,Usipa (mosquito) net,yes,,1,1,150000,no,,no,
106012200067,a570550ddf1b4f91be1b016fa3c1bc94,Usipa (mosquito) net,yes,,1,1,35000,no,,no,
106012200067,a570550ddf1b4f91be1b016fa3c1bc94,Mbedza (long /hand line),yes,,50,50,10000,no,,no,
106012200074,0fefe02983d54c1e9c34e892cfc36aca,Usipa (mosquito) net,yes,,2,2,30000,no,,no,
106012200103,a402e1330a0a49d9af436d82ddc4a2ad,Usipa (mosquito) net,yes,,1,1,50000,no,,no,
106012200103,a402e1330a0a49d9af436d82ddc4a2ad,Mbedza (long /hand line),yes,,2,2,2000,no,,no,
106012200103,a402e1330a0a49d9af436d82ddc4a2ad,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,120000,no,,no,
106012200111,f408e6986d064a479badfe445c059b10,Usipa (mosquito) net,yes,,2,0,50000,no,,yes,30000
106012200111,f408e6986d064a479badfe445c059b10,Mbedza (long /hand line),yes,,2,2,6000,no,,no,
106012200111,f408e6986d064a479badfe445c059b10,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,25000,no,,no,
106012200118,7b0eb61063ce4c39a5910d7811a4f80a,Mbuka/ntaya/ukonde (gillnet),yes,,1,0,750,no,,yes,2500
106012200140,a40dfdd1423a4301adda69279487b612,Usipa (mosquito) net,yes,,1,0,30000,no,,no,
106012200154,15301a838151412593a5aaa0a9ee3dd4,Mbuka/ntaya/ukonde (gillnet),yes,,2,2,750,yes,2,no,
106012210045,2034b55a41de4b928623efb78b9444b8,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,100000,no,,no,
