case_id,hhid,fs_d14a,fs_d14b,fs_d14c,fs_d14d,fs_d15,fs_d16a,fs_d16b,fs_d17,fs_d18a,fs_d18b,fs_d18c,fs_18d,fs_d18e,fs_d18f,fs_d19,fs_d20a,fs_d20b,fs_d21a,fs_d21b,fs_d22,fs_d23,fs_d24a,fs_d24b
102011270100,08b1e1c98b2b4c85a863b56e4e3ab2d7,4,12,0,0,no,,,yes,1,LARGE BASKET,,1,LARGE BASKET,,no,,,0,0,no,,,
102031320075,4f76bfccfc26498e9661200ea2fc687c,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
102031320106,0cfbbe3f557a464a90fdc38805614160,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
102031320153,942ac3427b06463e9f8d6805d599ffc8,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
102031320185,1da524d8ee2a41dcb2d9830593563c53,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
102031320216,1818111553b34ead89842be2dff8ccff,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
102031320232,98ab014b0be045b6a69cb6f9ae8b1ed1,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
102031330272,f8b880f4fc3a479587230cfaed141480,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
102031350022,beb1efb5f918446194ffe54bafc17367,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
102031350054,e9c575aa858b4af8bfa4ed2a76fea52b,0,0,0,0,no,,,no,,,,,,,no,,,0,0,yes,gave a friend  who helped to dry the fish,500,week
102031360139,7ca7543c0c7948ddad57a7b65c7f5806,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
102031360249,b8b148db553145a9a68e399f5e89e422,5,11,0,0,yes,40000,0,no,,,,,,,no,,,4000,0,no,,,
102031360271,70ab9300d1d7492790de8ca0837e4af1,1,20,0,0,no,,,no,,,,,,,yes,15000,0,0,0,no,,,
102041390043,4904a664213a4720bff9919bcd654b1f,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
102041390094,faeda9d101104654ba0ba10f7bda070f,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
102041400017,0e66af7d72d34ecba01e7125b699982c,0,0,2,16,no,,,yes,1,10 KG BAG,,1,10 KG BAG,,no,,,0,0,no,,,
102041400073,3533c366067d4e8eb8224aaf3185e921,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
102041400129,e99c4f24ae1a4b4c88b15e84a509faed,12,24,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
102041400259,7885799dcdd542c99359b6b2eaaa51ac,1,0,0,0,no,,,no,,,,,,,yes,10000,0,0,0,no,,,
102051430012,6f8a942d7293484088b4f7a1712e2488,1,16,0,0,no,,,no,,,,,,,yes,15000,0,0,0,no,,,
102051430036,f90d55d471e643f5b060ae457d032d00,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
102051430051,95af18dce6774558b4c8189c8ece2dc8,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
102051430063,f1b3be26069c489d8d14c57518101408,1,20,0,0,no,,,yes,1,LARGE BASKET,,0,SMALL BASKET,,no,,,0,0,no,,,
102051430101,6c1d67be72734fa6bc1262795e6dfeda,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
102051430113,947cb04fcc36485784709ffea38208bd,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
102051430164,b38d57ceadc649fb9d65cab43fd11ef0,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
102051430225,6acff8e3c9bf49fe8e234bbfa1418ced,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
102051430237,01ed4b0ebb174ce2b6ad24a2171b81f8,1,15,0,0,no,,,no,,,,,,,yes,2000,0,0,0,no,,,
102051430249,7354428d3dc54a6dbd1345984caa5391,4,16,0,0,no,,,no,,,,,,,yes,100000,0,0,0,no,,,
102051430261,6552bf2e438f4d41b03bff392be5ae6e,1,12,0,0,no,,,yes,12,LARGE BASKET,,1,LARGE BASKET,,no,,,0,0,yes,"""net mending """,4000,season
102051440026,c4110f608f2a4f339cd3bf50cc4e3e82,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103011500077,9a6ef6edf7554404b515bc38af73fe89,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103011510023,398626a3b4e24a01bb6e17a63f4d7b78,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103041550097,567c55b2fade45ca9224c7e045c6faf2,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103041550161,37d827493097455584995cea49b0c3a0,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103041550225,bd303448e341418babe957994438e3a4,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103041550332,334ca9c812914080afc3887e19b94ca9,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103041560011,5facd51c70be45edba22c3dc65633cbf,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
103051570327,76a15f5cbf344a57b0b4ab3a0746fc8e,1,8,0,0,yes,8000,0,no,,,,,,,no,,,0,0,no,,,
