case_id,hhid,fs_e01,fs_e02,fs_e02_oth,fs_e03,fs_e04a,fs_e04b,fs_e04c,fs_e04d,fs_e04e,fs_e04f,fs_e04g,fs_e04h,fs_e04i,fs_e04j,fs_e04k,fs_e05a,fs_e05b,fs_e06a,fs_e06b,fs_e06c,fs_e06d,fs_e06e,fs_e06f,fs_e06g,fs_e06h,fs_e06i,fs_e06j,fs_e07a,fs_e07b,fs_e08a,fs_e08b,fs_e08c,fs_e08d,fs_e08e,fs_e08f,fs_e08g,fs_e08h,fs_e08i,fs_e08j,fs_e08k,fs_e08l,fs_e09,fs_e10,fs_e11a,fs_e11b,fs_e11c,fs_e11d,fs_e11e,fs_e11f,fs_e11g,fs_e11h,fs_e11i,fs_e11j,fs_e12,fs_e13a,fs_e13b,Fish_SpeciesID
102011270100,08b1e1c98b2b4c85a863b56e4e3ab2d7,yes,usipa,,10,50,LARGE BASKET,,fresh,,no,,,,,,500,,500,LARGE BASKET,,fresh,,500,LARGE BASKET,,fresh,,"YES, THE FIGURES MATCHED",,40,LARGE BASKET,,fresh,,6500,2,LARGE BASKET,,fresh,,6500,10,no,1,LARGE BASKET,,fresh,,1,LARGE BASKET,,SUN-DRIED,,1/4,"YES, THE FIGURES MATCHED",,
102011270100,08b1e1c98b2b4c85a863b56e4e3ab2d7,yes,aggregated,,3,9,LARGE BASKET,,fresh,,no,,,,,,27,,30,LARGE BASKET,,fresh,,30,LARGE BASKET,,fresh,,"YES, THE FIGURES MATCHED",,25,LARGE BASKET,,fresh,,8000,2,LARGE BASKET,,fresh,,8000,3,yes,10,piece,,fresh,,3,piece,,SUN-DRIED,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
102031320153,942ac3427b06463e9f8d6805d599ffc8,yes,usipa,,3,5,OTHER (SPECIFY),"""10 LITRES PALE """,fresh,,no,,,,,,15,,15,OTHER (SPECIFY),"""10 litres pale """,fresh,,15,OTHER (SPECIFY),"""10 litres pale """,fresh,,"YES, THE FIGURES MATCHED",,14,OTHER (SPECIFY),"""10 litres pale """,fresh,,2000,14,OTHER (SPECIFY),"""10 litres pale """,fresh,,28000,3,yes,2,OTHER (SPECIFY),"""10 litres pale """,fresh,,2,OTHER (SPECIFY),,OTHER (SPECIFY),"""10 litres pale """,1/4,"YES, THE FIGURES MATCHED",,
102031320185,1da524d8ee2a41dcb2d9830593563c53,yes,usipa,,6,3,OTHER (SPECIFY),"""10 litres pale """,fresh,,no,,,,,,18,,18,OTHER (SPECIFY),"""10 litres pale """,fresh,,18,OTHER (SPECIFY),"""10 litres pale """,fresh,,"YES, THE FIGURES MATCHED",,16,OTHER (SPECIFY),"""10 litres pale """,fresh,,2500,16,OTHER (SPECIFY),10,fresh,,2500,6,no,2,OTHER (SPECIFY),"""10 litres pale """,fresh,,2,OTHER (SPECIFY),,fresh,,1/4,"YES, THE FIGURES MATCHED",,
102031320216,1818111553b34ead89842be2dff8ccff,yes,other,"""GONG'O """,15,5,OTHER (SPECIFY),10 litre,fresh,,no,,,,,,75,,75,OTHER (SPECIFY),"""10 litre pail """,fresh,,0,LARGE BASKET,,fresh,,"YES, THE FIGURES MATCHED",,4,OTHER (SPECIFY),"""10 litre pail """,fresh,,3000,3,OTHER (SPECIFY),"""10 litre pail """,fresh,,4000,15,yes,1,OTHER (SPECIFY),"""10 litre pail """,fresh,,1,OTHER (SPECIFY),,fresh,,1/4,"YES, THE FIGURES MATCHED",,
102031320232,98ab014b0be045b6a69cb6f9ae8b1ed1,yes,usipa,,20,120,OTHER (SPECIFY),"""10 litre pail """,fresh,,no,,,,,,2400,,2400,OTHER (SPECIFY),"""10 litre pail """,fresh,,0,OTHER (SPECIFY),"""10 litre pail """,fresh,,"YES, THE FIGURES MATCHED",,90,OTHER (SPECIFY),"""10 litre pail """,fresh,,4000,0,OTHER (SPECIFY),"""10 litre pail """,fresh,,5000,20,yes,2,OTHER (SPECIFY),"""10 litre pail """,fresh,,0,OTHER (SPECIFY),,SUN-DRIED,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
102031330272,f8b880f4fc3a479587230cfaed141480,yes,usipa,.,30,0,SMALL BASKET,,fresh,,no,,,,,,180,,180,SMALL BASKET,,fresh,,180,SMALL BASKET,,fresh,,"YES, THE FIGURES MATCHED",,10,SMALL BASKET,,fresh,,1500,0,SMALL BASKET,,fresh,,1500,6,yes,1,SMALL BASKET,,SUN-DRIED,,1,SMALL BASKET,,SUN-DRIED,,1/4,"YES, THE FIGURES MATCHED",,
102031330272,f8b880f4fc3a479587230cfaed141480,yes,,,30,0,SMALL BASKET,,fresh,,no,,,,,,180,,180,SMALL BASKET,,fresh,,180,SMALL BASKET,,fresh,,"YES, THE FIGURES MATCHED",,10,SMALL BASKET,,fresh,,1500,0,SMALL BASKET,,fresh,,1500,6,yes,1,SMALL BASKET,,SUN-DRIED,,1,SMALL BASKET,,SUN-DRIED,,1/4,"YES, THE FIGURES MATCHED",,9
102031350022,beb1efb5f918446194ffe54bafc17367,yes,mlamba,,4,2,DOZEN / BUNDLE,,fresh,,no,,,,,,8,,4,SMALL BASKET,,fresh,,4,SMALL BASKET,,fresh,,"YES, THE FIGURES MATCHED",,2,DOZEN / BUNDLE,,fresh,,1200,1,DOZEN / BUNDLE,,fresh,,2000,4,no,1,DOZEN / BUNDLE,,smoked,,5,piece,,smoked,,1/4,"YES, THE FIGURES MATCHED",,
102031350054,e9c575aa858b4af8bfa4ed2a76fea52b,yes,chambo,,2,4,piece,,fresh,,no,,,,,,16,,0,piece,,OTHER (SPECIFY),none,16,piece,,fresh,,"YES, THE FIGURES MATCHED",,0,piece,,OTHER (SPECIFY),none,500,0,piece,,OTHER (SPECIFY),none,500,1,no,9,piece,,fresh,,0,OTHER (SPECIFY),,OTHER (SPECIFY),none,ALMOST NONE,"YES, THE FIGURES MATCHED",,
