case_id,hhid,Rented_Out_GearID,fs_e14,fs_e15,fs_e16
102031360249,b8b148db553145a9a68e399f5e89e422,Usipa (mosquito) net,no,0,0
102051430237,01ed4b0ebb174ce2b6ad24a2171b81f8,Mbuka /ntaya/ ukonde (gillnet),no,0,0
103041550161,37d827493097455584995cea49b0c3a0,Mbuka /ntaya/ ukonde (gillnet),no,0,0
103051580104,524e5e1613a64298a6f8337b731da874,Mbedza(long /hand line),no,0,0
103071610040,4465372f30494d5fbcc4764cd5cab555,Mbedza(long /hand line),yes,2,0
103081620085,109b0cdebbaf4170b6e59557684c2ce2,Mbedza(long /hand line),no,0,0
103081620198,2ce39e2d4a68423eb6eba403c0f41ff7,Usipa (mosquito) net,,2,250000
105011970059,025aa6c330234024a159947a74a27cb7,Usipa (mosquito) net,yes,1,1600
105011970059,025aa6c330234024a159947a74a27cb7,Mbedza(long /hand line),yes,2,800
106012210045,2034b55a41de4b928623efb78b9444b8,Mbuka /ntaya/ ukonde (gillnet),yes,1,0
106012220017,9e377e99bbaa4fa1894e5c40b40fabbd,Mbuka /ntaya/ ukonde (gillnet),no,0,0
106012220061,1299960eefdc49dc85e74275ff361dab,Mbedza(long /hand line),no,0,0
106012220100,1b3b07c731f049e3aaaf2a381aa34112,Mbuka /ntaya/ ukonde (gillnet),no,0,0
106012220280,e9233b566489450294fa0fb34d988278,Mbedza(long /hand line),no,0,0
202012790035,f4dcd135283b45529ce279049f9e7c7e,Usipa (mosquito) net,yes,1,0
202012790040,7241cd8f32ff4106b55025b4a6f5d740,Chavi (castnet),yes,4,2400
202032910060,bcd3b9e845524f8c882da48b8e0783cd,Mbedza(long /hand line),yes,200,0
202032910060,bcd3b9e845524f8c882da48b8e0783cd,Mbuka /ntaya/ ukonde (gillnet),yes,1,0
202042920087,a869738b3ba644d694cd471ba4fc1217,Usipa (mosquito) net,no,0,0
204023310182,012da9e82da04e21a13f1211b30dbac4,Mbedza(long /hand line),yes,3,300
204033350258,9e82a1c74f294d6ab25ffe94cd31d07d,Mono(fish traps),yes,3,4500
205073690098,6309510319224b90a8b1c9a7b86d1d8a,Chavi (castnet),,1,20000
208074530245,d42801a9eb0f4ab985798cb018d206e7,Mbuka /ntaya/ ukonde (gillnet),yes,1,100000
208074530303,8b3253a5c03d41eb9aafd4a82925bb87,Mono(fish traps),no,0,0
301085380027,e0834f6a719e4b6a8d46bc4cf7dcebf7,Mbuka /ntaya/ ukonde (gillnet),yes,2,30000
301215420102,8fe404afd210435ebf7f864bb9439bd9,Mbuka /ntaya/ ukonde (gillnet),yes,1,10500
302035540030,2ed0c205f1dd42ba938c9bc18c8b4451,Mono(fish traps),no,0,0
302085620073,8987c86a34d44006b4ddb42e2e4cf735,Mono(fish traps),yes,20,0
303025730226,b6be6a7b4cfd4d7b95bf635c402234fc,Mbedza(long /hand line),no,0,0
303025730354,c88d0feb34de41e7b29b020fac7d45c2,Mbedza(long /hand line),yes,100,2000
309037330358,ac29c40bd5d145e3abc001c40fb75f97,Mbuka /ntaya/ ukonde (gillnet),yes,2,3000
310037450096,7153c2c65b0d45e8acce91b1a2318529,Usipa (mosquito) net,no,0,0
310077550352,172e48fd0bfb4a63918d58fad28215fd,Mbuka /ntaya/ ukonde (gillnet),yes,1,5000
311047670007,fc0c6c2029ba4946904eeb0f511725eb,Mbuka /ntaya/ ukonde (gillnet),yes,1,0
