case_id,hhid,fs_f01,fs_f01_oth,fs_f02a,fs_f02b,fs_f02c,fs_f02d,fs_f02e,fs_f02f,fs_f02g,fs_f02h,fs_f02i,fs_f02j,fs_f02k,fs_f02l,fs_f02m,fs_f03a,fs_f03b,fs_f03c,fs_f03d,fs_f03e,fs_f03f,fs_f03g,fs_f03h,fs_f03i,fs_f03j,fs_f03k,fs_f03l,fs_f03m,Fish_SpeciesID
102011270100,08b1e1c98b2b4c85a863b56e4e3ab2d7,usipa,,0,,,,.,,no,,,.,,.,,0,,,,,,no,,,,,.,,
102011270100,08b1e1c98b2b4c85a863b56e4e3ab2d7,aggregated,,0,,,,.,,no,,,.,,.,,0,,,,,,no,,,,,.,,
102031320075,4f76bfccfc26498e9661200ea2fc687c,usipa,,6,LARGE BASKET,,fresh,,3000,no,,,,,,,6000,LARGE BASKET,,fresh,,3000,no,,,,,,,
102031320106,0cfbbe3f557a464a90fdc38805614160,usipa,,2,LARGE BASKET,,fresh,,3000,no,,,,,,,2,LARGE BASKET,,fresh,,6500,no,,,,,,,
102031330272,f8b880f4fc3a479587230cfaed141480,usipa,,0,,,,.,,no,,,.,,.,,10,SMALL BASKET,,fresh,.,1500,no,,,,,.,,
102031330272,f8b880f4fc3a479587230cfaed141480,,,0,,,,,,no,,,,,,,10,SMALL BASKET,,fresh,,1500,no,,,,,,,9
102031350022,beb1efb5f918446194ffe54bafc17367,mlamba,,0,,,,.,,no,,,,,.,,2,DOZEN / BUNDLE,,fresh,.,1200,no,,,,,.,,
102031350054,e9c575aa858b4af8bfa4ed2a76fea52b,ncheni,,200,DOZEN / BUNDLE,,fresh,.,200,no,,,,,.,,0,,,,.,,no,,,,,.,,
102031360139,7ca7543c0c7948ddad57a7b65c7f5806,usipa,,0,,,,,,no,,,,,,,0,,,,,,no,,,,,,,
102041390043,4904a664213a4720bff9919bcd654b1f,ncheni,,0,,,,.,,no,,,.,,.,,0,,,,,,no,,,,,.,,
102041390094,faeda9d101104654ba0ba10f7bda070f,usipa,,2,OTHER (SPECIFY),chigoba,fresh,.,5000,no,,,.,,.,,6,OTHER (SPECIFY),"""Chigoba """,fresh,,3500,no,,,,,.,,
102041400017,0e66af7d72d34ecba01e7125b699982c,ncheni,,0,,,,,,no,,,,,,,0,,,,,,no,,,,,,,
