case_id,hhid,Fishing_GearID,fs_h01a,fs_h01b,fs_h02,fs_h03,fs_h04,fs_hfilter,fs_h05,fs_hfilter6,fs_h06
102031320216,1818111553b34ead89842be2dff8ccff,Usipa (mosquito) net,yes,,1,0,95000,no,,no,
102031360271,70ab9300d1d7492790de8ca0837e4af1,Usipa (mosquito) net,yes,,1,1,150000,no,,no,
102041400017,0e66af7d72d34ecba01e7125b699982c,Chavi (castnet),yes,,1,1,40000,no,,no,
102041400073,3533c366067d4e8eb8224aaf3185e921,Chavi (castnet),yes,,1,0,35000,no,,no,
102051430036,f90d55d471e643f5b060ae457d032d00,Chavi (castnet),yes,,1,0,70000,no,,no,
102051430051,95af18dce6774558b4c8189c8ece2dc8,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,9500,no,,no,
102051430063,f1b3be26069c489d8d14c57518101408,Chavi (castnet),yes,,1,2,2500,yes,1,no,
102051430164,b38d57ceadc649fb9d65cab43fd11ef0,Usipa (mosquito) net,yes,.,1,0,24000,no,,yes,3500
102051430225,6acff8e3c9bf49fe8e234bbfa1418ced,Chavi (castnet),yes,,1,1,63000,no,,no,
102051430237,01ed4b0ebb174ce2b6ad24a2171b81f8,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,35000,no,,no,
102051430261,6552bf2e438f4d41b03bff392be5ae6e,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,45000,no,,no,
102051440026,c4110f608f2a4f339cd3bf50cc4e3e82,Chavi (castnet),yes,,1,0,50000,no,,yes,18000
103041550161,37d827493097455584995cea49b0c3a0,"Other, specify",no,none,0,0,0,no,,no,
103051570327,76a15f5cbf344a57b0b4ab3a0746fc8e,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,10000,no,,no,
103061590073,61bb91404e264119a579d63aed5ba43d,Mbedza (long /hand line),yes,,50,50,2000,no,,no,
103061590125,ab50d5001869497fb6ae85e1f928e869,Usipa (mosquito) net,yes,,1,1,200000,no,,no,
103071610015,7a6ae563306b4cbdab5e1c00de69dc7a,Mbuka/ntaya/ukonde (gillnet),no,,0,0,0,no,,no,
103071610040,4465372f30494d5fbcc4764cd5cab555,Mbedza (long /hand line),yes,,2,3,580,no,,no,
103071610040,4465372f30494d5fbcc4764cd5cab555,Mbuka/ntaya/ukonde (gillnet),yes,,2,0,45000,no,,no,
103071610053,d0e24b08e3274e0e98030b040887bf4e,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,9000,no,,no,
103081620085,109b0cdebbaf4170b6e59557684c2ce2,Mbedza (long /hand line),yes,.,1,580,1200,no,,no,
103091640211,bc3bce638161477592d3ea6fca0c817e,Usipa (mosquito) net,yes,,1,1,1500,no,,no,
103091640225,440104333e2e46afb69b58735a15ce1d,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,80000,no,,no,
103121670149,d8a58ec5e522491eb3fbd29b26c8a815,Mbedza (long /hand line),yes,,1,1,100,no,,no,
103201700045,922e3d8ad8584509943cdf1e7369d496,Mbuka/ntaya/ukonde (gillnet),yes,.,1,1,30000,no,,no,
103201700045,922e3d8ad8584509943cdf1e7369d496,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,30000,no,,no,
104021810025,345271d5f42d4bb68cbefd4bc5fe165a,Usipa (mosquito) net,yes,,1,1,35000,no,,no,
104021810025,345271d5f42d4bb68cbefd4bc5fe165a,"Other, specify",yes,KAPEJA,1,1,40000,no,,no,
104021810034,51d6adec32b04948af8fdfc2d7cd5ce9,Usipa (mosquito) net,yes,.,1,1,600,no,,no,
104021810109,572dbe8173894e32b723538056173285,Usipa (mosquito) net,yes,,1,0,3000,no,,yes,8000
104021810158,e388d90053af4754844fdaf89d74a477,"Other, specify",yes,CHILEPA,1,1,40000,no,,no,
105011970059,025aa6c330234024a159947a74a27cb7,Usipa (mosquito) net,yes,,1,1,500,no,,no,
105011970059,025aa6c330234024a159947a74a27cb7,Mbedza (long /hand line),yes,,2,2,50,no,,no,
105011970059,025aa6c330234024a159947a74a27cb7,Mono (fish traps),yes,,5,5,5000,no,,no,
106012200067,a570550ddf1b4f91be1b016fa3c1bc94,Usipa (mosquito) net,yes,.,1,1,35000,no,,no,
